"","fips","county","candidate","votes"
"1","01001","Autauga","BARACK OBAMA / JOE BIDEN (D)",6363
"7","01003","Baldwin","BARACK OBAMA / JOE BIDEN (D)",18424
"13","01005","Barbour","BARACK OBAMA / JOE BIDEN (D)",5912
"19","01007","Bibb","BARACK OBAMA / JOE BIDEN (D)",2202
"25","01009","Blount","BARACK OBAMA / JOE BIDEN (D)",2970
"31","01011","Bullock","BARACK OBAMA / JOE BIDEN (D)",4061
"36","01013","Butler","BARACK OBAMA / JOE BIDEN (D)",4374
"42","01015","Calhoun","BARACK OBAMA / JOE BIDEN (D)",15511
"48","01017","Chambers","BARACK OBAMA / JOE BIDEN (D)",6871
"54","01019","Cherokee","BARACK OBAMA / JOE BIDEN (D)",2132
"60","01021","Chilton","BARACK OBAMA / JOE BIDEN (D)",3397
"66","01023","Choctaw","BARACK OBAMA / JOE BIDEN (D)",3786
"72","01025","Clarke","BARACK OBAMA / JOE BIDEN (D)",6334
"78","01027","Clay","BARACK OBAMA / JOE BIDEN (D)",1777
"84","01029","Cleburne","BARACK OBAMA / JOE BIDEN (D)",971
"90","01031","Coffee","BARACK OBAMA / JOE BIDEN (D)",4925
"96","01033","Colbert","BARACK OBAMA / JOE BIDEN (D)",9166
"102","01035","Conecuh","BARACK OBAMA / JOE BIDEN (D)",3555
"108","01037","Coosa","BARACK OBAMA / JOE BIDEN (D)",2191
"114","01039","Covington","BARACK OBAMA / JOE BIDEN (D)",3158
"120","01041","Crenshaw","BARACK OBAMA / JOE BIDEN (D)",2050
"126","01043","Cullman","BARACK OBAMA / JOE BIDEN (D)",5052
"132","01045","Dale","BARACK OBAMA / JOE BIDEN (D)",5286
"138","01047","Dallas","BARACK OBAMA / JOE BIDEN (D)",14612
"144","01049","DeKalb","BARACK OBAMA / JOE BIDEN (D)",5239
"150","01051","Elmore","BARACK OBAMA / JOE BIDEN (D)",8954
"156","01053","Escambia","BARACK OBAMA / JOE BIDEN (D)",5489
"162","01055","Etowah","BARACK OBAMA / JOE BIDEN (D)",12803
"168","01057","Fayette","BARACK OBAMA / JOE BIDEN (D)",1817
"174","01059","Franklin","BARACK OBAMA / JOE BIDEN (D)",3171
"180","01061","Geneva","BARACK OBAMA / JOE BIDEN (D)",2039
"186","01063","Greene","BARACK OBAMA / JOE BIDEN (D)",4521
"192","01065","Hale","BARACK OBAMA / JOE BIDEN (D)",5411
"198","01067","Henry","BARACK OBAMA / JOE BIDEN (D)",3083
"204","01069","Houston","BARACK OBAMA / JOE BIDEN (D)",12367
"210","01071","Jackson","BARACK OBAMA / JOE BIDEN (D)",5822
"216","01073","Jefferson","BARACK OBAMA / JOE BIDEN (D)",159876
"222","01075","Lamar","BARACK OBAMA / JOE BIDEN (D)",1646
"228","01077","Lauderdale","BARACK OBAMA / JOE BIDEN (D)",12511
"234","01079","Lawrence","BARACK OBAMA / JOE BIDEN (D)",5069
"240","01081","Lee","BARACK OBAMA / JOE BIDEN (D)",21381
"246","01083","Limestone","BARACK OBAMA / JOE BIDEN (D)",9829
"252","01085","Lowndes","BARACK OBAMA / JOE BIDEN (D)",5747
"258","01087","Macon","BARACK OBAMA / JOE BIDEN (D)",9045
"264","01089","Madison","BARACK OBAMA / JOE BIDEN (D)",62015
"270","01091","Marengo","BARACK OBAMA / JOE BIDEN (D)",6167
"276","01093","Marion","BARACK OBAMA / JOE BIDEN (D)",2249
"282","01095","Marshall","BARACK OBAMA / JOE BIDEN (D)",6299
"288","01097","Mobile","BARACK OBAMA / JOE BIDEN (D)",78760
"294","01099","Monroe","BARACK OBAMA / JOE BIDEN (D)",4914
"300","01101","Montgomery","BARACK OBAMA / JOE BIDEN (D)",63085
"306","01103","Morgan","BARACK OBAMA / JOE BIDEN (D)",13439
"312","01105","Perry","BARACK OBAMA / JOE BIDEN (D)",4568
"318","01107","Pickens","BARACK OBAMA / JOE BIDEN (D)",4455
"324","01109","Pike","BARACK OBAMA / JOE BIDEN (D)",6035
"330","01111","Randolph","BARACK OBAMA / JOE BIDEN (D)",3078
"336","01113","Russell","BARACK OBAMA / JOE BIDEN (D)",10500
"342","01117","Shelby","BARACK OBAMA / JOE BIDEN (D)",20051
"348","01115","St. Clair","BARACK OBAMA / JOE BIDEN (D)",5801
"354","01119","Sumter","BARACK OBAMA / JOE BIDEN (D)",5421
"360","01121","Talladega","BARACK OBAMA / JOE BIDEN (D)",13905
"366","01123","Tallapoosa","BARACK OBAMA / JOE BIDEN (D)",6319
"372","01125","Tuscaloosa","BARACK OBAMA / JOE BIDEN (D)",32048
"378","01127","Walker","BARACK OBAMA / JOE BIDEN (D)",6557
"384","01129","Washington","BARACK OBAMA / JOE BIDEN (D)",2976
"390","01131","Wilcox","BARACK OBAMA / JOE BIDEN (D)",4868
"396","01133","Winston","BARACK OBAMA / JOE BIDEN (D)",1286
"628","05001","Arkansas","Barack Obama / Joe Biden",2455
"629","05003","Ashley","Barack Obama / Joe Biden",2859
"630","05005","Baxter","Barack Obama / Joe Biden",5172
"631","05007","Benton","Barack Obama / Joe Biden",22636
"632","05009","Boone","Barack Obama / Joe Biden",3772
"633","05011","Bradley","Barack Obama / Joe Biden",1449
"634","05013","Calhoun","Barack Obama / Joe Biden",660
"635","05015","Carroll","Barack Obama / Joe Biden",3696
"636","05017","Chicot","Barack Obama / Joe Biden",2649
"637","05019","Clark","Barack Obama / Joe Biden",3811
"638","05021","Clay","Barack Obama / Joe Biden",1738
"639","05023","Cleburne","Barack Obama / Joe Biden",2620
"640","05025","Cleveland","Barack Obama / Joe Biden",845
"641","05027","Columbia","Barack Obama / Joe Biden",3557
"642","05029","Conway","Barack Obama / Joe Biden",3005
"643","05031","Craighead","Barack Obama / Joe Biden",10527
"644","05033","Crawford","Barack Obama / Joe Biden",4881
"645","05035","Crittenden","Barack Obama / Joe Biden",9487
"646","05037","Cross","Barack Obama / Joe Biden",2279
"647","05039","Dallas","Barack Obama / Joe Biden",1337
"648","05041","Desha","Barack Obama / Joe Biden",2443
"649","05043","Drew","Barack Obama / Joe Biden",2630
"650","05045","Faulkner","Barack Obama / Joe Biden",13621
"651","05047","Franklin","Barack Obama / Joe Biden",1726
"652","05049","Fulton","Barack Obama / Joe Biden",1452
"653","05051","Garland","Barack Obama / Joe Biden",13804
"654","05053","Grant","Barack Obama / Joe Biden",1468
"655","05055","Greene","Barack Obama / Joe Biden",4000
"656","05057","Hempstead","Barack Obama / Joe Biden",2468
"657","05059","Hot Spring","Barack Obama / Joe Biden",3830
"658","05061","Howard","Barack Obama / Joe Biden",1471
"659","05063","Independence","Barack Obama / Joe Biden",3281
"660","05065","Izard","Barack Obama / Joe Biden",1524
"661","05067","Jackson","Barack Obama / Joe Biden",2095
"662","05069","Jefferson","Barack Obama / Joe Biden",17470
"663","05071","Johnson","Barack Obama / Joe Biden",2799
"664","05073","Lafayette","Barack Obama / Joe Biden",1173
"665","05075","Lawrence","Barack Obama / Joe Biden",1788
"666","05077","Lee","Barack Obama / Joe Biden",2107
"667","05079","Lincoln","Barack Obama / Joe Biden",1425
"668","05081","Little River","Barack Obama / Joe Biden",1552
"669","05083","Logan","Barack Obama / Joe Biden",2009
"670","05085","Lonoke","Barack Obama / Joe Biden",5625
"671","05087","Madison","Barack Obama / Joe Biden",2099
"672","05089","Marion","Barack Obama / Joe Biden",2037
"673","05091","Miller","Barack Obama / Joe Biden",4518
"674","05093","Mississippi","Barack Obama / Joe Biden",6467
"675","05095","Monroe","Barack Obama / Joe Biden",1583
"676","05097","Montgomery","Barack Obama / Joe Biden",920
"677","05099","Nevada","Barack Obama / Joe Biden",1314
"678","05101","Newton","Barack Obama / Joe Biden",993
"679","05103","Ouachita","Barack Obama / Joe Biden",4633
"680","05105","Perry","Barack Obama / Joe Biden",1187
"681","05107","Phillips","Barack Obama / Joe Biden",5202
"682","05109","Pike","Barack Obama / Joe Biden",851
"683","05111","Poinsett","Barack Obama / Joe Biden",2390
"684","05113","Polk","Barack Obama / Joe Biden",1556
"685","05115","Pope","Barack Obama / Joe Biden",5126
"686","05117","Prairie","Barack Obama / Joe Biden",880
"687","05119","Pulaski","Barack Obama / Joe Biden",87248
"688","05121","Randolph","Barack Obama / Joe Biden",2046
"689","05125","Saline","Barack Obama / Joe Biden",12869
"690","05127","Scott","Barack Obama / Joe Biden",897
"691","05129","Searcy","Barack Obama / Joe Biden",814
"692","05131","Sebastian","Barack Obama / Joe Biden",13092
"693","05133","Sevier","Barack Obama / Joe Biden",1042
"694","05135","Sharp","Barack Obama / Joe Biden",2092
"695","05123","St. Francis","Barack Obama / Joe Biden",4910
"696","05137","Stone","Barack Obama / Joe Biden",1356
"697","05139","Union","Barack Obama / Joe Biden",6196
"698","05141","Van Buren","Barack Obama / Joe Biden",1832
"699","05143","Washington","Barack Obama / Joe Biden",28236
"700","05145","White","Barack Obama / Joe Biden",5765
"701","05147","Woodruff","Barack Obama / Joe Biden",1340
"702","05149","Yell","Barack Obama / Joe Biden",1722
"779","04001","Apache","OBAMA",17147
"784","04003","Cochise","OBAMA",18546
"789","04005","Coconino","OBAMA",29257
"794","04007","Gila","OBAMA",7697
"799","04009","Graham","OBAMA",3609
"804","04011","Greenlee","OBAMA",1310
"809","04012","La Paz","OBAMA",1880
"814","04013","Maricopa","OBAMA",602288
"819","04015","Mohave","OBAMA",19533
"824","04017","Navajo","OBAMA",16945
"829","04019","Pima","OBAMA",201251
"834","04021","Pinal","OBAMA",44306
"839","04023","Santa Cruz","OBAMA",9486
"844","04025","Yavapai","OBAMA",33918
"849","04027","Yuma","OBAMA",18059
"855","06001","Alameda","Barack Obama",469684
"869","06003","Alpine","Barack Obama",389
