"","fips","county","candidate","votes"
"2","01001","Autauga","MITT ROMNEY /PAUL RYAN (R)",17379
"8","01003","Baldwin","MITT ROMNEY /PAUL RYAN (R)",66016
"14","01005","Barbour","MITT ROMNEY /PAUL RYAN (R)",5550
"20","01007","Bibb","MITT ROMNEY /PAUL RYAN (R)",6132
"26","01009","Blount","MITT ROMNEY /PAUL RYAN (R)",20757
"32","01011","Bullock","MITT ROMNEY /PAUL RYAN (R)",1251
"37","01013","Butler","MITT ROMNEY /PAUL RYAN (R)",5087
"43","01015","Calhoun","MITT ROMNEY /PAUL RYAN (R)",30278
"49","01017","Chambers","MITT ROMNEY /PAUL RYAN (R)",7626
"55","01019","Cherokee","MITT ROMNEY /PAUL RYAN (R)",7506
"61","01021","Chilton","MITT ROMNEY /PAUL RYAN (R)",13932
"67","01023","Choctaw","MITT ROMNEY /PAUL RYAN (R)",4152
"73","01025","Clarke","MITT ROMNEY /PAUL RYAN (R)",7470
"79","01027","Clay","MITT ROMNEY /PAUL RYAN (R)",4817
"85","01029","Cleburne","MITT ROMNEY /PAUL RYAN (R)",5272
"91","01031","Coffee","MITT ROMNEY /PAUL RYAN (R)",14666
"97","01033","Colbert","MITT ROMNEY /PAUL RYAN (R)",13936
"103","01035","Conecuh","MITT ROMNEY /PAUL RYAN (R)",3439
"109","01037","Coosa","MITT ROMNEY /PAUL RYAN (R)",3049
"115","01039","Covington","MITT ROMNEY /PAUL RYAN (R)",12153
"121","01041","Crenshaw","MITT ROMNEY /PAUL RYAN (R)",4331
"127","01043","Cullman","MITT ROMNEY /PAUL RYAN (R)",28999
"133","01045","Dale","MITT ROMNEY /PAUL RYAN (R)",13108
"139","01047","Dallas","MITT ROMNEY /PAUL RYAN (R)",6288
"145","01049","DeKalb","MITT ROMNEY /PAUL RYAN (R)",18331
"151","01051","Elmore","MITT ROMNEY /PAUL RYAN (R)",26253
"157","01053","Escambia","MITT ROMNEY /PAUL RYAN (R)",9287
"163","01055","Etowah","MITT ROMNEY /PAUL RYAN (R)",29130
"169","01057","Fayette","MITT ROMNEY /PAUL RYAN (R)",6054
"175","01059","Franklin","MITT ROMNEY /PAUL RYAN (R)",7567
"181","01061","Geneva","MITT ROMNEY /PAUL RYAN (R)",9175
"187","01063","Greene","MITT ROMNEY /PAUL RYAN (R)",804
"193","01065","Hale","MITT ROMNEY /PAUL RYAN (R)",3210
"199","01067","Henry","MITT ROMNEY /PAUL RYAN (R)",5628
"205","01069","Houston","MITT ROMNEY /PAUL RYAN (R)",29270
"211","01071","Jackson","MITT ROMNEY /PAUL RYAN (R)",14439
"217","01073","Jefferson","MITT ROMNEY /PAUL RYAN (R)",141683
"223","01075","Lamar","MITT ROMNEY /PAUL RYAN (R)",5457
"229","01077","Lauderdale","MITT ROMNEY /PAUL RYAN (R)",23911
"235","01079","Lawrence","MITT ROMNEY /PAUL RYAN (R)",8874
"241","01081","Lee","MITT ROMNEY /PAUL RYAN (R)",32194
"247","01083","Limestone","MITT ROMNEY /PAUL RYAN (R)",25295
"253","01085","Lowndes","MITT ROMNEY /PAUL RYAN (R)",1756
"259","01087","Macon","MITT ROMNEY /PAUL RYAN (R)",1331
"265","01089","Madison","MITT ROMNEY /PAUL RYAN (R)",90884
"271","01091","Marengo","MITT ROMNEY /PAUL RYAN (R)",5336
"277","01093","Marion","MITT ROMNEY /PAUL RYAN (R)",9697
"283","01095","Marshall","MITT ROMNEY /PAUL RYAN (R)",25867
"289","01097","Mobile","MITT ROMNEY /PAUL RYAN (R)",94893
"295","01099","Monroe","MITT ROMNEY /PAUL RYAN (R)",5741
"301","01101","Montgomery","MITT ROMNEY /PAUL RYAN (R)",38332
"307","01103","Morgan","MITT ROMNEY /PAUL RYAN (R)",35391
"313","01105","Perry","MITT ROMNEY /PAUL RYAN (R)",1506
"319","01107","Pickens","MITT ROMNEY /PAUL RYAN (R)",5124
"325","01109","Pike","MITT ROMNEY /PAUL RYAN (R)",7963
"331","01111","Randolph","MITT ROMNEY /PAUL RYAN (R)",7224
"337","01113","Russell","MITT ROMNEY /PAUL RYAN (R)",8278
"343","01117","Shelby","MITT ROMNEY /PAUL RYAN (R)",71436
"349","01115","St. Clair","MITT ROMNEY /PAUL RYAN (R)",29031
"355","01119","Sumter","MITT ROMNEY /PAUL RYAN (R)",1586
"361","01121","Talladega","MITT ROMNEY /PAUL RYAN (R)",19246
"367","01123","Tallapoosa","MITT ROMNEY /PAUL RYAN (R)",12396
"373","01125","Tuscaloosa","MITT ROMNEY /PAUL RYAN (R)",45748
"379","01127","Walker","MITT ROMNEY /PAUL RYAN (R)",21651
"385","01129","Washington","MITT ROMNEY /PAUL RYAN (R)",5761
"391","01131","Wilcox","MITT ROMNEY /PAUL RYAN (R)",1679
"397","01133","Winston","MITT ROMNEY /PAUL RYAN (R)",8312
"553","05001","Arkansas","Mitt Romney / Paul Ryan",3897
"554","05003","Ashley","Mitt Romney / Paul Ryan",4867
"555","05005","Baxter","Mitt Romney / Paul Ryan",13688
"556","05007","Benton","Mitt Romney / Paul Ryan",54646
"557","05009","Boone","Mitt Romney / Paul Ryan",11159
"558","05011","Bradley","Mitt Romney / Paul Ryan",2134
"559","05013","Calhoun","Mitt Romney / Paul Ryan",1458
"560","05015","Carroll","Mitt Romney / Paul Ryan",6125
"561","05017","Chicot","Mitt Romney / Paul Ryan",1670
"562","05019","Clark","Mitt Romney / Paul Ryan",4343
"563","05021","Clay","Mitt Romney / Paul Ryan",3225
"564","05023","Cleburne","Mitt Romney / Paul Ryan",8693
"565","05025","Cleveland","Mitt Romney / Paul Ryan",2313
"566","05027","Columbia","Mitt Romney / Paul Ryan",5790
"567","05029","Conway","Mitt Romney / Paul Ryan",4514
"568","05031","Craighead","Mitt Romney / Paul Ryan",20350
"569","05033","Crawford","Mitt Romney / Paul Ryan",15145
"570","05035","Crittenden","Mitt Romney / Paul Ryan",6998
"571","05037","Cross","Mitt Romney / Paul Ryan",4269
"572","05039","Dallas","Mitt Romney / Paul Ryan",1665
"573","05041","Desha","Mitt Romney / Paul Ryan",1896
"574","05043","Drew","Mitt Romney / Paul Ryan",3887
"575","05045","Faulkner","Mitt Romney / Paul Ryan",26722
"576","05047","Franklin","Mitt Romney / Paul Ryan",4631
"577","05049","Fulton","Mitt Romney / Paul Ryan",2949
"578","05051","Garland","Mitt Romney / Paul Ryan",26014
"579","05053","Grant","Mitt Romney / Paul Ryan",4829
"580","05055","Greene","Mitt Romney / Paul Ryan",9071
"581","05057","Hempstead","Mitt Romney / Paul Ryan",4284
"582","05059","Hot Spring","Mitt Romney / Paul Ryan",7097
"583","05061","Howard","Mitt Romney / Paul Ryan",2892
"584","05063","Independence","Mitt Romney / Paul Ryan",8728
"585","05065","Izard","Mitt Romney / Paul Ryan",3575
"586","05067","Jackson","Mitt Romney / Paul Ryan",3072
"587","05069","Jefferson","Mitt Romney / Paul Ryan",9520
"588","05071","Johnson","Mitt Romney / Paul Ryan",5064
"589","05073","Lafayette","Mitt Romney / Paul Ryan",1713
"590","05075","Lawrence","Mitt Romney / Paul Ryan",3536
"591","05077","Lee","Mitt Romney / Paul Ryan",1280
"592","05079","Lincoln","Mitt Romney / Paul Ryan",2199
"593","05081","Little River","Mitt Romney / Paul Ryan",3385
"594","05083","Logan","Mitt Romney / Paul Ryan",5079
"595","05085","Lonoke","Mitt Romney / Paul Ryan",17880
"596","05087","Madison","Mitt Romney / Paul Ryan",4263
"597","05089","Marion","Mitt Romney / Paul Ryan",4774
"598","05091","Miller","Mitt Romney / Paul Ryan",10622
"599","05093","Mississippi","Mitt Romney / Paul Ryan",6603
"600","05095","Monroe","Mitt Romney / Paul Ryan",1585
"601","05097","Montgomery","Mitt Romney / Paul Ryan",2369
"602","05099","Nevada","Mitt Romney / Paul Ryan",1996
"603","05101","Newton","Mitt Romney / Paul Ryan",2508
"604","05103","Ouachita","Mitt Romney / Paul Ryan",5521
"605","05105","Perry","Mitt Romney / Paul Ryan",2581
"606","05107","Phillips","Mitt Romney / Paul Ryan",2598
"607","05109","Pike","Mitt Romney / Paul Ryan",2847
"608","05111","Poinsett","Mitt Romney / Paul Ryan",4974
