precinct,candidate,votes
01-135 Chena Lakes,Johnson,32
01-135 Chena Lakes,Obama,192
01-135 Chena Lakes,Romney,854
01-135 Chena Lakes,Stein,6
01-135 Chena Lakes,Write-In,9
01-145 Eielson,Johnson,5
01-145 Eielson,Obama,109
01-145 Eielson,Romney,369
01-145 Eielson,Stein,1
01-145 Eielson,Write-In,9
01-155 Moose Creek,Johnson,13
01-155 Moose Creek,Obama,43
01-155 Moose Creek,Romney,162
01-155 Moose Creek,Stein,1
01-155 Moose Creek,Write-In,4
01-165 Newby,Johnson,39
01-165 Newby,Obama,213
01-165 Newby,Romney,1009
01-165 Newby,Stein,6
01-165 Newby,Write-In,10
01-175 North Pole,Johnson,13
01-175 North Pole,Obama,156
01-175 North Pole,Romney,494
01-175 North Pole,Stein,1
01-175 North Pole,Write-In,3
01-183 Plack,Johnson,27
01-183 Plack,Obama,166
01-183 Plack,Romney,842
01-183 Plack,Stein,3
01-183 Plack,Write-In,11
01-195 Salcha No. 1,Johnson,5
01-195 Salcha No. 1,Obama,45
01-195 Salcha No. 1,Romney,215
01-195 Salcha No. 1,Stein,3
01-195 Salcha No. 1,Write-In,6
01-Absentee,Johnson,39
01-Absentee,Obama,340
01-Absentee,Romney,1267
01-Absentee,Stein,12
01-Absentee,Write-In,12
01-Early Voting,Johnson,11
01-Early Voting,Obama,128
01-Early Voting,Romney,372
01-Early Voting,Stein,1
01-Early Voting,Write-In,2
01-Question,Johnson,12
01-Question,Obama,126
01-Question,Romney,315
01-Question,Stein,4
01-Question,Write-In,5
02-235 Badger No. 1,Johnson,25
02-235 Badger No. 1,Obama,202
02-235 Badger No. 1,Romney,695
02-235 Badger No. 1,Stein,7
02-235 Badger No. 1,Write-In,12
02-245 Fox,Johnson,13
02-245 Fox,Obama,146
02-245 Fox,Romney,357
02-245 Fox,Stein,3
02-245 Fox,Write-In,15
02-255 Steele Creek/Gilmore,Johnson,38
02-255 Steele Creek/Gilmore,Obama,360
02-255 Steele Creek/Gilmore,Romney,653
02-255 Steele Creek/Gilmore,Stein,15
02-255 Steele Creek/Gilmore,Write-In,14
02-265 Steese East,Johnson,32
02-265 Steese East,Obama,275
02-265 Steese East,Romney,662
02-265 Steese East,Stein,7
02-265 Steese East,Write-In,9
02-270 Steese West,Johnson,42
02-270 Steese West,Obama,734
02-270 Steese West,Romney,1081
02-270 Steese West,Stein,24
02-270 Steese West,Write-In,17
02-275 Two Rivers,Johnson,23
02-275 Two Rivers,Obama,131
02-275 Two Rivers,Romney,353
02-275 Two Rivers,Stein,6
02-275 Two Rivers,Write-In,13
02-Absentee,Johnson,37
02-Absentee,Obama,447
02-Absentee,Romney,795
02-Absentee,Stein,13
02-Absentee,Write-In,14
02-Early Voting,Johnson,22
02-Early Voting,Obama,657
02-Early Voting,Romney,667
02-Early Voting,Stein,9
02-Early Voting,Write-In,15
02-Question,Johnson,12
02-Question,Obama,144
02-Question,Romney,246
02-Question,Stein,5
02-Question,Write-In,11
03-345 Badger No. 2,Johnson,33
03-345 Badger No. 2,Obama,214
03-345 Badger No. 2,Romney,546
03-345 Badger No. 2,Stein,11
03-345 Badger No. 2,Write-In,13
03-355 Fairbanks No. 8,Johnson,15
03-355 Fairbanks No. 8,Obama,244
03-355 Fairbanks No. 8,Romney,345
03-355 Fairbanks No. 8,Stein,5
03-355 Fairbanks No. 8,Write-In,10
03-365 Fairbanks No. 9,Johnson,26
03-365 Fairbanks No. 9,Obama,366
03-365 Fairbanks No. 9,Romney,622
03-365 Fairbanks No. 9,Stein,8
03-365 Fairbanks No. 9,Write-In,12
03-375 Fort Wainwright,Johnson,19
03-375 Fort Wainwright,Obama,177
03-375 Fort Wainwright,Romney,386
03-375 Fort Wainwright,Stein,2
03-375 Fort Wainwright,Write-In,2
03-385 Richardson,Johnson,9
03-385 Richardson,Obama,108
03-385 Richardson,Romney,397
03-385 Richardson,Stein,5
03-385 Richardson,Write-In,12
03-Absentee,Johnson,22
03-Absentee,Obama,416
03-Absentee,Romney,782
03-Absentee,Stein,3
03-Absentee,Write-In,13
03-Early Voting,Johnson,6
03-Early Voting,Obama,237
03-Early Voting,Romney,267
03-Early Voting,Stein,0
03-Early Voting,Write-In,1
03-Question,Johnson,25
03-Question,Obama,272
03-Question,Romney,424
03-Question,Stein,3
03-Question,Write-In,11
04-446 Aurora,Johnson,23
04-446 Aurora,Obama,377
04-446 Aurora,Romney,543
04-446 Aurora,Stein,4
04-446 Aurora,Write-In,19
04-455 Fairbanks No. 1,Johnson,12
04-455 Fairbanks No. 1,Obama,81
04-455 Fairbanks No. 1,Romney,110
