fips,county,candidate,votes
05001,Arkansas,Gary Johnson / James P. Gray,92
05003,Ashley,Gary Johnson / James P. Gray,105
05005,Baxter,Gary Johnson / James P. Gray,293
05007,Benton,Gary Johnson / James P. Gray,1402
05009,Boone,Gary Johnson / James P. Gray,263
05011,Bradley,Gary Johnson / James P. Gray,32
05013,Calhoun,Gary Johnson / James P. Gray,33
05015,Carroll,Gary Johnson / James P. Gray,222
05017,Chicot,Gary Johnson / James P. Gray,25
05019,Clark,Gary Johnson / James P. Gray,141
05021,Clay,Gary Johnson / James P. Gray,99
05023,Cleburne,Gary Johnson / James P. Gray,196
05025,Cleveland,Gary Johnson / James P. Gray,52
05027,Columbia,Gary Johnson / James P. Gray,64
05029,Conway,Gary Johnson / James P. Gray,105
05031,Craighead,Gary Johnson / James P. Gray,497
05033,Crawford,Gary Johnson / James P. Gray,347
05035,Crittenden,Gary Johnson / James P. Gray,146
05037,Cross,Gary Johnson / James P. Gray,82
05039,Dallas,Gary Johnson / James P. Gray,44
05041,Desha,Gary Johnson / James P. Gray,39
05043,Drew,Gary Johnson / James P. Gray,65
05045,Faulkner,Gary Johnson / James P. Gray,698
05047,Franklin,Gary Johnson / James P. Gray,93
05049,Fulton,Gary Johnson / James P. Gray,66
05051,Garland,Gary Johnson / James P. Gray,513
05053,Grant,Gary Johnson / James P. Gray,108
05055,Greene,Gary Johnson / James P. Gray,431
05057,Hempstead,Gary Johnson / James P. Gray,76
05059,Hot Spring,Gary Johnson / James P. Gray,155
05061,Howard,Gary Johnson / James P. Gray,48
05063,Independence,Gary Johnson / James P. Gray,210
05065,Izard,Gary Johnson / James P. Gray,99
05067,Jackson,Gary Johnson / James P. Gray,96
05069,Jefferson,Gary Johnson / James P. Gray,194
05071,Johnson,Gary Johnson / James P. Gray,128
05073,Lafayette,Gary Johnson / James P. Gray,19
05075,Lawrence,Gary Johnson / James P. Gray,121
05077,Lee,Gary Johnson / James P. Gray,27
05079,Lincoln,Gary Johnson / James P. Gray,53
05081,Little River,Gary Johnson / James P. Gray,54
05083,Logan,Gary Johnson / James P. Gray,140
05085,Lonoke,Gary Johnson / James P. Gray,372
05087,Madison,Gary Johnson / James P. Gray,120
05089,Marion,Gary Johnson / James P. Gray,149
05091,Miller,Gary Johnson / James P. Gray,96
05093,Mississippi,Gary Johnson / James P. Gray,141
05095,Monroe,Gary Johnson / James P. Gray,26
05097,Montgomery,Gary Johnson / James P. Gray,51
05099,Nevada,Gary Johnson / James P. Gray,45
