fips,county,candidate,votes
04001,Apache,OBAMA,17147
04001,Apache,ROMNEY,8250
04001,Apache,JOHNSON,354
04001,Apache,STEIN,88
04001,Apache,Write-in,78
04003,Cochise,OBAMA,18546
04003,Cochise,ROMNEY,29497
04003,Cochise,JOHNSON,728
04003,Cochise,STEIN,215
04003,Cochise,Write-in,215
04005,Coconino,OBAMA,29257
04005,Coconino,ROMNEY,21220
04005,Coconino,JOHNSON,941
04005,Coconino,STEIN,301
04005,Coconino,Write-in,243
04007,Gila,OBAMA,7697
04007,Gila,ROMNEY,13455
04007,Gila,JOHNSON,310
04007,Gila,STEIN,64
04007,Gila,Write-in,69
04009,Graham,OBAMA,3609
04009,Graham,ROMNEY,8076
04009,Graham,JOHNSON,142
04009,Graham,STEIN,28
04009,Graham,Write-in,50
04011,Greenlee,OBAMA,1310
04011,Greenlee,ROMNEY,1592
04011,Greenlee,JOHNSON,61
04011,Greenlee,STEIN,11
04011,Greenlee,Write-in,12
04012,La Paz,OBAMA,1880
04012,La Paz,ROMNEY,3714
04012,La Paz,JOHNSON,99
04012,La Paz,STEIN,24
04012,La Paz,Write-in,18
04013,Maricopa,OBAMA,602288
04013,Maricopa,ROMNEY,749885
04013,Maricopa,JOHNSON,20071
04013,Maricopa,STEIN,4091
04013,Maricopa,Write-in,4624
04015,Mohave,OBAMA,19533
04015,Mohave,ROMNEY,49168
04015,Mohave,JOHNSON,1070
04015,Mohave,STEIN,224
04015,Mohave,Write-in,333
04017,Navajo,OBAMA,16945
04017,Navajo,ROMNEY,19884
04017,Navajo,JOHNSON,399
04017,Navajo,STEIN,99
04017,Navajo,Write-in,138
04019,Pima,OBAMA,201251
04019,Pima,ROMNEY,174779
04019,Pima,JOHNSON,4366
04019,Pima,STEIN,1758
04019,Pima,Write-in,1019
04021,Pinal,OBAMA,44306
04021,Pinal,ROMNEY,62079
04021,Pinal,JOHNSON,1568
04021,Pinal,STEIN,325
04021,Pinal,Write-in,404
04023,Santa Cruz,OBAMA,9486
04023,Santa Cruz,ROMNEY,4235
04023,Santa Cruz,JOHNSON,108
04023,Santa Cruz,STEIN,65
04023,Santa Cruz,Write-in,17
04025,Yavapai,OBAMA,33918
04025,Yavapai,ROMNEY,64468
04025,Yavapai,JOHNSON,1450
04025,Yavapai,STEIN,417
04025,Yavapai,Write-in,414
04027,Yuma,OBAMA,18059
04027,Yuma,ROMNEY,23352
04027,Yuma,JOHNSON,433
04027,Yuma,STEIN,106
04027,Yuma,Write-in,123
