fips,county,candidate,votes
06001,Alameda,Barack Obama,469684
06001,Alameda,Mitt Romney,108182
06001,Alameda,Thomas Hoefling,1212
06001,Alameda,Jill Stein,7502
06001,Alameda,Gary Johnson,5471
06001,Alameda,Roseanne Barr,2890
06001,Alameda,"Ross C. ""Rocky"" Anderson",69
06001,Alameda,"Shelia ""Samm"" Tittle",0
06001,Alameda,Stephen Durham,1
06001,Alameda,Ron Paul,602
06001,Alameda,James Harris,5
06001,Alameda,Virgil Goode,15
06001,Alameda,Jerry White,7
06001,Alameda,Stewart Alexander,2
06003,Alpine,Barack Obama,389
06003,Alpine,Mitt Romney,236
06003,Alpine,Thomas Hoefling,1
06003,Alpine,Jill Stein,8
06003,Alpine,Gary Johnson,8
06003,Alpine,Roseanne Barr,5
06003,Alpine,"Ross C. ""Rocky"" Anderson",2
06003,Alpine,"Shelia ""Samm"" Tittle",0
06003,Alpine,Stephen Durham,0
06003,Alpine,Ron Paul,4
06003,Alpine,James Harris,0
06003,Alpine,Virgil Goode,0
06003,Alpine,Jerry White,0
06003,Alpine,Stewart Alexander,0
06005,Amador,Barack Obama,6830
06005,Amador,Mitt Romney,10281
06005,Amador,Thomas Hoefling,79
06005,Amador,Jill Stein,88
06005,Amador,Gary Johnson,242
06005,Amador,Roseanne Barr,75
06005,Amador,"Ross C. ""Rocky"" Anderson",0
06005,Amador,"Shelia ""Samm"" Tittle",0
06005,Amador,Stephen Durham,0
06005,Amador,Ron Paul,54
06005,Amador,James Harris,0
06005,Amador,Virgil Goode,0
06005,Amador,Jerry White,0
06005,Amador,Stewart Alexander,0
06007,Butte,Barack Obama,42669
06007,Butte,Mitt Romney,44479
06007,Butte,Thomas Hoefling,454
06007,Butte,Jill Stein,840
06007,Butte,Gary Johnson,1334
06007,Butte,Roseanne Barr,562
06007,Butte,"Ross C. ""Rocky"" Anderson",21
06007,Butte,"Shelia ""Samm"" Tittle",0
06007,Butte,Stephen Durham,0
06007,Butte,Ron Paul,385
06007,Butte,James Harris,0
06007,Butte,Virgil Goode,3
06007,Butte,Jerry White,1
06007,Butte,Stewart Alexander,4
06009,Calaveras,Barack Obama,8670
06009,Calaveras,Mitt Romney,12363
06009,Calaveras,Thomas Hoefling,110
06009,Calaveras,Jill Stein,122
06009,Calaveras,Gary Johnson,327
06009,Calaveras,Roseanne Barr,100
06009,Calaveras,"Ross C. ""Rocky"" Anderson",6
06009,Calaveras,"Shelia ""Samm"" Tittle",0
06009,Calaveras,Stephen Durham,0
06009,Calaveras,Ron Paul,86
06009,Calaveras,James Harris,0
06009,Calaveras,Virgil Goode,0
06009,Calaveras,Jerry White,0
06009,Calaveras,Stewart Alexander,0
06011,Colusa,Barack Obama,2314
06011,Colusa,Mitt Romney,3601
06011,Colusa,Thomas Hoefling,17
06011,Colusa,Jill Stein,17
06011,Colusa,Gary Johnson,47
06011,Colusa,Roseanne Barr,18
06011,Colusa,"Ross C. ""Rocky"" Anderson",2
06011,Colusa,"Shelia ""Samm"" Tittle",0
06011,Colusa,Stephen Durham,0
06011,Colusa,Ron Paul,18
06011,Colusa,James Harris,0
06011,Colusa,Virgil Goode,0
06011,Colusa,Jerry White,0
06011,Colusa,Stewart Alexander,0
06013,Contra Costa,Barack Obama,290824
06013,Contra Costa,Mitt Romney,136517
06013,Contra Costa,Thomas Hoefling,1391
06013,Contra Costa,Jill Stein,2879
06013,Contra Costa,Gary Johnson,4372
06013,Contra Costa,Roseanne Barr,1543
06013,Contra Costa,"Ross C. ""Rocky"" Anderson",43
06013,Contra Costa,"Shelia ""Samm"" Tittle",0
06013,Contra Costa,Stephen Durham,3
06013,Contra Costa,Ron Paul,627
06013,Contra Costa,James Harris,6
06013,Contra Costa,Virgil Goode,20
06013,Contra Costa,Jerry White,0
06013,Contra Costa,Stewart Alexander,1
06015,Del Norte,Barack Obama,3791
06015,Del Norte,Mitt Romney,4614
06015,Del Norte,Thomas Hoefling,70
06015,Del Norte,Jill Stein,90
06015,Del Norte,Gary Johnson,109
06015,Del Norte,Roseanne Barr,62
06015,Del Norte,"Ross C. ""Rocky"" Anderson",3
06015,Del Norte,"Shelia ""Samm"" Tittle",0
06015,Del Norte,Stephen Durham,0
06015,Del Norte,Ron Paul,31
06015,Del Norte,James Harris,0
06015,Del Norte,Virgil Goode,0
06015,Del Norte,Jerry White,0
06015,Del Norte,Stewart Alexander,0
06017,El Dorado,Barack Obama,35166
06017,El Dorado,Mitt Romney,50973
06017,El Dorado,Thomas Hoefling,336
06017,El Dorado,Jill Stein,410
06017,El Dorado,Gary Johnson,1278
06017,El Dorado,Roseanne Barr,312
06017,El Dorado,"Ross C. ""Rocky"" Anderson",8
06017,El Dorado,"Shelia ""Samm"" Tittle",0
06017,El Dorado,Stephen Durham,0
06017,El Dorado,Ron Paul,284
06017,El Dorado,James Harris,0
06017,El Dorado,Virgil Goode,7
06017,El Dorado,Jerry White,0
06017,El Dorado,Stewart Alexander,0
06019,Fresno,Barack Obama,129129
06019,Fresno,Mitt Romney,124490
06019,Fresno,Thomas Hoefling,434
06019,Fresno,Jill Stein,1101
06019,Fresno,Gary Johnson,2262
06019,Fresno,Roseanne Barr,898
06019,Fresno,"Ross C. ""Rocky"" Anderson",8
06019,Fresno,"Shelia ""Samm"" Tittle",3
06019,Fresno,Stephen Durham,0
06019,Fresno,Ron Paul,485
06019,Fresno,James Harris,0
06019,Fresno,Virgil Goode,16
06019,Fresno,Jerry White,0
06019,Fresno,Stewart Alexander,1
06021,Glenn,Barack Obama,3301
06021,Glenn,Mitt Romney,5632
06021,Glenn,Thomas Hoefling,57
06021,Glenn,Jill Stein,30
06021,Glenn,Gary Johnson,106
06021,Glenn,Roseanne Barr,65
06021,Glenn,"Ross C. ""Rocky"" Anderson",1
06021,Glenn,"Shelia ""Samm"" Tittle",0
06021,Glenn,Stephen Durham,0
06021,Glenn,Ron Paul,19
06021,Glenn,James Harris,0
06021,Glenn,Virgil Goode,0
06021,Glenn,Jerry White,0
06021,Glenn,Stewart Alexander,0
06023,Humboldt,Barack Obama,34457
06023,Humboldt,Mitt Romney,18825
06023,Humboldt,Thomas Hoefling,105
06023,Humboldt,Jill Stein,2505
06023,Humboldt,Gary Johnson,910
06023,Humboldt,Roseanne Barr,370
06023,Humboldt,"Ross C. ""Rocky"" Anderson",26
06023,Humboldt,"Shelia ""Samm"" Tittle",0
06023,Humboldt,Stephen Durham,0
06023,Humboldt,Ron Paul,266
06023,Humboldt,James Harris,0
06023,Humboldt,Virgil Goode,4
06023,Humboldt,Jerry White,0
06023,Humboldt,Stewart Alexander,2
06025,Imperial,Barack Obama,25136
06025,Imperial,Mitt Romney,12777
06025,Imperial,Thomas Hoefling,135
06025,Imperial,Jill Stein,112
06025,Imperial,Gary Johnson,227
06025,Imperial,Roseanne Barr,146
06025,Imperial,"Ross C. ""Rocky"" Anderson",1
06025,Imperial,"Shelia ""Samm"" Tittle",0
06025,Imperial,Stephen Durham,0
06025,Imperial,Ron Paul,28
06025,Imperial,James Harris,0
06025,Imperial,Virgil Goode,2
06025,Imperial,Jerry White,0
06025,Imperial,Stewart Alexander,1
06027,Inyo,Barack Obama,3422
06027,Inyo,Mitt Romney,4340
06027,Inyo,Thomas Hoefling,43
06027,Inyo,Jill Stein,70
06027,Inyo,Gary Johnson,94
06027,Inyo,Roseanne Barr,35
06027,Inyo,"Ross C. ""Rocky"" Anderson",0
06027,Inyo,"Shelia ""Samm"" Tittle",0
06027,Inyo,Stephen Durham,0
06027,Inyo,Ron Paul,29
06027,Inyo,James Harris,0
06027,Inyo,Virgil Goode,1
06027,Inyo,Jerry White,0
06027,Inyo,Stewart Alexander,2
06029,Kern,Barack Obama,89495
06029,Kern,Mitt Romney,126618
06029,Kern,Thomas Hoefling,963
06029,Kern,Jill Stein,672
06029,Kern,Gary Johnson,2195
06029,Kern,Roseanne Barr,1070
06029,Kern,"Ross C. ""Rocky"" Anderson",10
06029,Kern,"Shelia ""Samm"" Tittle",0
06029,Kern,Stephen Durham,1
06029,Kern,Ron Paul,431
06029,Kern,James Harris,0
06029,Kern,Virgil Goode,16
06029,Kern,Jerry White,1
06029,Kern,Stewart Alexander,0
06031,Kings,Barack Obama,12979
06031,Kings,Mitt Romney,17671
06031,Kings,Thomas Hoefling,160
06031,Kings,Jill Stein,120
06031,Kings,Gary Johnson,251
06031,Kings,Roseanne Barr,170
06031,Kings,"Ross C. ""Rocky"" Anderson",3
06031,Kings,"Shelia ""Samm"" Tittle",0
06031,Kings,Stephen Durham,0
06031,Kings,Ron Paul,62
06031,Kings,James Harris,0
06031,Kings,Virgil Goode,1
06031,Kings,Jerry White,0
06031,Kings,Stewart Alexander,1
06033,Lake,Barack Obama,13163
06033,Lake,Mitt Romney,9200
06033,Lake,Thomas Hoefling,139
06033,Lake,Jill Stein,264
06033,Lake,Gary Johnson,323
06033,Lake,Roseanne Barr,229
06033,Lake,"Ross C. ""Rocky"" Anderson",7
06033,Lake,"Shelia ""Samm"" Tittle",0
06033,Lake,Stephen Durham,0
06033,Lake,Ron Paul,66
06033,Lake,James Harris,0
06033,Lake,Virgil Goode,0
06033,Lake,Jerry White,0
06033,Lake,Stewart Alexander,0
06035,Lassen,Barack Obama,3053
06035,Lassen,Mitt Romney,7296
06035,Lassen,Thomas Hoefling,49
06035,Lassen,Jill Stein,42
06035,Lassen,Gary Johnson,138
06035,Lassen,Roseanne Barr,69
06035,Lassen,"Ross C. ""Rocky"" Anderson",0
06035,Lassen,"Shelia ""Samm"" Tittle",0
06035,Lassen,Stephen Durham,0
06035,Lassen,Ron Paul,36
06035,Lassen,James Harris,0
06035,Lassen,Virgil Goode,0
06035,Lassen,Jerry White,0
06035,Lassen,Stewart Alexander,0
06037,Los Angeles,Barack Obama,2216903
06037,Los Angeles,Mitt Romney,885333
06037,Los Angeles,Thomas Hoefling,10408
06037,Los Angeles,Jill Stein,20404
06037,Los Angeles,Gary Johnson,31917
06037,Los Angeles,Roseanne Barr,14649
06037,Los Angeles,"Ross C. ""Rocky"" Anderson",93
06037,Los Angeles,"Shelia ""Samm"" Tittle",1
06037,Los Angeles,Stephen Durham,10
06037,Los Angeles,Ron Paul,1258
06037,Los Angeles,James Harris,19
06037,Los Angeles,Virgil Goode,34
06037,Los Angeles,Jerry White,22
06037,Los Angeles,Stewart Alexander,16
06039,Madera,Barack Obama,16018
06039,Madera,Mitt Romney,22852
06039,Madera,Thomas Hoefling,174
06039,Madera,Jill Stein,175
06039,Madera,Gary Johnson,342
06039,Madera,Roseanne Barr,200
06039,Madera,"Ross C. ""Rocky"" Anderson",7
06039,Madera,"Shelia ""Samm"" Tittle",0
06039,Madera,Stephen Durham,0
06039,Madera,Ron Paul,93
06039,Madera,James Harris,1
06039,Madera,Virgil Goode,4
06039,Madera,Jerry White,0
06039,Madera,Stewart Alexander,0
06041,Marin,Barack Obama,99896
06041,Marin,Mitt Romney,30880
06041,Marin,Thomas Hoefling,181
06041,Marin,Jill Stein,1558
06041,Marin,Gary Johnson,1333
06041,Marin,Roseanne Barr,401
06041,Marin,"Ross C. ""Rocky"" Anderson",38
06041,Marin,"Shelia ""Samm"" Tittle",0
06041,Marin,Stephen Durham,1
06041,Marin,Ron Paul,217
06041,Marin,James Harris,3
06041,Marin,Virgil Goode,7
06041,Marin,Jerry White,0
06041,Marin,Stewart Alexander,1
06043,Mariposa,Barack Obama,3498
06043,Mariposa,Mitt Romney,5140
06043,Mariposa,Thomas Hoefling,49
06043,Mariposa,Jill Stein,87
06043,Mariposa,Gary Johnson,124
06043,Mariposa,Roseanne Barr,75
06043,Mariposa,"Ross C. ""Rocky"" Anderson",0
06043,Mariposa,"Shelia ""Samm"" Tittle",0
06043,Mariposa,Stephen Durham,0
06043,Mariposa,Ron Paul,25
06043,Mariposa,James Harris,0
06043,Mariposa,Virgil Goode,2
06043,Mariposa,Jerry White,0
06043,Mariposa,Stewart Alexander,0
06045,Mendocino,Barack Obama,23193
