fips,county,candidate,votes
08001,Adams,Virgil H. Goode Jr. / Jim Clymer,570
08003,Alamosa,Virgil H. Goode Jr. / Jim Clymer,32
08005,Arapahoe,Virgil H. Goode Jr. / Jim Clymer,654
08007,Archuleta,Virgil H. Goode Jr. / Jim Clymer,23
08009,Baca,Virgil H. Goode Jr. / Jim Clymer,19
08011,Bent,Virgil H. Goode Jr. / Jim Clymer,9
08013,Boulder,Virgil H. Goode Jr. / Jim Clymer,262
08014,Broomfield,Virgil H. Goode Jr. / Jim Clymer,77
08015,Chaffee,Virgil H. Goode Jr. / Jim Clymer,34
08017,Cheyenne,Virgil H. Goode Jr. / Jim Clymer,6
08019,Clear Creek,Virgil H. Goode Jr. / Jim Clymer,14
08021,Conejos,Virgil H. Goode Jr. / Jim Clymer,11
08023,Costilla,Virgil H. Goode Jr. / Jim Clymer,18
08025,Crowley,Virgil H. Goode Jr. / Jim Clymer,8
08027,Custer,Virgil H. Goode Jr. / Jim Clymer,9
08029,Delta,Virgil H. Goode Jr. / Jim Clymer,59
08031,Denver,Virgil H. Goode Jr. / Jim Clymer,407
08033,Dolores,Virgil H. Goode Jr. / Jim Clymer,7
08035,Douglas,Virgil H. Goode Jr. / Jim Clymer,236
08037,Eagle,Virgil H. Goode Jr. / Jim Clymer,24
08041,El Paso,Virgil H. Goode Jr. / Jim Clymer,818
08039,Elbert,Virgil H. Goode Jr. / Jim Clymer,43
08043,Fremont,Virgil H. Goode Jr. / Jim Clymer,89
08045,Garfield,Virgil H. Goode Jr. / Jim Clymer,55
08047,Gilpin,Virgil H. Goode Jr. / Jim Clymer,8
08049,Grand,Virgil H. Goode Jr. / Jim Clymer,26
08051,Gunnison,Virgil H. Goode Jr. / Jim Clymer,23
08053,Hinsdale,Virgil H. Goode Jr. / Jim Clymer,4
08055,Huerfano,Virgil H. Goode Jr. / Jim Clymer,14
08057,Jackson,Virgil H. Goode Jr. / Jim Clymer,5
08059,Jefferson,Virgil H. Goode Jr. / Jim Clymer,621
08061,Kiowa,Virgil H. Goode Jr. / Jim Clymer,3
08063,Kit Carson,Virgil H. Goode Jr. / Jim Clymer,13
08067,La Plata,Virgil H. Goode Jr. / Jim Clymer,56
08065,Lake,Virgil H. Goode Jr. / Jim Clymer,16
08069,Larimer,Virgil H. Goode Jr. / Jim Clymer,473
08071,Las Animas,Virgil H. Goode Jr. / Jim Clymer,16
08073,Lincoln,Virgil H. Goode Jr. / Jim Clymer,9
08075,Logan,Virgil H. Goode Jr. / Jim Clymer,45
08077,Mesa,Virgil H. Goode Jr. / Jim Clymer,197
08079,Mineral,Virgil H. Goode Jr. / Jim Clymer,1
08081,Moffat,Virgil H. Goode Jr. / Jim Clymer,25
08083,Montezuma,Virgil H. Goode Jr. / Jim Clymer,33
08085,Montrose,Virgil H. Goode Jr. / Jim Clymer,76
08087,Morgan,Virgil H. Goode Jr. / Jim Clymer,51
