fips,county,candidate,votes
09001,Fairfield,Romney and Ryan,175168
09001,Fairfield,Obama and Biden,217294
09001,Fairfield,Anderson and Rodriguez,1010
09001,Fairfield,Johnson and Gray,2644
09003,Hartford,Romney and Ryan,143238
09003,Hartford,Obama and Biden,244639
09003,Hartford,Anderson and Rodriguez,1183
09003,Hartford,Johnson and Gray,2959
09005,Litchfield,Romney and Ryan,47201
09005,Litchfield,Obama and Biden,43856
09005,Litchfield,Anderson and Rodriguez,364
09005,Litchfield,Johnson and Gray,891
09007,Middlesex,Romney and Ryan,34591
09007,Middlesex,Obama and Biden,47855
09007,Middlesex,Anderson and Rodriguez,293
09007,Middlesex,Johnson and Gray,753
09009,New Haven,Romney and Ryan,138357
09009,New Haven,Obama and Biden,218972
09009,New Haven,Anderson and Rodriguez,1013
09009,New Haven,Johnson and Gray,2490
09011,New london,Romney and Ryan,46119
09011,New london,Obama and Biden,67144
09011,New london,Anderson and Rodriguez,586
09011,New london,Johnson and Gray,1244
09013,Tolland,Romney and Ryan,30450
09013,Tolland,Obama and Biden,39366
09013,Tolland,Anderson and Rodriguez,282
09013,Tolland,Johnson and Gray,830
09015,Windham,Romney and Ryan,19768
09015,Windham,Obama and Biden,25957
09015,Windham,Anderson and Rodriguez,240
09015,Windham,Johnson and Gray,529
