fips,county,candidate,votes
12001,Alachua,Romney / Ryan (REP),48797
12001,Alachua,Obama / Biden (DEM),69699
12001,Alachua,Stevens / Link (OBJ),46
12001,Alachua,Johnson / Gray (LBT),1306
12001,Alachua,"Goode, / Clymer (CPF)",43
12001,Alachua,Stein / Honkala (GRE),344
12001,Alachua,Barnett / Cross (REF),11
12001,Alachua,Alexander / Mendoza (SOC),22
12001,Alachua,Lindsay / Osorio (PSL),4
12001,Alachua,Barr / Sheehan (PFP),102
12001,Alachua,Hoefling / Ellis (AIP),16
12001,Alachua,Anderson / Rodriguez (JPF),27
12001,Alachua,Byrne / Harris (WRI),0
12001,Alachua,Coniglio / Walsh (WRI),0
12001,Alachua,Duncan / Johnson (WRI),0
12001,Alachua,Durham / Lopez (WRI),0
12001,Alachua,Magee / Harney (WRI),0
12001,Alachua,Reed / Cary (WRI),1
12003,Baker,Romney / Ryan (REP),8975
12003,Baker,Obama / Biden (DEM),2311
12003,Baker,Stevens / Link (OBJ),8
12003,Baker,Johnson / Gray (LBT),41
12003,Baker,"Goode, / Clymer (CPF)",3
12003,Baker,Stein / Honkala (GRE),6
12003,Baker,Barnett / Cross (REF),0
12003,Baker,Alexander / Mendoza (SOC),1
12003,Baker,Lindsay / Osorio (PSL),1
12003,Baker,Barr / Sheehan (PFP),14
12003,Baker,Hoefling / Ellis (AIP),5
12003,Baker,Anderson / Rodriguez (JPF),3
12003,Baker,Byrne / Harris (WRI),0
12003,Baker,Coniglio / Walsh (WRI),0
12003,Baker,Duncan / Johnson (WRI),0
12003,Baker,Durham / Lopez (WRI),0
12003,Baker,Magee / Harney (WRI),0
12003,Baker,Reed / Cary (WRI),0
12005,Bay,Romney / Ryan (REP),56876
12005,Bay,Obama / Biden (DEM),22051
12005,Bay,Stevens / Link (OBJ),48
12005,Bay,Johnson / Gray (LBT),573
12005,Bay,"Goode, / Clymer (CPF)",25
12005,Bay,Stein / Honkala (GRE),123
12005,Bay,Barnett / Cross (REF),12
12005,Bay,Alexander / Mendoza (SOC),3
12005,Bay,Lindsay / Osorio (PSL),4
12005,Bay,Barr / Sheehan (PFP),114
12005,Bay,Hoefling / Ellis (AIP),11
12005,Bay,Anderson / Rodriguez (JPF),21
12005,Bay,Byrne / Harris (WRI),0
12005,Bay,Coniglio / Walsh (WRI),0
12005,Bay,Duncan / Johnson (WRI),0
12005,Bay,Durham / Lopez (WRI),0
12005,Bay,Magee / Harney (WRI),0
12005,Bay,Reed / Cary (WRI),0
12007,Bradford,Romney / Ryan (REP),8219
12007,Bradford,Obama / Biden (DEM),3325
12007,Bradford,Stevens / Link (OBJ),7
12007,Bradford,Johnson / Gray (LBT),39
12007,Bradford,"Goode, / Clymer (CPF)",4
12007,Bradford,Stein / Honkala (GRE),14
