fips,county,candidate,votes
13001,Appling,MITT ROMNEY (R),5233
13003,Atkinson,MITT ROMNEY (R),1938
13005,Bacon,MITT ROMNEY (R),3093
13007,Baker,MITT ROMNEY (R),785
13009,Baldwin,MITT ROMNEY (R),7589
13011,Banks,MITT ROMNEY (R),5354
13013,Barrow,MITT ROMNEY (R),18725
13015,Bartow,MITT ROMNEY (R),26876
13017,Ben Hill,MITT ROMNEY (R),3396
13019,Berrien,MITT ROMNEY (R),4843
13021,Bibb,MITT ROMNEY (R),25623
13023,Bleckley,MITT ROMNEY (R),3587
13025,Brantley,MITT ROMNEY (R),4964
13027,Brooks,MITT ROMNEY (R),3554
13029,Bryan,MITT ROMNEY (R),9560
13031,Bulloch,MITT ROMNEY (R),14174
13033,Burke,MITT ROMNEY (R),4301
13035,Butts,MITT ROMNEY (R),6306
13037,Calhoun,MITT ROMNEY (R),883
13039,Camden,MITT ROMNEY (R),11343
13043,Candler,MITT ROMNEY (R),2344
13045,Carroll,MITT ROMNEY (R),28280
13047,Catoosa,MITT ROMNEY (R),17858
13049,Charlton,MITT ROMNEY (R),2527
13051,Chatham,MITT ROMNEY (R),47204
13053,Chattahoochee,MITT ROMNEY (R),735
13055,Chattooga,MITT ROMNEY (R),5452
13057,Cherokee,MITT ROMNEY (R),76514
13059,Clarke,MITT ROMNEY (R),13815
13061,Clay,MITT ROMNEY (R),537
13063,Clayton,MITT ROMNEY (R),14164
13065,Clinch,MITT ROMNEY (R),1598
13067,Cobb,MITT ROMNEY (R),171722
13069,Coffee,MITT ROMNEY (R),9248
13071,Colquitt,MITT ROMNEY (R),9243
13073,Columbia,MITT ROMNEY (R),41765
13075,Cook,MITT ROMNEY (R),3935
13077,Coweta,MITT ROMNEY (R),39653
13079,Crawford,MITT ROMNEY (R),3368
13081,Crisp,MITT ROMNEY (R),4182
13083,Dade,MITT ROMNEY (R),4471
13085,Dawson,MITT ROMNEY (R),8847
13089,DeKalb,MITT ROMNEY (R),64392
13087,Decatur,MITT ROMNEY (R),5824
13091,Dodge,MITT ROMNEY (R),5214
13093,Dooly,MITT ROMNEY (R),1985
13095,Dougherty,MITT ROMNEY (R),11449
13097,Douglas,MITT ROMNEY (R),26241
13099,Early,MITT ROMNEY (R),2557
13101,Echols,MITT ROMNEY (R),917
13103,Effingham,MITT ROMNEY (R),15596
13105,Elbert,MITT ROMNEY (R),4859
13107,Emanuel,MITT ROMNEY (R),5100
13109,Evans,MITT ROMNEY (R),2268
13111,Fannin,MITT ROMNEY (R),7857
13113,Fayette,MITT ROMNEY (R),38075
13115,Floyd,MITT ROMNEY (R),22733
13117,Forsyth,MITT ROMNEY (R),65908
13119,Franklin,MITT ROMNEY (R),6114
13121,Fulton,MITT ROMNEY (R),137124
13123,Gilmer,MITT ROMNEY (R),8926
13125,Glascock,MITT ROMNEY (R),1135
13127,Glynn,MITT ROMNEY (R),20893
13129,Gordon,MITT ROMNEY (R),13197
13131,Grady,MITT ROMNEY (R),5924
13133,Greene,MITT ROMNEY (R),5071
13135,Gwinnett,MITT ROMNEY (R),159855
13137,Habersham,MITT ROMNEY (R),12166
13139,Hall,MITT ROMNEY (R),47481
13141,Hancock,MITT ROMNEY (R),769
13143,Haralson,MITT ROMNEY (R),8446
13145,Harris,MITT ROMNEY (R),11197
13147,Hart,MITT ROMNEY (R),6517
13149,Heard,MITT ROMNEY (R),3160
13151,Henry,MITT ROMNEY (R),46774
13153,Houston,MITT ROMNEY (R),34662
13155,Irwin,MITT ROMNEY (R),2538
13157,Jackson,MITT ROMNEY (R),19135
13159,Jasper,MITT ROMNEY (R),4136
13161,Jeff Davis,MITT ROMNEY (R),3996
13163,Jefferson,MITT ROMNEY (R),2999
13165,Jenkins,MITT ROMNEY (R),1887
13167,Johnson,MITT ROMNEY (R),2440
13169,Jones,MITT ROMNEY (R),7744
13171,Lamar,MITT ROMNEY (R),4899
13173,Lanier,MITT ROMNEY (R),1820
13175,Laurens,MITT ROMNEY (R),11950
13177,Lee,MITT ROMNEY (R),10314
13179,Liberty,MITT ROMNEY (R),5565
13181,Lincoln,MITT ROMNEY (R),2807
13183,Long,MITT ROMNEY (R),2306
13185,Lowndes,MITT ROMNEY (R),21327
13187,Lumpkin,MITT ROMNEY (R),8647
13193,Macon,MITT ROMNEY (R),1545
13195,Madison,MITT ROMNEY (R),8443
13197,Marion,MITT ROMNEY (R),1733
13189,McDuffie,MITT ROMNEY (R),5475
13191,McIntosh,MITT ROMNEY (R),3409
