fips,county,candidate,votes
15003,Honolulu,Obama,204349
15003,Honolulu,Romney,88461
15003,Honolulu,Johnson,2252
15003,Honolulu,Stein,1680
15001,Hawaii,Obama,47224
15001,Hawaii,Romney,14753
15001,Hawaii,Johnson,749
15001,Hawaii,Stein,728
15009,Maui,Obama,36052
15009,Maui,Romney,11602
15009,Maui,Johnson,565
15009,Maui,Stein,434
15007,Kauai,Obama,18641
15007,Kauai,Romney,6121
15007,Kauai,Johnson,338
15007,Kauai,Stein,272
,Overseas,Obama,392
,Overseas,Romney,78
,Overseas,Johnson,2
,Overseas,Stein,4
