fips,county,candidate,votes
19001,Adair,Mitt Romney/Paul Ryan,2114
19001,Adair,Barack Obama/Joe Biden,1790
19001,Adair,Virgil Goode/James Clymer,8
19001,Adair,Jill Stein/Cheri Honkala,9
19001,Adair,Gary Johnson/James P. Gray,30
19001,Adair,Gloria LaRiva/Stefanie Beacham,3
19001,Adair,James Harris/Alyson Kennedy,5
19001,Adair,Jerry Litzel/Jim Litzel,6
19001,Adair,Write-In,31
19003,Adams,Mitt Romney/Paul Ryan,1108
19003,Adams,Barack Obama/Joe Biden,1028
19003,Adams,Virgil Goode/James Clymer,6
19003,Adams,Jill Stein/Cheri Honkala,3
19003,Adams,Gary Johnson/James P. Gray,16
19003,Adams,Gloria LaRiva/Stefanie Beacham,0
19003,Adams,James Harris/Alyson Kennedy,4
19003,Adams,Jerry Litzel/Jim Litzel,8
19003,Adams,Write-In,12
19005,Allamakee,Mitt Romney/Paul Ryan,3264
19005,Allamakee,Barack Obama/Joe Biden,3553
19005,Allamakee,Virgil Goode/James Clymer,9
19005,Allamakee,Jill Stein/Cheri Honkala,27
19005,Allamakee,Gary Johnson/James P. Gray,27
19005,Allamakee,Gloria LaRiva/Stefanie Beacham,1
19005,Allamakee,James Harris/Alyson Kennedy,17
19005,Allamakee,Jerry Litzel/Jim Litzel,2
19005,Allamakee,Write-In,34
19007,Appanoose,Mitt Romney/Paul Ryan,3161
19007,Appanoose,Barack Obama/Joe Biden,2951
19007,Appanoose,Virgil Goode/James Clymer,15
19007,Appanoose,Jill Stein/Cheri Honkala,18
19007,Appanoose,Gary Johnson/James P. Gray,44
19007,Appanoose,Gloria LaRiva/Stefanie Beacham,2
19007,Appanoose,James Harris/Alyson Kennedy,2
19007,Appanoose,Jerry Litzel/Jim Litzel,8
19007,Appanoose,Write-In,44
19009,Audubon,Mitt Romney/Paul Ryan,1802
19009,Audubon,Barack Obama/Joe Biden,1611
19009,Audubon,Virgil Goode/James Clymer,8
19009,Audubon,Jill Stein/Cheri Honkala,8
19009,Audubon,Gary Johnson/James P. Gray,12
19009,Audubon,Gloria LaRiva/Stefanie Beacham,1
19009,Audubon,James Harris/Alyson Kennedy,1
19009,Audubon,Jerry Litzel/Jim Litzel,2
19009,Audubon,Write-In,12
19011,Benton,Mitt Romney/Paul Ryan,6940
19011,Benton,Barack Obama/Joe Biden,6862
19011,Benton,Virgil Goode/James Clymer,31
19011,Benton,Jill Stein/Cheri Honkala,25
19011,Benton,Gary Johnson/James P. Gray,100
19011,Benton,Gloria LaRiva/Stefanie Beacham,6
19011,Benton,James Harris/Alyson Kennedy,2
19011,Benton,Jerry Litzel/Jim Litzel,10
19011,Benton,Write-In,47
19013,Black Hawk,Mitt Romney/Paul Ryan,26235
19013,Black Hawk,Barack Obama/Joe Biden,39821
19013,Black Hawk,Virgil Goode/James Clymer,96
19013,Black Hawk,Jill Stein/Cheri Honkala,118
19013,Black Hawk,Gary Johnson/James P. Gray,540
19013,Black Hawk,Gloria LaRiva/Stefanie Beacham,13
19013,Black Hawk,James Harris/Alyson Kennedy,15
19013,Black Hawk,Jerry Litzel/Jim Litzel,14
19013,Black Hawk,Write-In,289
19015,Boone,Mitt Romney/Paul Ryan,6556
19015,Boone,Barack Obama/Joe Biden,7512
19015,Boone,Virgil Goode/James Clymer,55
19015,Boone,Jill Stein/Cheri Honkala,43
19015,Boone,Gary Johnson/James P. Gray,122
19015,Boone,Gloria LaRiva/Stefanie Beacham,1
19015,Boone,James Harris/Alyson Kennedy,2
19015,Boone,Jerry Litzel/Jim Litzel,21
19015,Boone,Write-In,76
19017,Bremer,Mitt Romney/Paul Ryan,6405
19017,Bremer,Barack Obama/Joe Biden,6763
19017,Bremer,Virgil Goode/James Clymer,13
19017,Bremer,Jill Stein/Cheri Honkala,16
19017,Bremer,Gary Johnson/James P. Gray,82
19017,Bremer,Gloria LaRiva/Stefanie Beacham,3
19017,Bremer,James Harris/Alyson Kennedy,4
19017,Bremer,Jerry Litzel/Jim Litzel,7
19017,Bremer,Write-In,53
19019,Buchanan,Mitt Romney/Paul Ryan,4450
19019,Buchanan,Barack Obama/Joe Biden,5911
19019,Buchanan,Virgil Goode/James Clymer,19
19019,Buchanan,Jill Stein/Cheri Honkala,34
19019,Buchanan,Gary Johnson/James P. Gray,65
19019,Buchanan,Gloria LaRiva/Stefanie Beacham,4
19019,Buchanan,James Harris/Alyson Kennedy,5
19019,Buchanan,Jerry Litzel/Jim Litzel,5
19019,Buchanan,Write-In,42
19021,Buena Vista,Mitt Romney/Paul Ryan,4554
19021,Buena Vista,Barack Obama/Joe Biden,3700
19021,Buena Vista,Virgil Goode/James Clymer,16
19021,Buena Vista,Jill Stein/Cheri Honkala,12
19021,Buena Vista,Gary Johnson/James P. Gray,57
19021,Buena Vista,Gloria LaRiva/Stefanie Beacham,2
19021,Buena Vista,James Harris/Alyson Kennedy,2
19021,Buena Vista,Jerry Litzel/Jim Litzel,4
19021,Buena Vista,Write-In,36
19023,Butler,Mitt Romney/Paul Ryan,4106
19023,Butler,Barack Obama/Joe Biden,3329
19023,Butler,Virgil Goode/James Clymer,25
19023,Butler,Jill Stein/Cheri Honkala,18
19023,Butler,Gary Johnson/James P. Gray,33
19023,Butler,Gloria LaRiva/Stefanie Beacham,1
19023,Butler,James Harris/Alyson Kennedy,1
19023,Butler,Jerry Litzel/Jim Litzel,8
19023,Butler,Write-In,24
19025,Calhoun,Mitt Romney/Paul Ryan,2891
19025,Calhoun,Barack Obama/Joe Biden,2238
19025,Calhoun,Virgil Goode/James Clymer,16
19025,Calhoun,Jill Stein/Cheri Honkala,12
19025,Calhoun,Gary Johnson/James P. Gray,39
19025,Calhoun,Gloria LaRiva/Stefanie Beacham,0
19025,Calhoun,James Harris/Alyson Kennedy,1
19025,Calhoun,Jerry Litzel/Jim Litzel,1
19025,Calhoun,Write-In,32
19027,Carroll,Mitt Romney/Paul Ryan,5601
19027,Carroll,Barack Obama/Joe Biden,4947
19027,Carroll,Virgil Goode/James Clymer,23
19027,Carroll,Jill Stein/Cheri Honkala,13
19027,Carroll,Gary Johnson/James P. Gray,42
19027,Carroll,Gloria LaRiva/Stefanie Beacham,5
19027,Carroll,James Harris/Alyson Kennedy,1
19027,Carroll,Jerry Litzel/Jim Litzel,8
19027,Carroll,Write-In,34
19029,Cass,Mitt Romney/Paul Ryan,4217
19029,Cass,Barack Obama/Joe Biden,2858
19029,Cass,Virgil Goode/James Clymer,21
19029,Cass,Jill Stein/Cheri Honkala,15
19029,Cass,Gary Johnson/James P. Gray,46
19029,Cass,Gloria LaRiva/Stefanie Beacham,4
19029,Cass,James Harris/Alyson Kennedy,9
19029,Cass,Jerry Litzel/Jim Litzel,5
19029,Cass,Write-In,30
19031,Cedar,Mitt Romney/Paul Ryan,4529
19031,Cedar,Barack Obama/Joe Biden,4972
19031,Cedar,Virgil Goode/James Clymer,14
19031,Cedar,Jill Stein/Cheri Honkala,15
19031,Cedar,Gary Johnson/James P. Gray,72
19031,Cedar,Gloria LaRiva/Stefanie Beacham,0
19031,Cedar,James Harris/Alyson Kennedy,1
19031,Cedar,Jerry Litzel/Jim Litzel,5
19031,Cedar,Write-In,41
19033,Cerro Gordo,Mitt Romney/Paul Ryan,10128
19033,Cerro Gordo,Barack Obama/Joe Biden,13316
19033,Cerro Gordo,Virgil Goode/James Clymer,44
19033,Cerro Gordo,Jill Stein/Cheri Honkala,48
19033,Cerro Gordo,Gary Johnson/James P. Gray,147
