fips,county,candidate,votes
16001,Ada,"Ross C. ""Rocky"" Anderson",636
16001,Ada,Virgil H. Goode,477
16001,Ada,Gary Johnson,3422
16001,Ada,Barack Obama,77137
16001,Ada,Mitt Romney,97554
16001,Ada,Jill Stein,1320
16003,Adams,"Ross C. ""Rocky"" Anderson",11
16003,Adams,Virgil H. Goode,8
16003,Adams,Gary Johnson,28
16003,Adams,Barack Obama,577
16003,Adams,Mitt Romney,1413
16003,Adams,Jill Stein,23
16005,Bannock,"Ross C. ""Rocky"" Anderson",218
16005,Bannock,Virgil H. Goode,102
16005,Bannock,Gary Johnson,442
16005,Bannock,Barack Obama,13214
16005,Bannock,Mitt Romney,21010
16005,Bannock,Jill Stein,274
16007,Bear Lake,"Ross C. ""Rocky"" Anderson",6
16007,Bear Lake,Virgil H. Goode,11
16007,Bear Lake,Gary Johnson,9
16007,Bear Lake,Barack Obama,302
16007,Bear Lake,Mitt Romney,2489
16007,Bear Lake,Jill Stein,5
16009,Benewah,"Ross C. ""Rocky"" Anderson",16
16009,Benewah,Virgil H. Goode,28
16009,Benewah,Gary Johnson,46
16009,Benewah,Barack Obama,1164
16009,Benewah,Mitt Romney,2596
16009,Benewah,Jill Stein,34
16011,Bingham,"Ross C. ""Rocky"" Anderson",50
16011,Bingham,Virgil H. Goode,50
16011,Bingham,Gary Johnson,155
16011,Bingham,Barack Obama,3822
16011,Bingham,Mitt Romney,13440
16011,Bingham,Jill Stein,86
16013,Blaine,"Ross C. ""Rocky"" Anderson",40
16013,Blaine,Virgil H. Goode,8
16013,Blaine,Gary Johnson,167
16013,Blaine,Barack Obama,5992
16013,Blaine,Mitt Romney,3939
16013,Blaine,Jill Stein,48
16015,Boise,"Ross C. ""Rocky"" Anderson",11
16015,Boise,Virgil H. Goode,11
16015,Boise,Gary Johnson,63
16015,Boise,Barack Obama,1053
16015,Boise,Mitt Romney,2284
16015,Boise,Jill Stein,23
16017,Bonner,"Ross C. ""Rocky"" Anderson",70
16017,Bonner,Virgil H. Goode,100
16017,Bonner,Gary Johnson,322
16017,Bonner,Barack Obama,6500
16017,Bonner,Mitt Romney,11367
16017,Bonner,Jill Stein,177
16019,Bonneville,"Ross C. ""Rocky"" Anderson",157
16019,Bonneville,Virgil H. Goode,106
16019,Bonneville,Gary Johnson,536
16019,Bonneville,Barack Obama,9903
16019,Bonneville,Mitt Romney,32276
16019,Bonneville,Jill Stein,235
16021,Boundary,"Ross C. ""Rocky"" Anderson",22
16021,Boundary,Virgil H. Goode,34
16021,Boundary,Gary Johnson,77
16021,Boundary,Barack Obama,1225
16021,Boundary,Mitt Romney,3138
16021,Boundary,Jill Stein,48
16023,Butte,"Ross C. ""Rocky"" Anderson",7
16023,Butte,Virgil H. Goode,4
16023,Butte,Gary Johnson,8
16023,Butte,Barack Obama,258
16023,Butte,Mitt Romney,1001
16023,Butte,Jill Stein,8
16025,Camas,"Ross C. ""Rocky"" Anderson",4
16025,Camas,Virgil H. Goode,1
16025,Camas,Gary Johnson,7
16025,Camas,Barack Obama,159
16025,Camas,Mitt Romney,402
16025,Camas,Jill Stein,5
16027,Canyon,"Ross C. ""Rocky"" Anderson",242
16027,Canyon,Virgil H. Goode,228
16027,Canyon,Gary Johnson,945
16027,Canyon,Barack Obama,19866
