fips,county,candidate,votes
17001,ADAMS,STEIN,165
17003,ALEXANDER,STEIN,20
17005,BOND,STEIN,60
17007,BOONE,STEIN,98
17009,BROWN,STEIN,24
17011,BUREAU,STEIN,106
17013,CALHOUN,STEIN,27
17015,CARROLL,STEIN,45
17017,CASS,STEIN,46
17019,CHAMPAIGN,STEIN,897
17021,CHRISTIAN,STEIN,117
17023,CLARK,STEIN,32
17025,CLAY,STEIN,38
17027,CLINTON,STEIN,100
17029,COLES,STEIN,159
17031,COOK,STEIN,11332
17033,CRAWFORD,STEIN,54
17035,CUMBERLAND,STEIN,48
17037,DeKALB,STEIN,310
17039,DE WITT,STEIN,65
17041,DOUGLAS,STEIN,40
17043,DuPAGE,STEIN,2011
17045,EDGAR,STEIN,46
17047,EDWARDS,STEIN,22
17049,EFFINGHAM,STEIN,93
17051,FAYETTE,STEIN,48
17053,FORD,STEIN,32
17055,FRANKLIN,STEIN,152
17057,FULTON,STEIN,130
17059,GALLATIN,STEIN,23
17061,GREENE,STEIN,38
17063,GRUNDY,STEIN,128
17065,HAMILTON,STEIN,40
17067,HANCOCK,STEIN,59
17069,HARDIN,STEIN,22
17071,HENDERSON,STEIN,11
17073,HENRY,STEIN,117
17075,IROQUOIS,STEIN,75
17077,JACKSON,STEIN,406
17079,JASPER,STEIN,30
17081,JEFFERSON,STEIN,147
17083,JERSEY,STEIN,80
17085,JO DAVIESS,STEIN,57
17087,JOHNSON,STEIN,49
17089,KANE,STEIN,875
17091,KANKAKEE,STEIN,236
17093,KENDALL,STEIN,195
17095,KNOX,STEIN,134
17097,LAKE,STEIN,1133
17099,LaSALLE,STEIN,273
17101,LAWRENCE,STEIN,33
17103,LEE,STEIN,101
17105,LIVINGSTON,STEIN,85
17107,LOGAN,STEIN,107
17115,MACON,STEIN,255
17117,MACOUPIN,STEIN,174
17119,MADISON,STEIN,950
17121,MARION,STEIN,77
17123,MARSHALL,STEIN,38
17125,MASON,STEIN,57
17127,MASSAC,STEIN,31
17109,McDONOUGH,STEIN,139
17111,McHENRY,STEIN,735
17113,McLEAN,STEIN,483
17129,MENARD,STEIN,36
17131,MERCER,STEIN,41
17133,MONROE,STEIN,92
17135,MONTGOMERY,STEIN,106
17137,MORGAN,STEIN,112
17139,MOULTRIE,STEIN,48
17141,OGLE,STEIN,117
