fips,county,candidate,votes
18001,Adams,Obama,3806
18001,Adams,Johnson,262
18001,Adams,Romney,8937
18001,Adams,Goode,2
18001,Adams,Knill,0
18001,Adams,Durham,0
18003,Allen,Obama,60036
18003,Allen,Johnson,2197
18003,Allen,Romney,84613
18003,Allen,Goode,16
18003,Allen,Knill,0
18003,Allen,Durham,0
18005,Bartholomew,Obama,10625
18005,Bartholomew,Johnson,608
18005,Bartholomew,Romney,18083
18005,Bartholomew,Goode,4
18005,Bartholomew,Knill,0
18005,Bartholomew,Durham,0
18007,Benton,Obama,1159
18007,Benton,Johnson,89
18007,Benton,Romney,2329
18007,Benton,Goode,0
18007,Benton,Knill,0
18007,Benton,Durham,0
18009,Blackford,Obama,1927
18009,Blackford,Johnson,103
18009,Blackford,Romney,2711
18009,Blackford,Goode,0
18009,Blackford,Knill,0
18009,Blackford,Durham,0
18011,Boone,Obama,8328
18011,Boone,Johnson,593
18011,Boone,Romney,18808
18011,Boone,Goode,3
18011,Boone,Knill,0
18011,Boone,Durham,0
18013,Brown,Obama,3060
18013,Brown,Johnson,204
18013,Brown,Romney,4332
18013,Brown,Goode,1
18013,Brown,Knill,0
18013,Brown,Durham,0
18015,Carroll,Obama,2635
18015,Carroll,Johnson,169
18015,Carroll,Romney,4999
18015,Carroll,Goode,1
18015,Carroll,Knill,0
18015,Carroll,Durham,0
18017,Cass,Obama,5371
18017,Cass,Johnson,341
18017,Cass,Romney,8443
18017,Cass,Goode,0
18017,Cass,Knill,0
18017,Cass,Durham,0
18019,Clark,Obama,20807
18019,Clark,Johnson,866
18019,Clark,Romney,25450
18019,Clark,Goode,7
18019,Clark,Knill,6
18019,Clark,Durham,0
18021,Clay,Obama,3460
18021,Clay,Johnson,227
18021,Clay,Romney,7096
18021,Clay,Goode,0
18021,Clay,Knill,0
18021,Clay,Durham,0
18023,Clinton,Obama,3308
18023,Clinton,Johnson,234
18023,Clinton,Romney,6338
18023,Clinton,Goode,2
18023,Clinton,Knill,0
18023,Clinton,Durham,0
18025,Crawford,Obama,2041
18025,Crawford,Johnson,128
18025,Crawford,Romney,2421
18025,Crawford,Goode,0
18025,Crawford,Knill,0
18025,Crawford,Durham,0
18027,Daviess,Obama,2437
18027,Daviess,Johnson,171
