fips,county,candidate,votes
21001,Adair,ROMNEY,5841
21001,Adair,OBAMA,1660
21001,Adair,JOHNSON,43
21001,Adair,TERRY,33
21001,Adair,STEIN,23
21001,Adair,GOODE,0
21001,Adair,ANDERSON,0
21001,Adair,DUNCAN,0
21001,Adair,HOEFLING,0
21001,Adair,WHITE,0
21001,Adair,DURHAM,0
21001,Adair,HOUSE,0
21001,Adair,KNILL,0
21001,Adair,PROKOPICH,0
21001,Adair,MAGEE,0
21001,Adair,JUDD,0
21003,Allen,ROMNEY,5184
21003,Allen,OBAMA,1808
21003,Allen,JOHNSON,59
21003,Allen,TERRY,28
21003,Allen,STEIN,20
21003,Allen,GOODE,1
21003,Allen,ANDERSON,0
21003,Allen,DUNCAN,0
21003,Allen,HOEFLING,0
21003,Allen,WHITE,0
21003,Allen,DURHAM,0
21003,Allen,HOUSE,0
21003,Allen,KNILL,0
21003,Allen,PROKOPICH,0
21003,Allen,MAGEE,0
21003,Allen,JUDD,0
21005,Anderson,ROMNEY,6822
21005,Anderson,OBAMA,3315
21005,Anderson,JOHNSON,97
21005,Anderson,TERRY,49
21005,Anderson,STEIN,35
21005,Anderson,GOODE,2
21005,Anderson,ANDERSON,0
21005,Anderson,DUNCAN,0
21005,Anderson,HOEFLING,0
21005,Anderson,WHITE,0
21005,Anderson,DURHAM,0
21005,Anderson,HOUSE,0
21005,Anderson,KNILL,0
21005,Anderson,PROKOPICH,0
21005,Anderson,MAGEE,0
21005,Anderson,JUDD,0
21007,Ballard,ROMNEY,2647
21007,Ballard,OBAMA,1189
21007,Ballard,JOHNSON,23
21007,Ballard,TERRY,29
21007,Ballard,STEIN,7
21007,Ballard,GOODE,0
21007,Ballard,ANDERSON,0
21007,Ballard,DUNCAN,0
21007,Ballard,HOEFLING,0
21007,Ballard,WHITE,0
21007,Ballard,DURHAM,0
21007,Ballard,HOUSE,0
21007,Ballard,KNILL,0
21007,Ballard,PROKOPICH,0
21007,Ballard,MAGEE,0
21007,Ballard,JUDD,0
21009,Barren,ROMNEY,10922
21009,Barren,OBAMA,5400
21009,Barren,JOHNSON,123
21009,Barren,TERRY,70
21009,Barren,STEIN,50
21009,Barren,GOODE,2
21009,Barren,ANDERSON,1
21009,Barren,DUNCAN,0
21009,Barren,HOEFLING,0
21009,Barren,WHITE,0
21009,Barren,DURHAM,0
21009,Barren,HOUSE,0
21009,Barren,KNILL,0
21009,Barren,PROKOPICH,0
21009,Barren,MAGEE,0
21009,Barren,JUDD,0
21011,Bath,ROMNEY,2275
21011,Bath,OBAMA,1770
21011,Bath,JOHNSON,32
21011,Bath,TERRY,26
21011,Bath,STEIN,19
21011,Bath,GOODE,0
21011,Bath,ANDERSON,0
21011,Bath,DUNCAN,0
21011,Bath,HOEFLING,0
21011,Bath,WHITE,0
21011,Bath,DURHAM,0
21011,Bath,HOUSE,0
21011,Bath,KNILL,0
21011,Bath,PROKOPICH,0
21011,Bath,MAGEE,0
21011,Bath,JUDD,0
21013,Bell,ROMNEY,7127
21013,Bell,OBAMA,2224
21013,Bell,JOHNSON,61
21013,Bell,TERRY,47
21013,Bell,STEIN,23
21013,Bell,GOODE,0
21013,Bell,ANDERSON,0
21013,Bell,DUNCAN,0
21013,Bell,HOEFLING,0
21013,Bell,WHITE,0
21013,Bell,DURHAM,0
21013,Bell,HOUSE,0
21013,Bell,KNILL,0
21013,Bell,PROKOPICH,0
21013,Bell,MAGEE,0
21013,Bell,JUDD,0
21015,Boone,ROMNEY,35922
21015,Boone,OBAMA,15629
21015,Boone,JOHNSON,669
21015,Boone,TERRY,143
21015,Boone,STEIN,135
21015,Boone,GOODE,10
21015,Boone,ANDERSON,2
21015,Boone,DUNCAN,0
21015,Boone,HOEFLING,1
21015,Boone,WHITE,0
21015,Boone,DURHAM,0
21015,Boone,HOUSE,0
21015,Boone,KNILL,0
21015,Boone,PROKOPICH,0
21015,Boone,MAGEE,0
21015,Boone,JUDD,0
21017,Bourbon,ROMNEY,4692
21017,Bourbon,OBAMA,3075
21017,Bourbon,JOHNSON,62
21017,Bourbon,TERRY,41
21017,Bourbon,STEIN,39
21017,Bourbon,GOODE,0
21017,Bourbon,ANDERSON,1
21017,Bourbon,DUNCAN,13
21017,Bourbon,HOEFLING,0
21017,Bourbon,WHITE,0
21017,Bourbon,DURHAM,0
21017,Bourbon,HOUSE,0
21017,Bourbon,KNILL,0
21017,Bourbon,PROKOPICH,0
21017,Bourbon,MAGEE,0
21017,Bourbon,JUDD,0
21019,Boyd,ROMNEY,10884
21019,Boyd,OBAMA,7776
21019,Boyd,JOHNSON,183
21019,Boyd,TERRY,133
21019,Boyd,STEIN,65
21019,Boyd,GOODE,7
21019,Boyd,ANDERSON,0
21019,Boyd,DUNCAN,0
21019,Boyd,HOEFLING,1
21019,Boyd,WHITE,0
21019,Boyd,DURHAM,0
21019,Boyd,HOUSE,0
21019,Boyd,KNILL,0
21019,Boyd,PROKOPICH,0
21019,Boyd,MAGEE,0
21019,Boyd,JUDD,0
21021,Boyle,ROMNEY,7703
21021,Boyle,OBAMA,4471
21021,Boyle,JOHNSON,113
21021,Boyle,TERRY,41
21021,Boyle,STEIN,40
21021,Boyle,GOODE,0
21021,Boyle,ANDERSON,0
21021,Boyle,DUNCAN,0
21021,Boyle,HOEFLING,5
21021,Boyle,WHITE,0
21021,Boyle,DURHAM,0
21021,Boyle,HOUSE,0
21021,Boyle,KNILL,0
21021,Boyle,PROKOPICH,0
21021,Boyle,MAGEE,0
21021,Boyle,JUDD,0
21023,Bracken,ROMNEY,2029
21023,Bracken,OBAMA,1147
21023,Bracken,JOHNSON,24
21023,Bracken,TERRY,21
21023,Bracken,STEIN,9
21023,Bracken,GOODE,2
21023,Bracken,ANDERSON,0
21023,Bracken,DUNCAN,0
21023,Bracken,HOEFLING,0
21023,Bracken,WHITE,0
21023,Bracken,DURHAM,0
21023,Bracken,HOUSE,0
21023,Bracken,KNILL,0
21023,Bracken,PROKOPICH,0
21023,Bracken,MAGEE,0
21023,Bracken,JUDD,0
21025,Breathitt,ROMNEY,3318
21025,Breathitt,OBAMA,1562
21025,Breathitt,JOHNSON,59
21025,Breathitt,TERRY,47
21025,Breathitt,STEIN,22
21025,Breathitt,GOODE,0
21025,Breathitt,ANDERSON,0
21025,Breathitt,DUNCAN,0
21025,Breathitt,HOEFLING,0
21025,Breathitt,WHITE,0
21025,Breathitt,DURHAM,0
21025,Breathitt,HOUSE,0
21025,Breathitt,KNILL,0
21025,Breathitt,PROKOPICH,0
21025,Breathitt,MAGEE,0
21025,Breathitt,JUDD,0
21027,Breckinridge,ROMNEY,5025
21027,Breckinridge,OBAMA,2825
21027,Breckinridge,JOHNSON,50
21027,Breckinridge,TERRY,42
21027,Breckinridge,STEIN,25
21027,Breckinridge,GOODE,2
21027,Breckinridge,ANDERSON,0
21027,Breckinridge,DUNCAN,0
21027,Breckinridge,HOEFLING,0
21027,Breckinridge,WHITE,0
21027,Breckinridge,DURHAM,0
21027,Breckinridge,HOUSE,0
21027,Breckinridge,KNILL,0
21027,Breckinridge,PROKOPICH,0
21027,Breckinridge,MAGEE,0
21027,Breckinridge,JUDD,0
21029,Bullitt,ROMNEY,21306
21029,Bullitt,OBAMA,9971
21029,Bullitt,JOHNSON,307
21029,Bullitt,TERRY,114
21029,Bullitt,STEIN,77
21029,Bullitt,GOODE,3
21029,Bullitt,ANDERSON,1
21029,Bullitt,DUNCAN,0
21029,Bullitt,HOEFLING,0
21029,Bullitt,WHITE,0
21029,Bullitt,DURHAM,0
21029,Bullitt,HOUSE,0
21029,Bullitt,KNILL,0
21029,Bullitt,PROKOPICH,0
21029,Bullitt,MAGEE,0
21029,Bullitt,JUDD,0
