fips,county,candidate,votes
22001,Acadia,"Barack Obama, Joe Biden Democratic",6560
22001,Acadia,"Jill Stein, Cheri Honkala Green",101
22001,Acadia,"Gary Johnson, James P. Gray Libertarian",144
22001,Acadia,"Mitt Romney, Paul Ryan Republican",19931
22001,Acadia,"Virgil Goode, James Clymer Constitution",26
22001,Acadia,"Ross Anderson, Luis Rodriguez Justice",23
22001,Acadia,"Jack Fellure, Toby Davis Prohibition",8
22001,Acadia,"Peta Lindsay, Yari Osorio Socialism and Liberation",9
22001,Acadia,"Jerry White, Phyllis Scherrer Socialist Equality",7
22001,Acadia,"James Harris, Alyson Kennedy Socialist Workers",2
22001,Acadia,"Sheila Tittle, Matthew Turner We The People",24
22003,Allen,"Barack Obama, Joe Biden Democratic",2617
22003,Allen,"Jill Stein, Cheri Honkala Green",52
22003,Allen,"Gary Johnson, James P. Gray Libertarian",73
22003,Allen,"Mitt Romney, Paul Ryan Republican",6495
22003,Allen,"Virgil Goode, James Clymer Constitution",17
22003,Allen,"Ross Anderson, Luis Rodriguez Justice",15
22003,Allen,"Jack Fellure, Toby Davis Prohibition",3
22003,Allen,"Peta Lindsay, Yari Osorio Socialism and Liberation",1
22003,Allen,"Jerry White, Phyllis Scherrer Socialist Equality",5
22003,Allen,"James Harris, Alyson Kennedy Socialist Workers",2
22003,Allen,"Sheila Tittle, Matthew Turner We The People",27
22005,Ascension,"Barack Obama, Joe Biden Democratic",16349
22005,Ascension,"Jill Stein, Cheri Honkala Green",123
22005,Ascension,"Gary Johnson, James P. Gray Libertarian",538
22005,Ascension,"Mitt Romney, Paul Ryan Republican",33856
22005,Ascension,"Virgil Goode, James Clymer Constitution",53
22005,Ascension,"Ross Anderson, Luis Rodriguez Justice",44
22005,Ascension,"Jack Fellure, Toby Davis Prohibition",20
22005,Ascension,"Peta Lindsay, Yari Osorio Socialism and Liberation",11
22005,Ascension,"Jerry White, Phyllis Scherrer Socialist Equality",9
22005,Ascension,"James Harris, Alyson Kennedy Socialist Workers",10
22005,Ascension,"Sheila Tittle, Matthew Turner We The People",60
22007,Assumption,"Barack Obama, Joe Biden Democratic",4754
22007,Assumption,"Jill Stein, Cheri Honkala Green",34
22007,Assumption,"Gary Johnson, James P. Gray Libertarian",70
22007,Assumption,"Mitt Romney, Paul Ryan Republican",6083
22007,Assumption,"Virgil Goode, James Clymer Constitution",16
22007,Assumption,"Ross Anderson, Luis Rodriguez Justice",5
22007,Assumption,"Jack Fellure, Toby Davis Prohibition",1
