fips,county,candidate,votes
25023,Plymouth,Obama/ Biden,131845
25023,Plymouth,Romney/ Ryan,121086
25023,Plymouth,Johnson/ Gray,2103
25023,Plymouth,Stein/ Honkala,939
25023,Plymouth,All Others,558
25017,Middlesex,Obama/ Biden,471804
25017,Middlesex,Romney/ Ryan,267321
25017,Middlesex,Johnson/ Gray,7763
25017,Middlesex,Stein/ Honkala,5759
25017,Middlesex,All Others,1523
25005,Bristol,Obama/ Biden,142962
25005,Bristol,Romney/ Ryan,93752
25005,Bristol,Johnson/ Gray,2645
25005,Bristol,Stein/ Honkala,1647
25005,Bristol,All Others,503
25003,Berkshire,Obama/ Biden,48843
25003,Berkshire,Romney/ Ryan,14252
25003,Berkshire,Johnson/ Gray,729
25003,Berkshire,Stein/ Honkala,557
25003,Berkshire,All Others,105
25013,Hampden,Obama/ Biden,123619
25013,Hampden,Romney/ Ryan,73392
25013,Hampden,Johnson/ Gray,1866
25013,Hampden,Stein/ Honkala,1083
25013,Hampden,All Others,439
25009,Essex,Obama/ Biden,210302
25009,Essex,Romney/ Ryan,150480
25009,Essex,Johnson/ Gray,3452
25009,Essex,Stein/ Honkala,1460
25009,Essex,All Others,663
25015,Hampshire,Obama/ Biden,57359
25015,Hampshire,Romney/ Ryan,21480
25015,Hampshire,Johnson/ Gray,974
25015,Hampshire,Stein/ Honkala,1576
25015,Hampshire,All Others,232
25007,Dukes,Obama/ Biden,7978
25007,Dukes,Romney/ Ryan,2792
25007,Dukes,Johnson/ Gray,80
25007,Dukes,Stein/ Honkala,90
25007,Dukes,All Others,28
25027,Worcester,Obama/ Biden,198244
25027,Worcester,Romney/ Ryan,163390
25027,Worcester,Johnson/ Gray,4381
25027,Worcester,Stein/ Honkala,2158
25027,Worcester,All Others,939
25011,Franklin,Obama/ Biden,27072
25011,Franklin,Romney/ Ryan,9344
25011,Franklin,Johnson/ Gray,459
25011,Franklin,Stein/ Honkala,781
25011,Franklin,All Others,102
25021,Norfolk,Obama/ Biden,202714
25021,Norfolk,Romney/ Ryan,148393
25021,Norfolk,Johnson/ Gray,3050
25021,Norfolk,Stein/ Honkala,1641
25021,Norfolk,All Others,725
25001,Barnstable,Obama/ Biden,70822
25001,Barnstable,Romney/ Ryan,60446
25001,Barnstable,Johnson/ Gray,970
25001,Barnstable,Stein/ Honkala,707
25001,Barnstable,All Others,170
25025,Suffolk,Obama/ Biden,223896
25025,Suffolk,Romney/ Ryan,59999
25025,Suffolk,Johnson/ Gray,2388
25025,Suffolk,Stein/ Honkala,2269
25025,Suffolk,All Others,546
25019,Nantucket,Obama/ Biden,3830
25019,Nantucket,Romney/ Ryan,2187
25019,Nantucket,Johnson/ Gray,60
25019,Nantucket,Stein/ Honkala,24
25019,Nantucket,All Others,19
