town,candidate,votes
Abington,Obama/ Biden,4144
Abington,Romney/ Ryan,4061
Abington,Johnson/ Gray,53
Abington,Stein/ Honkala,37
Abington,All Others,20
Acton,Obama/ Biden,7872
Acton,Romney/ Ryan,3875
Acton,Johnson/ Gray,136
Acton,Stein/ Honkala,83
Acton,All Others,17
Acushnet,Obama/ Biden,3046
Acushnet,Romney/ Ryan,2196
Acushnet,Johnson/ Gray,59
Acushnet,Stein/ Honkala,26
Acushnet,All Others,18
Adams,Obama/ Biden,3013
Adams,Romney/ Ryan,819
Adams,Johnson/ Gray,53
Adams,Stein/ Honkala,25
Adams,All Others,9
Agawam,Obama/ Biden,7288
Agawam,Romney/ Ryan,6870
Agawam,Johnson/ Gray,136
Agawam,Stein/ Honkala,60
Agawam,All Others,33
Alford,Obama/ Biden,233
Alford,Romney/ Ryan,64
Alford,Johnson/ Gray,1
Alford,Stein/ Honkala,6
Alford,All Others,0
Amesbury,Obama/ Biden,4863
Amesbury,Romney/ Ryan,3427
Amesbury,Johnson/ Gray,101
Amesbury,Stein/ Honkala,34
Amesbury,All Others,21
Amherst,Obama/ Biden,12798
Amherst,Romney/ Ryan,1911
Amherst,Johnson/ Gray,270
Amherst,Stein/ Honkala,444
Amherst,All Others,61
Andover,Obama/ Biden,9401
Andover,Romney/ Ryan,9096
Andover,Johnson/ Gray,181
Andover,Stein/ Honkala,82
Andover,All Others,0
Aquinnah,Obama/ Biden,252
Aquinnah,Romney/ Ryan,38
Aquinnah,Johnson/ Gray,2
Aquinnah,Stein/ Honkala,6
Aquinnah,All Others,0
Arlington,Obama/ Biden,18850
Arlington,Romney/ Ryan,6694
Arlington,Johnson/ Gray,249
Arlington,Stein/ Honkala,316
Arlington,All Others,50
Ashburnham,Obama/ Biden,1632
Ashburnham,Romney/ Ryan,1535
Ashburnham,Johnson/ Gray,38
Ashburnham,Stein/ Honkala,24
Ashburnham,All Others,18
Ashby,Obama/ Biden,827
Ashby,Romney/ Ryan,961
Ashby,Johnson/ Gray,32
Ashby,Stein/ Honkala,10
Ashby,All Others,5
Ashfield,Obama/ Biden,892
Ashfield,Romney/ Ryan,187
Ashfield,Johnson/ Gray,11
Ashfield,Stein/ Honkala,31
Ashfield,All Others,1
Ashland,Obama/ Biden,4979
Ashland,Romney/ Ryan,3409
Ashland,Johnson/ Gray,115
Ashland,Stein/ Honkala,36
Ashland,All Others,9
Athol,Obama/ Biden,2543
Athol,Romney/ Ryan,2079
Athol,Johnson/ Gray,78
Athol,Stein/ Honkala,41
Athol,All Others,14
Attleboro,Obama/ Biden,10502
Attleboro,Romney/ Ryan,8470
Attleboro,Johnson/ Gray,263
Attleboro,Stein/ Honkala,95
Attleboro,All Others,54
Auburn,Obama/ Biden,4520
Auburn,Romney/ Ryan,4121
Auburn,Johnson/ Gray,106
Auburn,Stein/ Honkala,63
Auburn,All Others,18
Avon,Obama/ Biden,1222
Avon,Romney/ Ryan,1131
Avon,Johnson/ Gray,31
Avon,Stein/ Honkala,11
Avon,All Others,0
Ayer,Obama/ Biden,2025
Ayer,Romney/ Ryan,1558
Ayer,Johnson/ Gray,43
Ayer,Stein/ Honkala,21
Ayer,All Others,6
Barnstable,Obama/ Biden,12947
Barnstable,Romney/ Ryan,12355
Barnstable,Johnson/ Gray,181
Barnstable,Stein/ Honkala,128
Barnstable,All Others,0
Barre,Obama/ Biden,1345
Barre,Romney/ Ryan,1279
Barre,Johnson/ Gray,36
Barre,Stein/ Honkala,25
Barre,All Others,11
Becket,Obama/ Biden,686
Becket,Romney/ Ryan,259
Becket,Johnson/ Gray,14
Becket,Stein/ Honkala,10
Becket,All Others,1
Bedford,Obama/ Biden,4469
Bedford,Romney/ Ryan,3061
Bedford,Johnson/ Gray,90
Bedford,Stein/ Honkala,60
Bedford,All Others,18
Belchertown,Obama/ Biden,4600
Belchertown,Romney/ Ryan,2914
Belchertown,Johnson/ Gray,73
Belchertown,Stein/ Honkala,81
Belchertown,All Others,15
Bellingham,Obama/ Biden,4263
Bellingham,Romney/ Ryan,4133
Bellingham,Johnson/ Gray,110
Bellingham,Stein/ Honkala,30
Bellingham,All Others,24
Belmont,Obama/ Biden,9313
Belmont,Romney/ Ryan,4752
Belmont,Johnson/ Gray,111
Belmont,Stein/ Honkala,137
Belmont,All Others,28
Berkley,Obama/ Biden,1573
Berkley,Romney/ Ryan,1689
Berkley,Johnson/ Gray,32
Berkley,Stein/ Honkala,10
Berkley,All Others,16
Berlin,Obama/ Biden,921
Berlin,Romney/ Ryan,830
Berlin,Johnson/ Gray,35
Berlin,Stein/ Honkala,21
Berlin,All Others,0
Bernardston,Obama/ Biden,809
Bernardston,Romney/ Ryan,329
Bernardston,Johnson/ Gray,19
Bernardston,Stein/ Honkala,9
Bernardston,All Others,8
Beverly,Obama/ Biden,12158
Beverly,Romney/ Ryan,8328
Beverly,Johnson/ Gray,263
Beverly,Stein/ Honkala,114
Beverly,All Others,53
Billerica,Obama/ Biden,9839
Billerica,Romney/ Ryan,9959
Billerica,Johnson/ Gray,210
Billerica,Stein/ Honkala,92
Billerica,All Others,64
Blackstone,Obama/ Biden,2222
Blackstone,Romney/ Ryan,2028
Blackstone,Johnson/ Gray,50
Blackstone,Stein/ Honkala,17
Blackstone,All Others,8
Blandford,Obama/ Biden,300
Blandford,Romney/ Ryan,348
Blandford,Johnson/ Gray,7
Blandford,Stein/ Honkala,5
Blandford,All Others,1
Bolton,Obama/ Biden,1554
Bolton,Romney/ Ryan,1463
Bolton,Johnson/ Gray,37
Bolton,Stein/ Honkala,15
Bolton,All Others,7
Boston,Obama/ Biden,200190
Boston,Romney/ Ryan,48985
Boston,Johnson/ Gray,2119
Boston,Stein/ Honkala,2112
Boston,All Others,483
Bourne,Obama/ Biden,4812
Bourne,Romney/ Ryan,5296
Bourne,Johnson/ Gray,68
Bourne,Stein/ Honkala,40
Bourne,All Others,28
Boxborough,Obama/ Biden,1753
Boxborough,Romney/ Ryan,1140
Boxborough,Johnson/ Gray,33
Boxborough,Stein/ Honkala,25
Boxborough,All Others,0
Boxford,Obama/ Biden,2066
Boxford,Romney/ Ryan,3034
Boxford,Johnson/ Gray,48
Boxford,Stein/ Honkala,14
Boxford,All Others,13
Boylston,Obama/ Biden,1283
Boylston,Romney/ Ryan,1343
Boylston,Johnson/ Gray,36
Boylston,Stein/ Honkala,17
Boylston,All Others,8
Braintree,Obama/ Biden,10059
Braintree,Romney/ Ryan,9232
Braintree,Johnson/ Gray,157
Braintree,Stein/ Honkala,75
Braintree,All Others,51
Brewster,Obama/ Biden,3678
Brewster,Romney/ Ryan,2752
Brewster,Johnson/ Gray,60
Brewster,Stein/ Honkala,40
Brewster,All Others,13
Bridgewater,Obama/ Biden,5777
Bridgewater,Romney/ Ryan,6098
Bridgewater,Johnson/ Gray,110
Bridgewater,Stein/ Honkala,47
Bridgewater,All Others,28
Brimfield,Obama/ Biden,897
Brimfield,Romney/ Ryan,1095
Brimfield,Johnson/ Gray,31
Brimfield,Stein/ Honkala,20
Brimfield,All Others,3
Brockton,Obama/ Biden,25262
Brockton,Romney/ Ryan,8710
Brockton,Johnson/ Gray,227
Brockton,Stein/ Honkala,85
Brockton,All Others,50
Brookfield,Obama/ Biden,830
Brookfield,Romney/ Ryan,858
Brookfield,Johnson/ Gray,26
Brookfield,Stein/ Honkala,19
Brookfield,All Others,5
Brookline,Obama/ Biden,22277
Brookline,Romney/ Ryan,5880
Brookline,Johnson/ Gray,208
Brookline,Stein/ Honkala,255
Brookline,All Others,33
Buckland,Obama/ Biden,750
Buckland,Romney/ Ryan,252
Buckland,Johnson/ Gray,11
Buckland,Stein/ Honkala,21
Buckland,All Others,0
Burlington,Obama/ Biden,6983
Burlington,Romney/ Ryan,6191
Burlington,Johnson/ Gray,115
Burlington,Stein/ Honkala,46
Burlington,All Others,25
Cambridge,Obama/ Biden,43515
Cambridge,Romney/ Ryan,5476
Cambridge,Johnson/ Gray,568
Cambridge,Stein/ Honkala,938
Cambridge,All Others,122
Canton,Obama/ Biden,6488
Canton,Romney/ Ryan,5779
Canton,Johnson/ Gray,102
Canton,Stein/ Honkala,37
Canton,All Others,13
Carlisle,Obama/ Biden,1972
