fips,county,candidate,votes
24510,Baltimore City,"Fred Donald Dickson, Jr.",2
24510,Baltimore City,"Theodis (Ted)  Brown, Sr.",0
24510,Baltimore City,Anderson/ Rodriguez,27
24510,Baltimore City,Andre  Barnett,5
24510,Baltimore City,Barbara A. Prokopich,0
24510,Baltimore City,Briscoe/ Ogle,3
24510,Baltimore City,Bruce  Mlynski,0
24510,Baltimore City,Cecil James Roth,0
24510,Baltimore City,Chehade/ McAllister,2
24510,Baltimore City,Christensen/ Gibbs,0
24510,Baltimore City,Darrell  Hykes,0
24510,Baltimore City,David M. Crosby,0
24510,Baltimore City,Dean  Morstad,0
24510,Baltimore City,Dennis  Knill,0
24510,Baltimore City,Deonia  Neveu,0
24510,Baltimore City,Durham/ Lopez,5
24510,Baltimore City,Dwight Kenneth French,0
24510,Baltimore City,James  Clymer,3
24510,Baltimore City,Johnson/ Gray,1924
24510,Baltimore City,Kevin M. Thorne,0
24510,Baltimore City,Leon Leo Ray,0
24510,Baltimore City,Matthew  Lydick,2
24510,Baltimore City,Michael David Boyles,1
24510,Baltimore City,Miller/ Bertram,3
24510,Baltimore City,Nelson  Keyton,0
24510,Baltimore City,Obama/ Biden,221478
24510,Baltimore City,Other Write-Ins,573
24510,Baltimore City,Reed/ Cary,0
24510,Baltimore City,Richard  Duncan,2
24510,Baltimore City,Robert William Dietz,0
24510,Baltimore City,Romney/ Ryan,28171
24510,Baltimore City,Roseanne  Barr,8
24510,Baltimore City,Santa  Claus,38
24510,Baltimore City,Sheila  Tittle,0
24510,Baltimore City,Stein/ Honkala,1737
24510,Baltimore City,Terrance James O'Hara,0
24510,Baltimore City,Virgil  Goode,21
24001,Allegany,"Fred Donald Dickson, Jr.",0
24001,Allegany,"Theodis (Ted)  Brown, Sr.",0
24001,Allegany,Anderson/ Rodriguez,2
24001,Allegany,Andre  Barnett,0
24001,Allegany,Barbara A. Prokopich,0
24001,Allegany,Briscoe/ Ogle,0
24001,Allegany,Bruce  Mlynski,0
24001,Allegany,Cecil James Roth,0
24001,Allegany,Chehade/ McAllister,0
24001,Allegany,Christensen/ Gibbs,0
24001,Allegany,Darrell  Hykes,0
24001,Allegany,David M. Crosby,1
24001,Allegany,Dean  Morstad,0
24001,Allegany,Dennis  Knill,0
24001,Allegany,Deonia  Neveu,0
24001,Allegany,Durham/ Lopez,0
24001,Allegany,Dwight Kenneth French,0
24001,Allegany,James  Clymer,0
24001,Allegany,Johnson/ Gray,448
24001,Allegany,Kevin M. Thorne,0
24001,Allegany,Leon Leo Ray,0
24001,Allegany,Matthew  Lydick,0
24001,Allegany,Michael David Boyles,0
24001,Allegany,Miller/ Bertram,2
24001,Allegany,Nelson  Keyton,0
24001,Allegany,Obama/ Biden,9805
24001,Allegany,Other Write-Ins,87
24001,Allegany,Reed/ Cary,0
24001,Allegany,Richard  Duncan,0
24001,Allegany,Robert William Dietz,0
24001,Allegany,Romney/ Ryan,19230
24001,Allegany,Roseanne  Barr,4
24001,Allegany,Santa  Claus,10
24001,Allegany,Sheila  Tittle,0
24001,Allegany,Stein/ Honkala,256
24001,Allegany,Terrance James O'Hara,0
24001,Allegany,Virgil  Goode,5
24003,Anne Arundel,"Fred Donald Dickson, Jr.",0
24003,Anne Arundel,"Theodis (Ted)  Brown, Sr.",0
24003,Anne Arundel,Anderson/ Rodriguez,22
24003,Anne Arundel,Andre  Barnett,0
