fips,county,candidate,votes
26001,ALCONA,"Goode, Jr.",27
26001,ALCONA,Alexander,0
26001,ALCONA,Anderson,9
26001,ALCONA,Hoefling,0
26001,ALCONA,Johnson,8
26001,ALCONA,Obama,2472
26001,ALCONA,Romney,3571
26001,ALCONA,Stein,17
26001,ALCONA,White,0
26003,ALGER,"Goode, Jr.",23
26003,ALGER,Alexander,0
26003,ALGER,Anderson,5
26003,ALGER,Hoefling,0
26003,ALGER,Johnson,14
26003,ALGER,Obama,2212
26003,ALGER,Romney,2330
26003,ALGER,Stein,34
26003,ALGER,White,0
26005,ALLEGAN,"Goode, Jr.",263
26005,ALLEGAN,Alexander,0
26005,ALLEGAN,Anderson,67
26005,ALLEGAN,Hoefling,1
26005,ALLEGAN,Johnson,79
26005,ALLEGAN,Obama,20806
26005,ALLEGAN,Romney,31123
26005,ALLEGAN,Stein,280
26005,ALLEGAN,White,0
26007,ALPENA,"Goode, Jr.",60
26007,ALPENA,Alexander,0
26007,ALPENA,Anderson,20
26007,ALPENA,Hoefling,0
26007,ALPENA,Johnson,0
26007,ALPENA,Obama,6549
26007,ALPENA,Romney,7298
26007,ALPENA,Stein,87
26007,ALPENA,White,0
26009,ANTRIM,"Goode, Jr.",56
26009,ANTRIM,Alexander,0
26009,ANTRIM,Anderson,16
26009,ANTRIM,Hoefling,0
26009,ANTRIM,Johnson,11
26009,ANTRIM,Obama,5107
26009,ANTRIM,Romney,7917
26009,ANTRIM,Stein,88
26009,ANTRIM,White,0
26011,ARENAC,"Goode, Jr.",39
26011,ARENAC,Alexander,0
26011,ARENAC,Anderson,16
26011,ARENAC,Hoefling,0
26011,ARENAC,Johnson,12
26011,ARENAC,Obama,3669
26011,ARENAC,Romney,4057
26011,ARENAC,Stein,48
26011,ARENAC,White,0
26013,BARAGA,"Goode, Jr.",22
26013,BARAGA,Alexander,0
26013,BARAGA,Anderson,7
26013,BARAGA,Hoefling,0
26013,BARAGA,Johnson,0
26013,BARAGA,Obama,1574
26013,BARAGA,Romney,1866
26013,BARAGA,Stein,21
26013,BARAGA,White,0
26015,BARRY,"Goode, Jr.",153
26015,BARRY,Alexander,0
26015,BARRY,Anderson,31
26015,BARRY,Hoefling,0
26015,BARRY,Johnson,30
26015,BARRY,Obama,11491
26015,BARRY,Romney,16655
26015,BARRY,Stein,152
26015,BARRY,White,0
26017,BAY,"Goode, Jr.",236
26017,BAY,Alexander,0
26017,BAY,Anderson,53
26017,BAY,Hoefling,0
26017,BAY,Johnson,35
26017,BAY,Obama,27877
26017,BAY,Romney,24911
26017,BAY,Stein,269
26017,BAY,White,0
26019,BENZIE,"Goode, Jr.",39
26019,BENZIE,Alexander,39
26019,BENZIE,Anderson,8
26019,BENZIE,Hoefling,0
26019,BENZIE,Johnson,9
26019,BENZIE,Obama,4685
26019,BENZIE,Romney,5075
26019,BENZIE,Stein,46
26019,BENZIE,White,0
26021,BERRIEN,"Goode, Jr.",243
26021,BERRIEN,Alexander,1
26021,BERRIEN,Anderson,82
26021,BERRIEN,Hoefling,2
26021,BERRIEN,Johnson,172
26021,BERRIEN,Obama,33465
26021,BERRIEN,Romney,38209
26021,BERRIEN,Stein,323
26021,BERRIEN,White,0
26023,BRANCH,"Goode, Jr.",67
26023,BRANCH,Alexander,0
26023,BRANCH,Anderson,23
26023,BRANCH,Hoefling,0
26023,BRANCH,Johnson,16
26023,BRANCH,Obama,6913
26023,BRANCH,Romney,10035
26023,BRANCH,Stein,92
26023,BRANCH,White,1
26025,CALHOUN,"Goode, Jr.",276
26025,CALHOUN,Alexander,0
26025,CALHOUN,Anderson,48
26025,CALHOUN,Hoefling,0
26025,CALHOUN,Johnson,102
26025,CALHOUN,Obama,29267
26025,CALHOUN,Romney,28333
26025,CALHOUN,Stein,300
26025,CALHOUN,White,1
26027,CASS,"Goode, Jr.",95
26027,CASS,Alexander,0
26027,CASS,Anderson,25
26027,CASS,Hoefling,0
26027,CASS,Johnson,27
26027,CASS,Obama,9591
26027,CASS,Romney,12659
26027,CASS,Stein,93
26027,CASS,White,0
26029,CHARLEVOIX,"Goode, Jr.",29
26029,CHARLEVOIX,Alexander,0
26029,CHARLEVOIX,Anderson,21
26029,CHARLEVOIX,Hoefling,0
26029,CHARLEVOIX,Johnson,20
26029,CHARLEVOIX,Obama,5939
26029,CHARLEVOIX,Romney,8000
26029,CHARLEVOIX,Stein,81
26029,CHARLEVOIX,White,0
26031,CHEBOYGAN,"Goode, Jr.",75
26031,CHEBOYGAN,Alexander,0
26031,CHEBOYGAN,Anderson,24
26031,CHEBOYGAN,Hoefling,0
26031,CHEBOYGAN,Johnson,19
26031,CHEBOYGAN,Obama,5831
26031,CHEBOYGAN,Romney,7286
26031,CHEBOYGAN,Stein,76
26031,CHEBOYGAN,White,0
26033,CHIPPEWA,"Goode, Jr.",83
26033,CHIPPEWA,Alexander,0
26033,CHIPPEWA,Anderson,20
26033,CHIPPEWA,Hoefling,0
26033,CHIPPEWA,Johnson,0
26033,CHIPPEWA,Obama,7100
26033,CHIPPEWA,Romney,8278
26033,CHIPPEWA,Stein,83
26033,CHIPPEWA,White,0
26035,CLARE,"Goode, Jr.",79
26035,CLARE,Alexander,0
26035,CLARE,Anderson,19
26035,CLARE,Hoefling,0
26035,CLARE,Johnson,11
26035,CLARE,Obama,6338
26035,CLARE,Romney,6988
26035,CLARE,Stein,69
26035,CLARE,White,0
26037,CLINTON,"Goode, Jr.",144
26037,CLINTON,Alexander,0
26037,CLINTON,Anderson,40
26037,CLINTON,Hoefling,0
26037,CLINTON,Johnson,86
26037,CLINTON,Obama,18191
26037,CLINTON,Romney,20650
26037,CLINTON,Stein,124
26037,CLINTON,White,0
26039,CRAWFORD,"Goode, Jr.",36
26039,CRAWFORD,Alexander,0
26039,CRAWFORD,Anderson,9
26039,CRAWFORD,Hoefling,0
26039,CRAWFORD,Johnson,0
26039,CRAWFORD,Obama,2994
26039,CRAWFORD,Romney,3744
26039,CRAWFORD,Stein,31
26039,CRAWFORD,White,0
26041,DELTA,"Goode, Jr.",85
26041,DELTA,Alexander,0
26041,DELTA,Anderson,19
26041,DELTA,Hoefling,0
26041,DELTA,Johnson,6
26041,DELTA,Obama,8330
26041,DELTA,Romney,9534
26041,DELTA,Stein,76
26041,DELTA,White,0
26043,DICKINSON,"Goode, Jr.",63
26043,DICKINSON,Alexander,0
26043,DICKINSON,Anderson,19
26043,DICKINSON,Hoefling,0
26043,DICKINSON,Johnson,25
26043,DICKINSON,Obama,4952
26043,DICKINSON,Romney,7688
26043,DICKINSON,Stein,63
26043,DICKINSON,White,0
26045,EATON,"Goode, Jr.",277
26045,EATON,Alexander,0
26045,EATON,Anderson,52
26045,EATON,Hoefling,0
26045,EATON,Johnson,76
26045,EATON,Obama,27913
26045,EATON,Romney,26197
26045,EATON,Stein,273
26045,EATON,White,0
26047,EMMET,"Goode, Jr.",77
26047,EMMET,Alexander,0
26047,EMMET,Anderson,22
26047,EMMET,Hoefling,0
26047,EMMET,Johnson,37
26047,EMMET,Obama,7225
26047,EMMET,Romney,10253
26047,EMMET,Stein,95
26047,EMMET,White,0
26055,GRAND TRAVERSE,"Goode, Jr.",145
26055,GRAND TRAVERSE,Alexander,0
26055,GRAND TRAVERSE,Anderson,47
26055,GRAND TRAVERSE,Hoefling,0
26055,GRAND TRAVERSE,Johnson,96
26055,GRAND TRAVERSE,Obama,20875
26055,GRAND TRAVERSE,Romney,26534
26055,GRAND TRAVERSE,Stein,302
26055,GRAND TRAVERSE,White,0
26049,GENESEE,"Goode, Jr.",763
26049,GENESEE,Alexander,0
26049,GENESEE,Anderson,230
26049,GENESEE,Hoefling,4
26049,GENESEE,Johnson,219
26049,GENESEE,Obama,128978
26049,GENESEE,Romney,71808
26049,GENESEE,Stein,931
26049,GENESEE,White,0
26051,GLADWIN,"Goode, Jr.",69
26051,GLADWIN,Alexander,0
26051,GLADWIN,Anderson,12
26051,GLADWIN,Hoefling,0
26051,GLADWIN,Johnson,31
26051,GLADWIN,Obama,5760
26051,GLADWIN,Romney,6661
26051,GLADWIN,Stein,50
26051,GLADWIN,White,0
26053,GOGEBIC,"Goode, Jr.",22
26053,GOGEBIC,Alexander,0
26053,GOGEBIC,Anderson,9
26053,GOGEBIC,Hoefling,0
26053,GOGEBIC,Johnson,0
26053,GOGEBIC,Obama,4058
26053,GOGEBIC,Romney,3444
26053,GOGEBIC,Stein,43
26053,GOGEBIC,White,0
26057,GRATIOT,"Goode, Jr.",63
26057,GRATIOT,Alexander,0
26057,GRATIOT,Anderson,20
26057,GRATIOT,Hoefling,0
26057,GRATIOT,Johnson,15
26057,GRATIOT,Obama,7610
26057,GRATIOT,Romney,8241
26057,GRATIOT,Stein,86
26057,GRATIOT,White,0
26059,HILLSDALE,"Goode, Jr.",99
26059,HILLSDALE,Alexander,0
26059,HILLSDALE,Anderson,30
26059,HILLSDALE,Hoefling,0
26059,HILLSDALE,Johnson,19
26059,HILLSDALE,Obama,7106
26059,HILLSDALE,Romney,11727
26059,HILLSDALE,Stein,119
26059,HILLSDALE,White,0
26061,HOUGHTON,"Goode, Jr.",74
26061,HOUGHTON,Alexander,0
26061,HOUGHTON,Anderson,25
26061,HOUGHTON,Hoefling,0
26061,HOUGHTON,Johnson,45
26061,HOUGHTON,Obama,6801
26061,HOUGHTON,Romney,8196
26061,HOUGHTON,Stein,141
26061,HOUGHTON,White,0
26063,HURON,"Goode, Jr.",77
26063,HURON,Alexander,0
26063,HURON,Anderson,17
26063,HURON,Hoefling,0
26063,HURON,Johnson,6
26063,HURON,Obama,6518
26063,HURON,Romney,8806
26063,HURON,Stein,60
26063,HURON,White,0
26065,INGHAM,"Goode, Jr.",395
26065,INGHAM,Alexander,1
26065,INGHAM,Anderson,160
26065,INGHAM,Hoefling,6
26065,INGHAM,Johnson,439
26065,INGHAM,Obama,80847
26065,INGHAM,Romney,45306
26065,INGHAM,Stein,755
26065,INGHAM,White,1
26067,IONIA,"Goode, Jr.",194
26067,IONIA,Alexander,0
26067,IONIA,Anderson,47
26067,IONIA,Hoefling,0
26067,IONIA,Johnson,33
26067,IONIA,Obama,11018
