fips,county,candidate,votes
27001,Aitkin,MITT ROMNEY AND PAUL RYAN,4533
27001,Aitkin,BARACK OBAMA AND JOE BIDEN,4412
27001,Aitkin,GARY JOHNSON AND JIM GRAY,80
27001,Aitkin,JAMES HARRIS AND MAURA DELUCA,6
27001,Aitkin,VIRGIL GOODE AND JIM CLYMER,9
27001,Aitkin,DEAN MORSTAD AND JOSH FRANKE-HYLAND,5
27001,Aitkin,JILL STEIN AND CHERI HONKALA,33
27001,Aitkin,JIM CARLSON AND GEORGE MCMAHON,22
27001,Aitkin,PETA LINDSAY AND YARI OSORIO,0
27001,Aitkin,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",9
27001,Aitkin,WRITE-IN**,33
27003,Anoka,MITT ROMNEY AND PAUL RYAN,93430
27003,Anoka,BARACK OBAMA AND JOE BIDEN,88614
27003,Anoka,GARY JOHNSON AND JIM GRAY,2284
27003,Anoka,JAMES HARRIS AND MAURA DELUCA,48
27003,Anoka,VIRGIL GOODE AND JIM CLYMER,233
27003,Anoka,DEAN MORSTAD AND JOSH FRANKE-HYLAND,76
27003,Anoka,JILL STEIN AND CHERI HONKALA,687
27003,Anoka,JIM CARLSON AND GEORGE MCMAHON,207
27003,Anoka,PETA LINDSAY AND YARI OSORIO,17
27003,Anoka,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",122
27003,Anoka,WRITE-IN**,747
27005,Becker,MITT ROMNEY AND PAUL RYAN,9204
27005,Becker,BARACK OBAMA AND JOE BIDEN,6829
27005,Becker,GARY JOHNSON AND JIM GRAY,155
27005,Becker,JAMES HARRIS AND MAURA DELUCA,6
27005,Becker,VIRGIL GOODE AND JIM CLYMER,25
27005,Becker,DEAN MORSTAD AND JOSH FRANKE-HYLAND,9
27005,Becker,JILL STEIN AND CHERI HONKALA,57
27005,Becker,JIM CARLSON AND GEORGE MCMAHON,26
27005,Becker,PETA LINDSAY AND YARI OSORIO,3
27005,Becker,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",15
27005,Becker,WRITE-IN**,53
27007,Beltrami,MITT ROMNEY AND PAUL RYAN,9637
27007,Beltrami,BARACK OBAMA AND JOE BIDEN,11818
27007,Beltrami,GARY JOHNSON AND JIM GRAY,268
27007,Beltrami,JAMES HARRIS AND MAURA DELUCA,12
27007,Beltrami,VIRGIL GOODE AND JIM CLYMER,38
27007,Beltrami,DEAN MORSTAD AND JOSH FRANKE-HYLAND,6
