fips,county,candidate,votes
29001,Adair,Barack Obama,4219 
29001,Adair,Gary Johnson,225 
29001,Adair,Mitt Romney,5651 
29001,Adair,Virgil Goode,31 
29003,Andrew,Barack Obama,2649 
29003,Andrew,Gary Johnson,164 
29003,Andrew,Mitt Romney,5457 
29003,Andrew,Virgil Goode,36 
29005,Atchison,Barack Obama,756 
29005,Atchison,Gary Johnson,45 
29005,Atchison,Mitt Romney,1902 
29005,Atchison,Virgil Goode,6 
29007,Audrain,Barack Obama,3539 
29007,Audrain,Gary Johnson,188 
29007,Audrain,Mitt Romney,6186 
29007,Audrain,Virgil Goode,39 
29009,Barry,Barack Obama,3667 
29009,Barry,Gary Johnson,244 
29009,Barry,Mitt Romney,9832 
29009,Barry,Virgil Goode,63 
29011,Barton,Barack Obama,1230 
29011,Barton,Gary Johnson,87 
29011,Barton,Mitt Romney,4418 
29011,Barton,Virgil Goode,11 
29013,Bates,Barack Obama,2557 
29013,Bates,Gary Johnson,157 
29013,Bates,Mitt Romney,5020 
29013,Bates,Virgil Goode,37 
29015,Benton,Barack Obama,2925 
29015,Benton,Gary Johnson,138 
29015,Benton,Mitt Romney,6069 
29015,Benton,Virgil Goode,25 
29017,Bollinger,Barack Obama,1213 
29017,Bollinger,Gary Johnson,114 
29017,Bollinger,Mitt Romney,4095 
29017,Bollinger,Virgil Goode,34 
29019,Boone,Barack Obama,39847 
29019,Boone,Gary Johnson,1948 
29019,Boone,Mitt Romney,37404 
29019,Boone,Virgil Goode,223 
29021,Buchanan,Barack Obama,15594 
29021,Buchanan,Gary Johnson,702 
29021,Buchanan,Mitt Romney,18660 
29021,Buchanan,Virgil Goode,150 
29023,Butler,Barack Obama,4363 
29023,Butler,Gary Johnson,238 
29023,Butler,Mitt Romney,12248 
29023,Butler,Virgil Goode,40 
29025,Caldwell,Barack Obama,1312 
29025,Caldwell,Gary Johnson,109 
29025,Caldwell,Mitt Romney,2721 
29025,Caldwell,Virgil Goode,25 
29027,Callaway,Barack Obama,6071 
29027,Callaway,Gary Johnson,353 
29027,Callaway,Mitt Romney,11745 
29027,Callaway,Virgil Goode,63 
29029,Camden,Barack Obama,6458 
29029,Camden,Gary Johnson,332 
29029,Camden,Mitt Romney,15092 
29029,Camden,Virgil Goode,63 
29031,Cape Girardeau,Barack Obama,9728 
29031,Cape Girardeau,Gary Johnson,560 
29031,Cape Girardeau,Mitt Romney,25370 
29031,Cape Girardeau,Virgil Goode,58 
29033,Carroll,Barack Obama,1154 
29033,Carroll,Gary Johnson,62 
29033,Carroll,Mitt Romney,3072 
29033,Carroll,Virgil Goode,16 
29035,Carter,Barack Obama,754 
29035,Carter,Gary Johnson,49 
29035,Carter,Mitt Romney,1978 
29035,Carter,Virgil Goode,18 
29037,Cass,Barack Obama,17044 
29037,Cass,Gary Johnson,798 
29037,Cass,Mitt Romney,30912 
29037,Cass,Virgil Goode,159 
29039,Cedar,Barack Obama,1537 
29039,Cedar,Gary Johnson,104 
29039,Cedar,Mitt Romney,4376 
29039,Cedar,Virgil Goode,28 
29041,Chariton,Barack Obama,1339 
29041,Chariton,Gary Johnson,66 
29041,Chariton,Mitt Romney,2402 
29041,Chariton,Virgil Goode,14 
29043,Christian,Barack Obama,9813 
29043,Christian,Gary Johnson,566 
29043,Christian,Mitt Romney,27473 
29043,Christian,Virgil Goode,112 
29045,Clark,Barack Obama,1398 
29045,Clark,Gary Johnson,79 
29045,Clark,Mitt Romney,1730 
29045,Clark,Virgil Goode,18 
29047,Clay,Barack Obama,47310 
29047,Clay,Gary Johnson,1829 
29047,Clay,Mitt Romney,56191 
29047,Clay,Virgil Goode,259 
29049,Clinton,Barack Obama,3688 
29049,Clinton,Gary Johnson,201 
29049,Clinton,Mitt Romney,5931 
29049,Clinton,Virgil Goode,41 
29051,Cole,Barack Obama,12005 
29051,Cole,Gary Johnson,510 
29051,Cole,Mitt Romney,24490 
29051,Cole,Virgil Goode,57 
29053,Cooper,Barack Obama,2474 
29053,Cooper,Gary Johnson,125 
29053,Cooper,Mitt Romney,4887 
29053,Cooper,Virgil Goode,25 
29055,Crawford,Barack Obama,2951 
29055,Crawford,Gary Johnson,153 
29055,Crawford,Mitt Romney,6434 
29055,Crawford,Virgil Goode,41 
29057,Dade,Barack Obama,939 
29057,Dade,Gary Johnson,51 
29057,Dade,Mitt Romney,2895 
29057,Dade,Virgil Goode,11 
29059,Dallas,Barack Obama,2122 
29059,Dallas,Gary Johnson,111 
29059,Dallas,Mitt Romney,4992 
29059,Dallas,Virgil Goode,54 
29061,Daviess,Barack Obama,1125 
29061,Daviess,Gary Johnson,93 
29061,Daviess,Mitt Romney,2290 
29061,Daviess,Virgil Goode,13 
29063,De Kalb,Barack Obama,1194 
29063,De Kalb,Gary Johnson,76 
29063,De Kalb,Mitt Romney,3056 
29063,De Kalb,Virgil Goode,24 
29065,Dent,Barack Obama,1585 
29065,Dent,Gary Johnson,125 
29065,Dent,Mitt Romney,4883 
29065,Dent,Virgil Goode,50 
29067,Douglas,Barack Obama,1710 
29067,Douglas,Gary Johnson,150 
29067,Douglas,Mitt Romney,4649 
29067,Douglas,Virgil Goode,48 
