fips,county,candidate,votes
28001,Adams,"Barack Obama for President and Joe Biden for Vice President, Democrat",9061
28001,Adams,"Mitt Romney for President and Paul Ryan for Vice President, Republican",6293
28001,Adams,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",14
28001,Adams,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",60
28001,Adams,"Jill Stein for President and Cheri Honkala for Vice President, Green",13
28001,Adams,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",6
28003,Alcorn,"Barack Obama for President and Joe Biden for Vice President, Democrat",3511
28003,Alcorn,"Mitt Romney for President and Paul Ryan for Vice President, Republican",11111
28003,Alcorn,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",39
28003,Alcorn,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",129
28003,Alcorn,"Jill Stein for President and Cheri Honkala for Vice President, Green",28
28003,Alcorn,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",12
28005,Amite,"Barack Obama for President and Joe Biden for Vice President, Democrat",3242
28005,Amite,"Mitt Romney for President and Paul Ryan for Vice President, Republican",4414
28005,Amite,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",16
28005,Amite,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",21
28005,Amite,"Jill Stein for President and Cheri Honkala for Vice President, Green",6
28005,Amite,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",7
28007,Attala,"Barack Obama for President and Joe Biden for Vice President, Democrat",3927
28007,Attala,"Mitt Romney for President and Paul Ryan for Vice President, Republican",5126
28007,Attala,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",11
28007,Attala,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",21
28007,Attala,"Jill Stein for President and Cheri Honkala for Vice President, Green",3
28007,Attala,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",4
28009,Benton,"Barack Obama for President and Joe Biden for Vice President, Democrat",2051
28009,Benton,"Mitt Romney for President and Paul Ryan for Vice President, Republican",2041
28009,Benton,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",6
28009,Benton,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",9
28009,Benton,"Jill Stein for President and Cheri Honkala for Vice President, Green",6
28009,Benton,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",3
28011,Bolivar,"Barack Obama for President and Joe Biden for Vice President, Democrat",10582
28011,Bolivar,"Mitt Romney for President and Paul Ryan for Vice President, Republican",4701
28011,Bolivar,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",49
28011,Bolivar,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",54
28011,Bolivar,"Jill Stein for President and Cheri Honkala for Vice President, Green",23
28011,Bolivar,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",19
28013,Calhoun,"Barack Obama for President and Joe Biden for Vice President, Democrat",2586
28013,Calhoun,"Mitt Romney for President and Paul Ryan for Vice President, Republican",4412
28013,Calhoun,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",17
28013,Calhoun,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",34
28013,Calhoun,"Jill Stein for President and Cheri Honkala for Vice President, Green",5
28013,Calhoun,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",14
28015,Carroll,"Barack Obama for President and Joe Biden for Vice President, Democrat",2007
28015,Carroll,"Mitt Romney for President and Paul Ryan for Vice President, Republican",3960
28015,Carroll,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",9
28015,Carroll,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",13
28015,Carroll,"Jill Stein for President and Cheri Honkala for Vice President, Green",1
28015,Carroll,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",2
28017,Chickasaw,"Barack Obama for President and Joe Biden for Vice President, Democrat",4378
28017,Chickasaw,"Mitt Romney for President and Paul Ryan for Vice President, Republican",3994
28017,Chickasaw,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",73
28017,Chickasaw,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",37
28017,Chickasaw,"Jill Stein for President and Cheri Honkala for Vice President, Green",14
28017,Chickasaw,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",7
28019,Choctaw,"Barack Obama for President and Joe Biden for Vice President, Democrat",1428
28019,Choctaw,"Mitt Romney for President and Paul Ryan for Vice President, Republican",2812
28019,Choctaw,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",10
28019,Choctaw,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",15
28019,Choctaw,"Jill Stein for President and Cheri Honkala for Vice President, Green",4
28019,Choctaw,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",4
28021,Claiborne,"Barack Obama for President and Joe Biden for Vice President, Democrat",4838
28021,Claiborne,"Mitt Romney for President and Paul Ryan for Vice President, Republican",625
28021,Claiborne,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",10
28021,Claiborne,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",7
28021,Claiborne,"Jill Stein for President and Cheri Honkala for Vice President, Green",2
28021,Claiborne,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",2
28023,Clarke,"Barack Obama for President and Joe Biden for Vice President, Democrat",3111
28023,Clarke,"Mitt Romney for President and Paul Ryan for Vice President, Republican",5049
28023,Clarke,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",48
28023,Clarke,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",32
28023,Clarke,"Jill Stein for President and Cheri Honkala for Vice President, Green",5
28023,Clarke,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",8
28025,Clay,"Barack Obama for President and Joe Biden for Vice President, Democrat",6712
28025,Clay,"Mitt Romney for President and Paul Ryan for Vice President, Republican",4291
28025,Clay,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",19
28025,Clay,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",27
