fips,county,candidate,votes
30001,Beaverhead,BARACK OBAMA,1371
30001,Beaverhead,GARY JOHNSON,152
30001,Beaverhead,MITT ROMNEY,3289
30003,Big Horn,BARACK OBAMA,2882
30003,Big Horn,GARY JOHNSON,77
30003,Big Horn,MITT ROMNEY,1667
30005,Blaine,BARACK OBAMA,1616
30005,Blaine,GARY JOHNSON,65
30005,Blaine,MITT ROMNEY,1178
30007,Broadwater,BARACK OBAMA,764
30007,Broadwater,GARY JOHNSON,95
30007,Broadwater,MITT ROMNEY,2152
30009,Carbon,BARACK OBAMA,2146
30009,Carbon,GARY JOHNSON,167
30009,Carbon,MITT ROMNEY,3533
30011,Carter,BARACK OBAMA,96
30011,Carter,GARY JOHNSON,20
30011,Carter,MITT ROMNEY,678
30013,Cascade,BARACK OBAMA,15232
30013,Cascade,GARY JOHNSON,987
30013,Cascade,MITT ROMNEY,18345
30015,Chouteau,BARACK OBAMA,978
30015,Chouteau,GARY JOHNSON,85
30015,Chouteau,MITT ROMNEY,1758
30017,Custer,BARACK OBAMA,1833
30017,Custer,GARY JOHNSON,159
30017,Custer,MITT ROMNEY,3373
30019,Daniels,BARACK OBAMA,237
30019,Daniels,GARY JOHNSON,30
30019,Daniels,MITT ROMNEY,740
30021,Dawson,BARACK OBAMA,1219
30021,Dawson,GARY JOHNSON,175
30021,Dawson,MITT ROMNEY,3029
30023,Deer Lodge,BARACK OBAMA,2860
30023,Deer Lodge,GARY JOHNSON,152
30023,Deer Lodge,MITT ROMNEY,1448
30025,Fallon,BARACK OBAMA,237
30025,Fallon,GARY JOHNSON,40
30025,Fallon,MITT ROMNEY,1128
30027,Fergus,BARACK OBAMA,1640
30027,Fergus,GARY JOHNSON,174
30027,Fergus,MITT ROMNEY,4257
30029,Flathead,BARACK OBAMA,13892
30029,Flathead,GARY JOHNSON,1275
30029,Flathead,MITT ROMNEY,28309
30031,Gallatin,BARACK OBAMA,21961
30031,Gallatin,GARY JOHNSON,1563
30031,Gallatin,MITT ROMNEY,24358
30033,Garfield,BARACK OBAMA,66
30033,Garfield,GARY JOHNSON,12
30033,Garfield,MITT ROMNEY,622
30035,Glacier,BARACK OBAMA,2924
30035,Glacier,GARY JOHNSON,113
30035,Glacier,MITT ROMNEY,1415
30037,Golden Valley,BARACK OBAMA,110
30037,Golden Valley,GARY JOHNSON,18
30037,Golden Valley,MITT ROMNEY,351
30039,Granite,BARACK OBAMA,533
30039,Granite,GARY JOHNSON,65
30039,Granite,MITT ROMNEY,1107
30041,Hill,BARACK OBAMA,3403
30041,Hill,GARY JOHNSON,253
30041,Hill,MITT ROMNEY,3164
30043,Jefferson,BARACK OBAMA,2272
30043,Jefferson,GARY JOHNSON,193
30043,Jefferson,MITT ROMNEY,4055
30045,Judith Basin,BARACK OBAMA,337
30045,Judith Basin,GARY JOHNSON,24
30045,Judith Basin,MITT ROMNEY,854
30047,Lake,BARACK OBAMA,5805
30047,Lake,GARY JOHNSON,364
30047,Lake,MITT ROMNEY,7135
30049,Lewis and Clark,BARACK OBAMA,15620
30049,Lewis and Clark,GARY JOHNSON,895
30049,Lewis and Clark,MITT ROMNEY,16803
30051,Liberty,BARACK OBAMA,257
30051,Liberty,GARY JOHNSON,29
30051,Liberty,MITT ROMNEY,702
30053,Lincoln,BARACK OBAMA,2552
30053,Lincoln,GARY JOHNSON,280
30053,Lincoln,MITT ROMNEY,6057
30057,Madison,BARACK OBAMA,1289
30057,Madison,GARY JOHNSON,111
30057,Madison,MITT ROMNEY,3130
30055,McCone,BARACK OBAMA,223
30055,McCone,GARY JOHNSON,25
30055,McCone,MITT ROMNEY,745
30059,Meagher,BARACK OBAMA,269
30059,Meagher,GARY JOHNSON,33
30059,Meagher,MITT ROMNEY,670
30061,Mineral,BARACK OBAMA,700
30061,Mineral,GARY JOHNSON,101
30061,Mineral,MITT ROMNEY,1216
30063,Missoula,BARACK OBAMA,32824
30063,Missoula,GARY JOHNSON,1716
30063,Missoula,MITT ROMNEY,22652
30065,Musselshell,BARACK OBAMA,492
30065,Musselshell,GARY JOHNSON,82
30065,Musselshell,MITT ROMNEY,1833
30067,Park,BARACK OBAMA,3783
30067,Park,GARY JOHNSON,276
30067,Park,MITT ROMNEY,4709
30069,Petroleum,BARACK OBAMA,49
30069,Petroleum,GARY JOHNSON,9
30069,Petroleum,MITT ROMNEY,240
30071,Phillips,BARACK OBAMA,471
30071,Phillips,GARY JOHNSON,69
30071,Phillips,MITT ROMNEY,1688
30073,Pondera,BARACK OBAMA,975
30073,Pondera,GARY JOHNSON,71
30073,Pondera,MITT ROMNEY,1673
30075,Powder River,BARACK OBAMA,170
30075,Powder River,GARY JOHNSON,24
30075,Powder River,MITT ROMNEY,833
30077,Powell,BARACK OBAMA,888
30077,Powell,GARY JOHNSON,82
30077,Powell,MITT ROMNEY,1806
30079,Prairie,BARACK OBAMA,167
30079,Prairie,GARY JOHNSON,16
30079,Prairie,MITT ROMNEY,520
30081,Ravalli,BARACK OBAMA,7285
30081,Ravalli,GARY JOHNSON,614
30081,Ravalli,MITT ROMNEY,14307
30083,Richland,BARACK OBAMA,1002
30083,Richland,GARY JOHNSON,133
30083,Richland,MITT ROMNEY,3510
30085,Roosevelt,BARACK OBAMA,2086
30085,Roosevelt,GARY JOHNSON,72
30085,Roosevelt,MITT ROMNEY,1514
30087,Rosebud,BARACK OBAMA,1422
30087,Rosebud,GARY JOHNSON,97
30087,Rosebud,MITT ROMNEY,2004
30089,Sanders,BARACK OBAMA,1720
30089,Sanders,GARY JOHNSON,201
30089,Sanders,MITT ROMNEY,3980
30091,Sheridan,BARACK OBAMA,665
30091,Sheridan,GARY JOHNSON,56
30091,Sheridan,MITT ROMNEY,1207
30093,Silver Bow,BARACK OBAMA,10857
30093,Silver Bow,GARY JOHNSON,469
30093,Silver Bow,MITT ROMNEY,5430
30095,Stillwater,BARACK OBAMA,1248
30095,Stillwater,GARY JOHNSON,117
30095,Stillwater,MITT ROMNEY,3337
30097,Sweet Grass,BARACK OBAMA,475
30097,Sweet Grass,GARY JOHNSON,48
30097,Sweet Grass,MITT ROMNEY,1594
30099,Teton,BARACK OBAMA,1082
30099,Teton,GARY JOHNSON,86
30099,Teton,MITT ROMNEY,2113
30101,Toole,BARACK OBAMA,582
30101,Toole,GARY JOHNSON,80
30101,Toole,MITT ROMNEY,1440
30103,Treasure,BARACK OBAMA,114
30103,Treasure,GARY JOHNSON,22
30103,Treasure,MITT ROMNEY,319
30105,Valley,BARACK OBAMA,1385
30105,Valley,GARY JOHNSON,137
30105,Valley,MITT ROMNEY,2337
30107,Wheatland,BARACK OBAMA,272
30107,Wheatland,GARY JOHNSON,27
30107,Wheatland,MITT ROMNEY,693
30109,Wibaux,BARACK OBAMA,98
30109,Wibaux,GARY JOHNSON,25
30109,Wibaux,MITT ROMNEY,421
30111,Yellowstone,BARACK OBAMA,26403
30111,Yellowstone,GARY JOHNSON,1904
30111,Yellowstone,MITT ROMNEY,40500
