fips,county,candidate,votes
37001,Alamance,Obama/Biden,28875
37001,Alamance,Romney/Ryan,38170
37001,Alamance,Johnson/Gray,597
37001,Alamance,Write-in,134
37003,Alexander,Obama/Biden,4611
37003,Alexander,Romney/Ryan,12253
37003,Alexander,Johnson/Gray,263
37003,Alexander,Write-in,69
37005,Alleghany,Obama/Biden,1583
37005,Alleghany,Romney/Ryan,3390
37005,Alleghany,Johnson/Gray,73
37005,Alleghany,Write-in,21
37007,Anson,Obama/Biden,7019
37007,Anson,Romney/Ryan,4166
37007,Anson,Johnson/Gray,53
37007,Anson,Write-in,18
37009,Ashe,Obama/Biden,4116
37009,Ashe,Romney/Ryan,8242
37009,Ashe,Johnson/Gray,180
37009,Ashe,Write-in,72
37011,Avery,Obama/Biden,1882
37011,Avery,Romney/Ryan,5766
37011,Avery,Johnson/Gray,89
37011,Avery,Write-in,22
37013,Beaufort,Obama/Biden,9435
37013,Beaufort,Romney/Ryan,13977
37013,Beaufort,Johnson/Gray,159
37013,Beaufort,Write-in,49
37015,Bertie,Obama/Biden,6695
37015,Bertie,Romney/Ryan,3387
37015,Bertie,Johnson/Gray,37
37015,Bertie,Write-in,4
37017,Bladen,Obama/Biden,8062
37017,Bladen,Romney/Ryan,7748
37017,Bladen,Johnson/Gray,121
37017,Bladen,Write-in,26
37019,Brunswick,Obama/Biden,22038
37019,Brunswick,Romney/Ryan,34743
37019,Brunswick,Johnson/Gray,469
37019,Brunswick,Write-in,112
37021,Buncombe,Obama/Biden,70625
37021,Buncombe,Romney/Ryan,54701
37021,Buncombe,Johnson/Gray,1721
37021,Buncombe,Write-in,649
37023,Burke,Obama/Biden,13701
37023,Burke,Romney/Ryan,22267
37023,Burke,Johnson/Gray,444
37023,Burke,Write-in,132
37025,Cabarrus,Obama/Biden,32849
37025,Cabarrus,Romney/Ryan,49557
37025,Cabarrus,Johnson/Gray,887
37025,Cabarrus,Write-in,273
37027,Caldwell,Obama/Biden,10898
37027,Caldwell,Romney/Ryan,23229
37027,Caldwell,Johnson/Gray,479
