fips,county,candidate,votes
38001,Adams,OBAMA,328
38001,Adams,ROMNEY,918
38001,Adams,GOODE,9
38001,Adams,JOHNSON,19
38001,Adams,STEIN,9
38001,Adams,write-in,3
38003,Barnes,OBAMA,2394
38003,Barnes,ROMNEY,2964
38003,Barnes,GOODE,27
38003,Barnes,JOHNSON,78
38003,Barnes,STEIN,24
38003,Barnes,write-in,35
38005,Benson,OBAMA,1235
38005,Benson,ROMNEY,868
38005,Benson,GOODE,8
38005,Benson,JOHNSON,32
38005,Benson,STEIN,9
38005,Benson,write-in,5
38007,Billings,OBAMA,89
38007,Billings,ROMNEY,472
38007,Billings,GOODE,2
38007,Billings,JOHNSON,12
38007,Billings,STEIN,2
38007,Billings,write-in,1
38009,Bottineau,OBAMA,1183
38009,Bottineau,ROMNEY,2280
38009,Bottineau,GOODE,10
38009,Bottineau,JOHNSON,56
38009,Bottineau,STEIN,10
38009,Bottineau,write-in,16
38011,Bowman,OBAMA,414
38011,Bowman,ROMNEY,1280
38011,Bowman,GOODE,5
38011,Bowman,JOHNSON,31
38011,Bowman,STEIN,3
38011,Bowman,write-in,4
38013,Burke,OBAMA,230
38013,Burke,ROMNEY,769
38013,Burke,GOODE,4
38013,Burke,JOHNSON,13
38013,Burke,STEIN,3
38013,Burke,write-in,4
38015,Burleigh,OBAMA,14122
38015,Burleigh,ROMNEY,27951
38015,Burleigh,GOODE,134
38015,Burleigh,JOHNSON,704
38015,Burleigh,STEIN,202
38015,Burleigh,write-in,274
38017,Cass,OBAMA,34712
38017,Cass,ROMNEY,36855
38017,Cass,GOODE,196
38017,Cass,JOHNSON,1316
38017,Cass,STEIN,346
38017,Cass,write-in,430
38019,Cavalier,OBAMA,818
38019,Cavalier,ROMNEY,1195
38019,Cavalier,GOODE,12
38019,Cavalier,JOHNSON,24
38019,Cavalier,STEIN,9
38019,Cavalier,write-in,11
38021,Dickey,OBAMA,853
38021,Dickey,ROMNEY,1610
38021,Dickey,GOODE,17
38021,Dickey,JOHNSON,38
38021,Dickey,STEIN,8
38021,Dickey,write-in,9
38023,Divide,OBAMA,385
38023,Divide,ROMNEY,733
38023,Divide,GOODE,10
38023,Divide,JOHNSON,21
38023,Divide,STEIN,7
38023,Divide,write-in,6
38025,Dunn,OBAMA,508
38025,Dunn,ROMNEY,1506
38025,Dunn,GOODE,4
38025,Dunn,JOHNSON,6
38025,Dunn,STEIN,5
38025,Dunn,write-in,5
38027,Eddy,OBAMA,486
38027,Eddy,ROMNEY,634
38027,Eddy,GOODE,2
38027,Eddy,JOHNSON,24
38027,Eddy,STEIN,6
38027,Eddy,write-in,5
38029,Emmons,OBAMA,383
38029,Emmons,ROMNEY,1435
38029,Emmons,GOODE,12
38029,Emmons,JOHNSON,31
38029,Emmons,STEIN,6
38029,Emmons,write-in,17
38031,Foster,OBAMA,607
38031,Foster,ROMNEY,1030
38031,Foster,GOODE,8
38031,Foster,JOHNSON,31
38031,Foster,STEIN,3
38031,Foster,write-in,3
38033,Golden Valley,OBAMA,162
38033,Golden Valley,ROMNEY,742
38033,Golden Valley,GOODE,4
38033,Golden Valley,JOHNSON,18
38033,Golden Valley,STEIN,1
38033,Golden Valley,write-in,1
38035,Grand Forks,OBAMA,14032
38035,Grand Forks,ROMNEY,15060
38035,Grand Forks,GOODE,89
38035,Grand Forks,JOHNSON,513
38035,Grand Forks,STEIN,142
38035,Grand Forks,write-in,193
38037,Grant,OBAMA,334
38037,Grant,ROMNEY,1025
38037,Grant,GOODE,13
38037,Grant,JOHNSON,22
38037,Grant,STEIN,5
38037,Grant,write-in,14
38039,Griggs,OBAMA,536
38039,Griggs,ROMNEY,771
38039,Griggs,GOODE,7
38039,Griggs,JOHNSON,17
38039,Griggs,STEIN,6
38039,Griggs,write-in,6
38041,Hettinger,OBAMA,313
38041,Hettinger,ROMNEY,1000
38041,Hettinger,GOODE,6
38041,Hettinger,JOHNSON,28
38041,Hettinger,STEIN,7
38041,Hettinger,write-in,8
38043,Kidder,OBAMA,393
38043,Kidder,ROMNEY,870
38043,Kidder,GOODE,16
38043,Kidder,JOHNSON,26
38043,Kidder,STEIN,5
38043,Kidder,write-in,18
38045,LaMoure,OBAMA,740
38045,LaMoure,ROMNEY,1377
38045,LaMoure,GOODE,19
38045,LaMoure,JOHNSON,37
38045,LaMoure,STEIN,12
38045,LaMoure,write-in,9
38047,Logan,OBAMA,232
38047,Logan,ROMNEY,810
38047,Logan,GOODE,4
38047,Logan,JOHNSON,14
38047,Logan,STEIN,6
38047,Logan,write-in,7
38049,McHenry,OBAMA,943
38049,McHenry,ROMNEY,1678
38049,McHenry,GOODE,12
38049,McHenry,JOHNSON,59
38049,McHenry,STEIN,8
38049,McHenry,write-in,12
38051,McIntosh,OBAMA,459
38051,McIntosh,ROMNEY,1035
38051,McIntosh,GOODE,7
38051,McIntosh,JOHNSON,13
38051,McIntosh,STEIN,6
38051,McIntosh,write-in,10
38053,McKenzie,OBAMA,927
38053,McKenzie,ROMNEY,2458
38053,McKenzie,GOODE,8
38053,McKenzie,JOHNSON,30
38053,McKenzie,STEIN,9
38053,McKenzie,write-in,19
38055,McLean,OBAMA,1670
38055,McLean,ROMNEY,3141
38055,McLean,GOODE,23
38055,McLean,JOHNSON,71
38055,McLean,STEIN,11
38055,McLean,write-in,22
38057,Mercer,OBAMA,1166
38057,Mercer,ROMNEY,3152
38057,Mercer,GOODE,24
38057,Mercer,JOHNSON,66
38057,Mercer,STEIN,12
38057,Mercer,write-in,35
38059,Morton,OBAMA,4469
38059,Morton,ROMNEY,8680
38059,Morton,GOODE,53
38059,Morton,JOHNSON,254
38059,Morton,STEIN,67
38059,Morton,write-in,90
38061,Mountrail,OBAMA,1403
38061,Mountrail,ROMNEY,1962
38061,Mountrail,GOODE,15
38061,Mountrail,JOHNSON,60
38061,Mountrail,STEIN,8
38061,Mountrail,write-in,9
38063,Nelson,OBAMA,767
38063,Nelson,ROMNEY,865
38063,Nelson,GOODE,6
38063,Nelson,JOHNSON,30
38063,Nelson,STEIN,4
38063,Nelson,write-in,6
38065,Oliver,OBAMA,281
38065,Oliver,ROMNEY,693
38065,Oliver,GOODE,9
38065,Oliver,JOHNSON,23
38065,Oliver,STEIN,4
