fips,county,candidate,votes
31001,Adams,Mitt Romney,8316
31001,Adams,Barack Obama,4062
31001,Adams,Gary Johnson,180
31001,Adams,Randall A. Terry,46
31001,Adams,Scattering,66
31003,Antelope,Mitt Romney,2596
31003,Antelope,Barack Obama,571
31003,Antelope,Gary Johnson,39
31003,Antelope,Randall A. Terry,15
31003,Antelope,Scattering,11
31005,Arthur,Mitt Romney,227
31005,Arthur,Barack Obama,30
31005,Arthur,Gary Johnson,4
31005,Arthur,Scattering,1
31007,Banner,Mitt Romney,346
31007,Banner,Barack Obama,55
31007,Banner,Gary Johnson,6
31007,Banner,Randall A. Terry,2
31007,Banner,Scattering,2
31009,Blaine,Mitt Romney,268
31009,Blaine,Barack Obama,29
31009,Blaine,Gary Johnson,4
31009,Blaine,Scattering,2
31011,Boone,Mitt Romney,2138
31011,Boone,Barack Obama,615
31011,Boone,Gary Johnson,31
31011,Boone,Randall A. Terry,17
31011,Boone,Scattering,5
31013,Box Butte,Mitt Romney,2869
31013,Box Butte,Barack Obama,1692
31013,Box Butte,Gary Johnson,96
31013,Box Butte,Randall A. Terry,24
31013,Box Butte,Scattering,24
31015,Boyd,Mitt Romney,873
31015,Boyd,Barack Obama,188
31015,Boyd,Gary Johnson,5
31015,Boyd,Randall A. Terry,5
31017,Brown,Mitt Romney,1302
31017,Brown,Barack Obama,224
31017,Brown,Gary Johnson,17
31017,Brown,Randall A. Terry,7
31017,Brown,Scattering,5
31019,Buffalo,Mitt Romney,13570
31019,Buffalo,Barack Obama,5365
31019,Buffalo,Gary Johnson,356
31019,Buffalo,Randall A. Terry,64
31019,Buffalo,Scattering,98
31021,Burt,Mitt Romney,2029
31021,Burt,Barack Obama,1291
31021,Burt,Gary Johnson,33
31021,Burt,Randall A. Terry,14
31021,Burt,Scattering,8
31023,Butler,Mitt Romney,2738
31023,Butler,Barack Obama,1045
31023,Butler,Gary Johnson,51
31023,Butler,Randall A. Terry,11
31023,Butler,Scattering,14
31025,Cass,Mitt Romney,7556
31025,Cass,Barack Obama,4367
31025,Cass,Gary Johnson,174
31025,Cass,Randall A. Terry,30
31025,Cass,Scattering,53
31027,Cedar,Mitt Romney,3278
31027,Cedar,Barack Obama,958
31027,Cedar,Gary Johnson,61
31027,Cedar,Randall A. Terry,16
31027,Cedar,Scattering,21
31029,Chase,Mitt Romney,1584
31029,Chase,Barack Obama,254
31029,Chase,Gary Johnson,17
31029,Chase,Randall A. Terry,7
31029,Chase,Scattering,5
31031,Cherry,Mitt Romney,2557
31031,Cherry,Barack Obama,436
31031,Cherry,Gary Johnson,47
31031,Cherry,Randall A. Terry,12
31031,Cherry,Scattering,12
31033,Cheyenne,Mitt Romney,3449
31033,Cheyenne,Barack Obama,1084
31033,Cheyenne,Gary Johnson,69
31033,Cheyenne,Randall A. Terry,22
31033,Cheyenne,Scattering,25
31035,Clay,Mitt Romney,2232
31035,Clay,Barack Obama,667
31035,Clay,Gary Johnson,31
31035,Clay,Randall A. Terry,11
31035,Clay,Scattering,6
31037,Colfax,Mitt Romney,2051
31037,Colfax,Barack Obama,969
31037,Colfax,Gary Johnson,31
31037,Colfax,Randall A. Terry,12
31037,Colfax,Scattering,6
31039,Cuming,Mitt Romney,2876
31039,Cuming,Barack Obama,1031
31039,Cuming,Gary Johnson,41
31039,Cuming,Randall A. Terry,14
31039,Cuming,Scattering,14
31041,Custer,Mitt Romney,4296
31041,Custer,Barack Obama,1083
31041,Custer,Gary Johnson,79
31041,Custer,Randall A. Terry,22
31041,Custer,Scattering,18
31043,Dakota,Mitt Romney,3094
31043,Dakota,Barack Obama,2922
31043,Dakota,Gary Johnson,82
31043,Dakota,Randall A. Terry,18
31043,Dakota,Scattering,20
31045,Dawes,Mitt Romney,2478
31045,Dawes,Barack Obama,1132
31045,Dawes,Gary Johnson,71
31045,Dawes,Randall A. Terry,30
31045,Dawes,Scattering,17
31047,Dawson,Mitt Romney,5460
31047,Dawson,Barack Obama,2199
31047,Dawson,Gary Johnson,113
31047,Dawson,Randall A. Terry,42
31047,Dawson,Scattering,45
31049,Deuel,Mitt Romney,763
31049,Deuel,Barack Obama,215
31049,Deuel,Gary Johnson,25
31049,Deuel,Randall A. Terry,9
31049,Deuel,Scattering,5
31051,Dixon,Mitt Romney,1745
31051,Dixon,Barack Obama,870
31051,Dixon,Gary Johnson,37
31051,Dixon,Randall A. Terry,12
31051,Dixon,Scattering,22
31053,Dodge,Mitt Romney,8995
31053,Dodge,Barack Obama,5673
31053,Dodge,Gary Johnson,187
31053,Dodge,Randall A. Terry,48
31053,Dodge,Scattering,47
31055,Douglas,Mitt Romney,113220
31055,Douglas,Barack Obama,106456
31055,Douglas,Gary Johnson,2763
31055,Douglas,Randall A. Terry,389
31055,Douglas,Scattering,1099
31057,Dundy,Mitt Romney,792
31057,Dundy,Barack Obama,176
31057,Dundy,Gary Johnson,11
31057,Dundy,Randall A. Terry,3
31057,Dundy,Scattering,3
31059,Fillmore,Mitt Romney,2007
31059,Fillmore,Barack Obama,807
31059,Fillmore,Gary Johnson,32
31059,Fillmore,Randall A. Terry,18
31059,Fillmore,Scattering,15
31061,Franklin,Mitt Romney,1112
31061,Franklin,Barack Obama,384
31061,Franklin,Gary Johnson,26
31061,Franklin,Randall A. Terry,10
31061,Franklin,Scattering,4
31063,Frontier,Mitt Romney,1007
31063,Frontier,Barack Obama,271
31063,Frontier,Gary Johnson,15
31063,Frontier,Randall A. Terry,6
31063,Frontier,Scattering,6
31065,Furnas,Mitt Romney,1782
31065,Furnas,Barack Obama,423
31065,Furnas,Gary Johnson,17
31065,Furnas,Randall A. Terry,10
31065,Furnas,Scattering,8
31067,Gage,Mitt Romney,5513
31067,Gage,Barack Obama,3903
31067,Gage,Gary Johnson,158
31067,Gage,Randall A. Terry,59
31067,Gage,Scattering,28
31069,Garden,Mitt Romney,829
31069,Garden,Barack Obama,242
31069,Garden,Gary Johnson,10
31069,Garden,Randall A. Terry,7
31069,Garden,Scattering,3
31071,Garfield,Mitt Romney,769
