fips,county,candidate,votes
33001,Belknap,"Romney and Ryan, r",17571
33001,Belknap,"Obama and Biden, d",15890
33001,Belknap,"Johnson and Gray, lib",276
33001,Belknap,"Goode and Clymer, con",27
33001,Belknap,Ron Paul write-in,72
33001,Belknap,Jill Stein write-in,15
33001,Belknap,Scatter,36
33003,Carroll,"Romney and Ryan, r",14207
33003,Carroll,"Obama and Biden, d",13977
33003,Carroll,"Johnson and Gray, lib",251
33003,Carroll,"Goode and Clymer, con",33
33003,Carroll,Ron Paul write-in,85
33003,Carroll,Jill Stein write-in,16
33003,Carroll,Scatter,33
33005,Cheshire,"Romney and Ryan, r",15156
33005,Cheshire,"Obama and Biden, d",25380
33005,Cheshire,"Johnson and Gray, lib",545
33005,Cheshire,"Goode and Clymer, con",65
33005,Cheshire,Ron Paul write-in,108
33005,Cheshire,Jill Stein write-in,31
33005,Cheshire,Scatter,75
33007,Coos,"Romney and Ryan, r",6342
33007,Coos,"Obama and Biden, d",9095
33007,Coos,"Johnson and Gray, lib",165
33007,Coos,"Goode and Clymer, con",17
33007,Coos,Ron Paul write-in,54
33007,Coos,Jill Stein write-in,4
33007,Coos,Scatter,22
33009,Grafton,"Romney and Ryan, r",18208
33009,Grafton,"Obama and Biden, d",29826
33009,Grafton,"Johnson and Gray, lib",666
33009,Grafton,"Goode and Clymer, con",66
33009,Grafton,Ron Paul write-in,123
33009,Grafton,Jill Stein write-in,47
33009,Grafton,Scatter,78
33011,Hillsborough,"Romney and Ryan, r",99991
33011,Hillsborough,"Obama and Biden, d",102303
33011,Hillsborough,"Johnson and Gray, lib",2541
33011,Hillsborough,"Goode and Clymer, con",184
33011,Hillsborough,Ron Paul write-in,340
33011,Hillsborough,Jill Stein write-in,82
33011,Hillsborough,Scatter,226
33013,Merrimack,"Romney and Ryan, r",34524
33013,Merrimack,"Obama and Biden, d",44756
33013,Merrimack,"Johnson and Gray, lib",899
33013,Merrimack,"Goode and Clymer, con",70
33013,Merrimack,Ron Paul write-in,165
33013,Merrimack,Jill Stein write-in,30
33013,Merrimack,Scatter,70
33015,Rockingham,"Romney and Ryan, r",87921
33015,Rockingham,"Obama and Biden, d",80142
33015,Rockingham,"Johnson and Gray, lib",1737
33015,Rockingham,"Goode and Clymer, con",156
33015,Rockingham,Ron Paul write-in,222
33015,Rockingham,Jill Stein write-in,52
33015,Rockingham,Scatter,193
33017,Strafford,"Romney and Ryan, r",26729
33017,Strafford,"Obama and Biden, d",36026
33017,Strafford,"Johnson and Gray, lib",856
33017,Strafford,"Goode and Clymer, con",57
33017,Strafford,Ron Paul write-in,160
33017,Strafford,Jill Stein write-in,39
33017,Strafford,Scatter,102
33019,Sullivan,"Romney and Ryan, r",9269
33019,Sullivan,"Obama and Biden, d",12166
33019,Sullivan,"Johnson and Gray, lib",276
33019,Sullivan,"Goode and Clymer, con",33
33019,Sullivan,Ron Paul write-in,45
33019,Sullivan,Jill Stein write-in,8
33019,Sullivan,Scatter,40
