fips,county,candidate,votes
34001,ATLANTIC,BARACK OBAMA,65600
34003,BERGEN,BARACK OBAMA,212754
34005,BURLINGTON,BARACK OBAMA,126377
34007,CAMDEN,BARACK OBAMA,153682
34009,CAPE MAY,BARACK OBAMA,21657
34011,CUMBERLAND,BARACK OBAMA,34055
34013,ESSEX,BARACK OBAMA,236618
34015,GLOUCESTER,BARACK OBAMA,74013
34017,HUDSON,BARACK OBAMA,153108
34019,HUNTERDON,BARACK OBAMA,26876
34021,MERCER,BARACK OBAMA,104377
34023,MIDDLESEX,BARACK OBAMA,190555
34025,MONMOUTH,BARACK OBAMA,133145
34027,MORRIS,BARACK OBAMA,100146
34029,OCEAN,BARACK OBAMA,102300
34031,PASSAIC,BARACK OBAMA,115926
34033,SALEM,BARACK OBAMA,14719
34035,SOMERSET,BARACK OBAMA,74592
34037,SUSSEX,BARACK OBAMA,26104
34039,UNION,BARACK OBAMA,139752
34041,WARREN,BARACK OBAMA,18745
34001,ATLANTIC,MITT ROMNEY,46522
34003,BERGEN,MITT ROMNEY,169070
34005,BURLINGTON,MITT ROMNEY,87401
34007,CAMDEN,MITT ROMNEY,69476
34009,CAPE MAY,MITT ROMNEY,25781
34011,CUMBERLAND,MITT ROMNEY,20658
34013,ESSEX,MITT ROMNEY,64406
34015,GLOUCESTER,MITT ROMNEY,59456
34017,HUDSON,MITT ROMNEY,42369
34019,HUNTERDON,MITT ROMNEY,38687
34021,MERCER,MITT ROMNEY,47355
34023,MIDDLESEX,MITT ROMNEY,107310
34025,MONMOUTH,MITT ROMNEY,147513
34027,MORRIS,MITT ROMNEY,124947
34029,OCEAN,MITT ROMNEY,146474
34031,PASSAIC,MITT ROMNEY,64523
34033,SALEM,MITT ROMNEY,14334
34035,SOMERSET,MITT ROMNEY,66603
34037,SUSSEX,MITT ROMNEY,40625
34039,UNION,MITT ROMNEY,68314
34041,WARREN,MITT ROMNEY,25744
34001,ATLANTIC,GARY JOHNSON,579
34003,BERGEN,GARY JOHNSON,1752
34005,BURLINGTON,GARY JOHNSON,1367
34007,CAMDEN,GARY JOHNSON,1250
34009,CAPE MAY,GARY JOHNSON,253
34011,CUMBERLAND,GARY JOHNSON,283
34013,ESSEX,GARY JOHNSON,962
34015,GLOUCESTER,GARY JOHNSON,1040
34017,HUDSON,GARY JOHNSON,1002
34019,HUNTERDON,GARY JOHNSON,549
34021,MERCER,GARY JOHNSON,915
34023,MIDDLESEX,GARY JOHNSON,1851
34025,MONMOUTH,GARY JOHNSON,2228
34027,MORRIS,GARY JOHNSON,1375
34029,OCEAN,GARY JOHNSON,1467
34031,PASSAIC,GARY JOHNSON,717
34033,SALEM,GARY JOHNSON,248
34035,SOMERSET,GARY JOHNSON,1088
34037,SUSSEX,GARY JOHNSON,757
34039,UNION,GARY JOHNSON,952
34041,WARREN,GARY JOHNSON,410
