fips,county,candidate,votes
35049,SANTA FE,BARACK OBAMA AND JOE BIDEN,50872
35049,SANTA FE,MITT ROMNEY AND PAUL RYAN,15500
35049,SANTA FE,VIRGIL GOODE AND JIM CLYMER,42
35049,SANTA FE,GARY JOHNSON AND JAMES P. GRAY,2277
35049,SANTA FE,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,99
35049,SANTA FE,JILL STEIN AND CHERI HONKALA,455
35001,BERNALILLO,BARACK OBAMA AND JOE BIDEN,150739
35001,BERNALILLO,MITT ROMNEY AND PAUL RYAN,106408
35001,BERNALILLO,VIRGIL GOODE AND JIM CLYMER,274
35001,BERNALILLO,GARY JOHNSON AND JAMES P. GRAY,12206
35001,BERNALILLO,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,350
35001,BERNALILLO,JILL STEIN AND CHERI HONKALA,992
35015,EDDY,BARACK OBAMA AND JOE BIDEN,6142
35015,EDDY,MITT ROMNEY AND PAUL RYAN,12583
35015,EDDY,VIRGIL GOODE AND JIM CLYMER,24
35015,EDDY,GARY JOHNSON AND JAMES P. GRAY,462
35015,EDDY,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,27
35015,EDDY,JILL STEIN AND CHERI HONKALA,31
35005,CHAVES,BARACK OBAMA AND JOE BIDEN,6604
35005,CHAVES,MITT ROMNEY AND PAUL RYAN,13088
35005,CHAVES,VIRGIL GOODE AND JIM CLYMER,29
35005,CHAVES,GARY JOHNSON AND JAMES P. GRAY,521
35005,CHAVES,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,20
35005,CHAVES,JILL STEIN AND CHERI HONKALA,30
35009,CURRY,BARACK OBAMA AND JOE BIDEN,4022
35009,CURRY,MITT ROMNEY AND PAUL RYAN,9251
35009,CURRY,VIRGIL GOODE AND JIM CLYMER,16
35009,CURRY,GARY JOHNSON AND JAMES P. GRAY,291
35009,CURRY,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,18
