fips,county,candidate,votes
32510,Carson City,"GOODE, VIRGIL",136
32510,Carson City,"JOHNSON, GARY",286
32510,Carson City,"Obama, Barack",10291
32510,Carson City,"Romney, Mitt",12394
32510,Carson City,None of these Candidates,212
32001,Churchill,"GOODE, VIRGIL",76
32001,Churchill,"JOHNSON, GARY",84
32001,Churchill,"Obama, Barack",2961
32001,Churchill,"Romney, Mitt",7061
32001,Churchill,None of these Candidates,83
32003,Clark,"GOODE, VIRGIL",1690
32003,Clark,"JOHNSON, GARY",7064
32003,Clark,"Obama, Barack",389936
32003,Clark,"Romney, Mitt",289053
32003,Clark,None of these Candidates,3447
32005,Douglas,"GOODE, VIRGIL",73
32005,Douglas,"JOHNSON, GARY",275
32005,Douglas,"Obama, Barack",9297
32005,Douglas,"Romney, Mitt",16276
32005,Douglas,None of these Candidates,154
32007,Elko,"GOODE, VIRGIL",147
32007,Elko,"JOHNSON, GARY",174
32007,Elko,"Obama, Barack",3511
32007,Elko,"Romney, Mitt",12014
32007,Elko,None of these Candidates,140
32009,Esmeralda,"GOODE, VIRGIL",9
32009,Esmeralda,"JOHNSON, GARY",14
32009,Esmeralda,"Obama, Barack",92
32009,Esmeralda,"Romney, Mitt",317
32009,Esmeralda,None of these Candidates,3
32011,Eureka,"GOODE, VIRGIL",10
32011,Eureka,"JOHNSON, GARY",9
32011,Eureka,"Obama, Barack",107
32011,Eureka,"Romney, Mitt",663
32011,Eureka,None of these Candidates,19
32013,Humboldt,"GOODE, VIRGIL",56
32013,Humboldt,"JOHNSON, GARY",61
32013,Humboldt,"Obama, Barack",1737
32013,Humboldt,"Romney, Mitt",3810
32013,Humboldt,None of these Candidates,80
32015,Lander,"GOODE, VIRGIL",23
32015,Lander,"JOHNSON, GARY",11
32015,Lander,"Obama, Barack",534
32015,Lander,"Romney, Mitt",1580
32015,Lander,None of these Candidates,17
32017,Lincoln,"GOODE, VIRGIL",25
32017,Lincoln,"JOHNSON, GARY",22
32017,Lincoln,"Obama, Barack",400
32017,Lincoln,"Romney, Mitt",1691
32017,Lincoln,None of these Candidates,14
32019,Lyon,"GOODE, VIRGIL",162
32019,Lyon,"JOHNSON, GARY",235
32019,Lyon,"Obama, Barack",7380
32019,Lyon,"Romney, Mitt",13520
32019,Lyon,None of these Candidates,168
32021,Mineral,"GOODE, VIRGIL",33
32021,Mineral,"JOHNSON, GARY",20
32021,Mineral,"Obama, Barack",863
32021,Mineral,"Romney, Mitt",1080
32021,Mineral,None of these Candidates,39
32023,Nye,"GOODE, VIRGIL",172
32023,Nye,"JOHNSON, GARY",279
32023,Nye,"Obama, Barack",6320
32023,Nye,"Romney, Mitt",10566
32023,Nye,None of these Candidates,185
32027,Pershing,"GOODE, VIRGIL",30
32027,Pershing,"JOHNSON, GARY",25
32027,Pershing,"Obama, Barack",632
32027,Pershing,"Romney, Mitt",1167
32027,Pershing,None of these Candidates,30
32029,Storey,"GOODE, VIRGIL",17
32029,Storey,"JOHNSON, GARY",41
32029,Storey,"Obama, Barack",920
32029,Storey,"Romney, Mitt",1321
32029,Storey,None of these Candidates,15
32031,Washoe,"GOODE, VIRGIL",540
32031,Washoe,"JOHNSON, GARY",2332
32031,Washoe,"Obama, Barack",95409
32031,Washoe,"Romney, Mitt",88453
32031,Washoe,None of these Candidates,1121
32033,White Pine,"GOODE, VIRGIL",41
32033,White Pine,"JOHNSON, GARY",36
32033,White Pine,"Obama, Barack",983
32033,White Pine,"Romney, Mitt",2601
32033,White Pine,None of these Candidates,43
