fips,county,candidate,votes
36001,Albany,Obama/Biden (DEM),83979
36001,Albany,Romney/Ryan (REP),40210
36001,Albany,Romney/Ryan (CON),4854
36001,Albany,Obama/Biden (WOR),3577
36001,Albany,Stein/Honkala (GRN),1238
36001,Albany,Lindsay/Osorio (PSL),52
36001,Albany,Johnson/Gray (LBT),1361
36001,Albany,Good/Clymer (CST),164
36003,Allegany,Obama/Biden (DEM),5866
36003,Allegany,Romney/Ryan (REP),9377
36003,Allegany,Romney/Ryan (CON),1013
36003,Allegany,Obama/Biden (WOR),273
36003,Allegany,Stein/Honkala (GRN),162
36003,Allegany,Lindsay/Osorio (PSL),8
36003,Allegany,Johnson/Gray (LBT),168
36003,Allegany,Good/Clymer (CST),28
36007,Broome,Obama/Biden (DEM),39971
36007,Broome,Romney/Ryan (REP),34708
36007,Broome,Romney/Ryan (CON),2933
36007,Broome,Obama/Biden (WOR),1999
36007,Broome,Stein/Honkala (GRN),723
36007,Broome,Lindsay/Osorio (PSL),21
36007,Broome,Johnson/Gray (LBT),915
36007,Broome,Good/Clymer (CST),106
36009,Cattaraugus,Obama/Biden (DEM),12040
36009,Cattaraugus,Romney/Ryan (REP),14655
36009,Cattaraugus,Romney/Ryan (CON),1914
36009,Cattaraugus,Obama/Biden (WOR),609
36009,Cattaraugus,Stein/Honkala (GRN),201
36009,Cattaraugus,Lindsay/Osorio (PSL),13
36009,Cattaraugus,Johnson/Gray (LBT),274
36009,Cattaraugus,Good/Clymer (CST),59
36011,Cayuga,Obama/Biden (DEM),16105
36011,Cayuga,Romney/Ryan (REP),11646
36011,Cayuga,Romney/Ryan (CON),1808
36011,Cayuga,Obama/Biden (WOR),902
36011,Cayuga,Stein/Honkala (GRN),243
36011,Cayuga,Lindsay/Osorio (PSL),11
36011,Cayuga,Johnson/Gray (LBT),285
36011,Cayuga,Good/Clymer (CST),81
36013,Chautauqua,Obama/Biden (DEM),22463
36013,Chautauqua,Romney/Ryan (REP),24266
36013,Chautauqua,Romney/Ryan (CON),3705
36013,Chautauqua,Obama/Biden (WOR),1349
36013,Chautauqua,Stein/Honkala (GRN),324
36013,Chautauqua,Lindsay/Osorio (PSL),17
36013,Chautauqua,Johnson/Gray (LBT),504
36013,Chautauqua,Good/Clymer (CST),58
36015,Chemung,Obama/Biden (DEM),16205
36015,Chemung,Romney/Ryan (REP),16138
36015,Chemung,Romney/Ryan (CON),1474
36015,Chemung,Obama/Biden (WOR),592
36015,Chemung,Stein/Honkala (GRN),151
36015,Chemung,Lindsay/Osorio (PSL),4
36015,Chemung,Johnson/Gray (LBT),310
36015,Chemung,Good/Clymer (CST),73
36017,Chenango,Obama/Biden (DEM),8642
36017,Chenango,Romney/Ryan (REP),8922
36017,Chenango,Romney/Ryan (CON),791
36017,Chenango,Obama/Biden (WOR),474
36017,Chenango,Stein/Honkala (GRN),157
36017,Chenango,Lindsay/Osorio (PSL),6
36017,Chenango,Johnson/Gray (LBT),218
36017,Chenango,Good/Clymer (CST),46
36019,Clinton,Obama/Biden (DEM),18072
36019,Clinton,Romney/Ryan (REP),9892
36019,Clinton,Romney/Ryan (CON),1223
36019,Clinton,Obama/Biden (WOR),889
36019,Clinton,Stein/Honkala (GRN),193
36019,Clinton,Lindsay/Osorio (PSL),9
36019,Clinton,Johnson/Gray (LBT),260
36019,Clinton,Good/Clymer (CST),39
36021,Columbia,Obama/Biden (DEM),15241
36021,Columbia,Romney/Ryan (REP),10600
36021,Columbia,Romney/Ryan (CON),1625
36021,Columbia,Obama/Biden (WOR),980
36021,Columbia,Stein/Honkala (GRN),259
36021,Columbia,Lindsay/Osorio (PSL),14
36021,Columbia,Johnson/Gray (LBT),299
36021,Columbia,Good/Clymer (CST),41
36023,Cortland,Obama/Biden (DEM),9965
36023,Cortland,Romney/Ryan (REP),7859
36023,Cortland,Romney/Ryan (CON),836
36023,Cortland,Obama/Biden (WOR),517
36023,Cortland,Stein/Honkala (GRN),161
36023,Cortland,Lindsay/Osorio (PSL),7
36023,Cortland,Johnson/Gray (LBT),187
36023,Cortland,Good/Clymer (CST),29
36025,Delaware,Obama/Biden (DEM),7881
36025,Delaware,Romney/Ryan (REP),9086
36025,Delaware,Romney/Ryan (CON),852
36025,Delaware,Obama/Biden (WOR),423
36025,Delaware,Stein/Honkala (GRN),199
36025,Delaware,Lindsay/Osorio (PSL),3
36025,Delaware,Johnson/Gray (LBT),170
36025,Delaware,Good/Clymer (CST),24
36027,Dutchess,Obama/Biden (DEM),62063
36027,Dutchess,Romney/Ryan (REP),48264
36027,Dutchess,Romney/Ryan (CON),7761
36027,Dutchess,Obama/Biden (WOR),3249
36027,Dutchess,Stein/Honkala (GRN),785
36027,Dutchess,Lindsay/Osorio (PSL),51
36027,Dutchess,Johnson/Gray (LBT),1105
36027,Dutchess,Good/Clymer (CST),146
36029,Erie,Obama/Biden (DEM),227325
36029,Erie,Romney/Ryan (REP),149683
36029,Erie,Romney/Ryan (CON),19992
36029,Erie,Obama/Biden (WOR),10031
36029,Erie,Stein/Honkala (GRN),2898
36029,Erie,Lindsay/Osorio (PSL),142
36029,Erie,Johnson/Gray (LBT),3562
36029,Erie,Good/Clymer (CST),541
36031,Essex,Obama/Biden (DEM),9368
36031,Essex,Romney/Ryan (REP),6076
36031,Essex,Romney/Ryan (CON),571
36031,Essex,Obama/Biden (WOR),416
36031,Essex,Stein/Honkala (GRN),107
36031,Essex,Lindsay/Osorio (PSL),4
36031,Essex,Johnson/Gray (LBT),134
36031,Essex,Good/Clymer (CST),27
36033,Franklin,Obama/Biden (DEM),9532
36033,Franklin,Romney/Ryan (REP),5231
36033,Franklin,Romney/Ryan (CON),509
36033,Franklin,Obama/Biden (WOR),362
36033,Franklin,Stein/Honkala (GRN),106
36033,Franklin,Lindsay/Osorio (PSL),7
36033,Franklin,Johnson/Gray (LBT),116
36033,Franklin,Good/Clymer (CST),20
36035,Fulton,Obama/Biden (DEM),8331
36035,Fulton,Romney/Ryan (REP),9830
36035,Fulton,Romney/Ryan (CON),984
36035,Fulton,Obama/Biden (WOR),276
36035,Fulton,Stein/Honkala (GRN),111
36035,Fulton,Lindsay/Osorio (PSL),13
36035,Fulton,Johnson/Gray (LBT),159
36035,Fulton,Good/Clymer (CST),42
36037,Genesee,Obama/Biden (DEM),9092
36037,Genesee,Romney/Ryan (REP),12814
36037,Genesee,Romney/Ryan (CON),1793
36037,Genesee,Obama/Biden (WOR),509
