fips,county,candidate,votes
39001,Adams,Stewart Alexander,8
39001,Adams,Susan Daniels,0
39001,Adams,Richard Duncan,55
39001,Adams,Virgil Goode,32
39001,Adams,Gary Johnson,98
39001,Adams,Nelson Keyton,0
39001,Adams,Barack Obama,3976
39001,Adams,Jill Reed,0
39001,Adams,Platt Robertson,0
39001,Adams,Mitt Romney,6865
39001,Adams,Jill Stein,55
39001,Adams,Randall Terry,0
39001,Adams,Mike Vargo ,0
39003,Allen,Stewart Alexander,22
39003,Allen,Susan Daniels,0
39003,Allen,Richard Duncan,110
39003,Allen,Virgil Goode,60
39003,Allen,Gary Johnson,464
39003,Allen,Nelson Keyton,0
39003,Allen,Barack Obama,17914
39003,Allen,Jill Reed,0
39003,Allen,Platt Robertson,0
39003,Allen,Mitt Romney,29502
39003,Allen,Jill Stein,164
39003,Allen,Randall Terry,0
39003,Allen,Mike Vargo ,0
39005,Ashland,Stewart Alexander,19
39005,Ashland,Susan Daniels,0
39005,Ashland,Richard Duncan,84
39005,Ashland,Virgil Goode,91
39005,Ashland,Gary Johnson,221
39005,Ashland,Nelson Keyton,0
39005,Ashland,Barack Obama,8281
39005,Ashland,Jill Reed,0
39005,Ashland,Platt Robertson,0
39005,Ashland,Mitt Romney,15519
39005,Ashland,Jill Stein,115
39005,Ashland,Randall Terry,0
39005,Ashland,Mike Vargo ,0
39007,Ashtabula,Stewart Alexander,34
39007,Ashtabula,Susan Daniels,0
39007,Ashtabula,Richard Duncan,176
39007,Ashtabula,Virgil Goode,94
39007,Ashtabula,Gary Johnson,433
39007,Ashtabula,Nelson Keyton,1
39007,Ashtabula,Barack Obama,23803
39007,Ashtabula,Jill Reed,1
39007,Ashtabula,Platt Robertson,0
39007,Ashtabula,Mitt Romney,18298
39007,Ashtabula,Jill Stein,224
39007,Ashtabula,Randall Terry,0
39007,Ashtabula,Mike Vargo ,0
39009,Athens,Stewart Alexander,21
39009,Athens,Susan Daniels,0
39009,Athens,Richard Duncan,102
39009,Athens,Virgil Goode,43
39009,Athens,Gary Johnson,434
39009,Athens,Nelson Keyton,0
39009,Athens,Barack Obama,18307
39009,Athens,Jill Reed,0
39009,Athens,Platt Robertson,0
39009,Athens,Mitt Romney,8543
39009,Athens,Jill Stein,188
39009,Athens,Randall Terry,0
39009,Athens,Mike Vargo ,0
39011,Auglaize,Stewart Alexander,9
39011,Auglaize,Susan Daniels,0
39011,Auglaize,Richard Duncan,66
39011,Auglaize,Virgil Goode,38
39011,Auglaize,Gary Johnson,209
39011,Auglaize,Nelson Keyton,0
39011,Auglaize,Barack Obama,5831
39011,Auglaize,Jill Reed,0
39011,Auglaize,Platt Robertson,0
39011,Auglaize,Mitt Romney,17169
39011,Auglaize,Jill Stein,83
39011,Auglaize,Randall Terry,0
39011,Auglaize,Mike Vargo ,0
39013,Belmont,Stewart Alexander,14
39013,Belmont,Susan Daniels,0
39013,Belmont,Richard Duncan,165
39013,Belmont,Virgil Goode,60
39013,Belmont,Gary Johnson,232
39013,Belmont,Nelson Keyton,0
39013,Belmont,Barack Obama,14156
39013,Belmont,Jill Reed,0
39013,Belmont,Platt Robertson,0
39013,Belmont,Mitt Romney,16758
39013,Belmont,Jill Stein,178
39013,Belmont,Randall Terry,1
39013,Belmont,Mike Vargo ,0
39015,Brown,Stewart Alexander,14
39015,Brown,Susan Daniels,0
39015,Brown,Richard Duncan,67
39015,Brown,Virgil Goode,29
39015,Brown,Gary Johnson,191
39015,Brown,Nelson Keyton,0
39015,Brown,Barack Obama,7107
39015,Brown,Jill Reed,0
39015,Brown,Platt Robertson,0
39015,Brown,Mitt Romney,11916
39015,Brown,Jill Stein,68
39015,Brown,Randall Terry,0
39015,Brown,Mike Vargo ,0
39017,Butler,Stewart Alexander,72
39017,Butler,Susan Daniels,0
39017,Butler,Richard Duncan,281
39017,Butler,Virgil Goode,207
39017,Butler,Gary Johnson,1654
39017,Butler,Nelson Keyton,0
39017,Butler,Barack Obama,62388
39017,Butler,Jill Reed,0
39017,Butler,Platt Robertson,0
39017,Butler,Mitt Romney,105176
39017,Butler,Jill Stein,413
39017,Butler,Randall Terry,0
39017,Butler,Mike Vargo ,0
39019,Carroll,Stewart Alexander,14
