fips,county,candidate,votes
40001,ADAIR,BARACK OBAMA,2127
40001,ADAIR,MITT ROMNEY,4381
40003,ALFALFA,BARACK OBAMA,322
40003,ALFALFA,MITT ROMNEY,1761
40005,ATOKA,BARACK OBAMA,1243
40005,ATOKA,MITT ROMNEY,3538
40007,BEAVER,BARACK OBAMA,244
40007,BEAVER,MITT ROMNEY,2062
40009,BECKHAM,BARACK OBAMA,1417
40009,BECKHAM,MITT ROMNEY,5508
40011,BLAINE,BARACK OBAMA,992
40011,BLAINE,MITT ROMNEY,2824
40013,BRYAN,BARACK OBAMA,3681
40013,BRYAN,MITT ROMNEY,9520
40015,CADDO,BARACK OBAMA,3164
40015,CADDO,MITT ROMNEY,5687
40017,CANADIAN,BARACK OBAMA,10537
40017,CANADIAN,MITT ROMNEY,35625
40019,CARTER,BARACK OBAMA,4908
40019,CARTER,MITT ROMNEY,12214
40021,CHEROKEE,BARACK OBAMA,6144
40021,CHEROKEE,MITT ROMNEY,8162
40023,CHOCTAW,BARACK OBAMA,1494
40023,CHOCTAW,MITT ROMNEY,3572
40025,CIMARRON,BARACK OBAMA,115
40025,CIMARRON,MITT ROMNEY,1082
40027,CLEVELAND,BARACK OBAMA,34771
40027,CLEVELAND,MITT ROMNEY,59116
40029,COAL,BARACK OBAMA,649
40029,COAL,MITT ROMNEY,1710
40031,COMANCHE,BARACK OBAMA,12521
40031,COMANCHE,MITT ROMNEY,17664
40033,COTTON,BARACK OBAMA,657
40033,COTTON,MITT ROMNEY,1796
40035,CRAIG,BARACK OBAMA,1747
40035,CRAIG,MITT ROMNEY,3559
40037,CREEK,BARACK OBAMA,7128
40037,CREEK,MITT ROMNEY,18986
40039,CUSTER,BARACK OBAMA,2359
40039,CUSTER,MITT ROMNEY,7446
40041,DELAWARE,BARACK OBAMA,4196
40041,DELAWARE,MITT ROMNEY,10080
40043,DEWEY,BARACK OBAMA,301
40043,DEWEY,MITT ROMNEY,1792
40045,ELLIS,BARACK OBAMA,226
40045,ELLIS,MITT ROMNEY,1575
40047,GARFIELD,BARACK OBAMA,4733
40047,GARFIELD,MITT ROMNEY,15177
40049,GARVIN,BARACK OBAMA,2559
40049,GARVIN,MITT ROMNEY,6925
40051,GRADY,BARACK OBAMA,4786
40051,GRADY,MITT ROMNEY,14833
40053,GRANT,BARACK OBAMA,393
40053,GRANT,MITT ROMNEY,1675
40055,GREER,BARACK OBAMA,488
40055,GREER,MITT ROMNEY,1344
40057,HARMON,BARACK OBAMA,264
40057,HARMON,MITT ROMNEY,659
40059,HARPER,BARACK OBAMA,173
40059,HARPER,MITT ROMNEY,1261
40061,HASKELL,BARACK OBAMA,1175
40061,HASKELL,MITT ROMNEY,3069
40063,HUGHES,BARACK OBAMA,1370
40063,HUGHES,MITT ROMNEY,2838
40065,JACKSON,BARACK OBAMA,1954
40065,JACKSON,MITT ROMNEY,5965
40067,JEFFERSON,BARACK OBAMA,605
40067,JEFFERSON,MITT ROMNEY,1634
40069,JOHNSTON,BARACK OBAMA,1137
40069,JOHNSTON,MITT ROMNEY,2649
40071,KAY,BARACK OBAMA,4627
40071,KAY,MITT ROMNEY,11499
40073,KINGFISHER,BARACK OBAMA,898
40073,KINGFISHER,MITT ROMNEY,4870
40075,KIOWA,BARACK OBAMA,1106
