fips,county,candidate,votes
41001,Baker,Obama,2369
41001,Baker,Stein,91
41001,Baker,Anderson,22
41001,Baker,Johnson,142
41001,Baker,Romney,5702
41001,Baker,Christensen,41
41001,Baker,Misc,81
41003,Benton,Obama,27776
41003,Benton,Stein,775
41003,Benton,Anderson,104
41003,Benton,Johnson,736
41003,Benton,Romney,14991
41003,Benton,Christensen,78
41003,Benton,Misc,342
41005,Clackamas,Obama,95493
41005,Clackamas,Stein,1398
41005,Clackamas,Anderson,192
41005,Clackamas,Johnson,2129
41005,Clackamas,Romney,88592
41005,Clackamas,Christensen,370
41005,Clackamas,Misc,1158
41007,Clatsop,Obama,9861
41007,Clatsop,Stein,203
41007,Clatsop,Anderson,40
41007,Clatsop,Johnson,215
41007,Clatsop,Romney,7249
41007,Clatsop,Christensen,53
41007,Clatsop,Misc,197
41009,Columbia,Obama,12004
41009,Columbia,Stein,241
41009,Columbia,Anderson,34
41009,Columbia,Johnson,401
41009,Columbia,Romney,10772
41009,Columbia,Christensen,147
41009,Columbia,Misc,276
41011,Coos,Obama,12845
41011,Coos,Stein,296
41011,Coos,Anderson,66
41011,Coos,Johnson,425
41011,Coos,Romney,14673
41011,Coos,Christensen,129
41011,Coos,Misc,252
41013,Crook,Obama,3104
41013,Crook,Stein,74
41013,Crook,Anderson,22
41013,Crook,Johnson,126
41013,Crook,Romney,6790
41013,Crook,Christensen,39
41013,Crook,Misc,75
41015,Curry,Obama,4625
41015,Curry,Stein,98
41015,Curry,Anderson,22
41015,Curry,Johnson,176
41015,Curry,Romney,6598
41015,Curry,Christensen,48
41015,Curry,Misc,111
41017,Deschutes,Obama,36961
41017,Deschutes,Stein,600
41017,Deschutes,Anderson,102
41017,Deschutes,Johnson,1038
41017,Deschutes,Romney,42463
41017,Deschutes,Christensen,173
41017,Deschutes,Misc,563
41019,Douglas,Obama,17145
41019,Douglas,Stein,468
41019,Douglas,Anderson,91
41019,Douglas,Johnson,688
41019,Douglas,Romney,30776
41019,Douglas,Christensen,211
41019,Douglas,Misc,424
41021,Gilliam,Obama,371
41021,Gilliam,Stein,6
41021,Gilliam,Anderson,1
41021,Gilliam,Johnson,20
41021,Gilliam,Romney,639
41021,Gilliam,Christensen,9
41021,Gilliam,Misc,15
41023,Grant,Obama,853
41023,Grant,Stein,29
41023,Grant,Anderson,7
41023,Grant,Johnson,55
41023,Grant,Romney,2926
41023,Grant,Christensen,10
41023,Grant,Misc,31
41025,Harney,Obama,832
41025,Harney,Stein,26
41025,Harney,Anderson,4
41025,Harney,Johnson,55
41025,Harney,Romney,2607
41025,Harney,Christensen,22
41025,Harney,Misc,37
41027,Hood River,Obama,6058
41027,Hood River,Stein,126
41027,Hood River,Anderson,34
41027,Hood River,Johnson,113
41027,Hood River,Romney,3429
41027,Hood River,Christensen,18
41027,Hood River,Misc,60
41029,Jackson,Obama,44468
41029,Jackson,Stein,953
41029,Jackson,Anderson,155
41029,Jackson,Johnson,1433
41029,Jackson,Romney,49020
41029,Jackson,Christensen,252
41029,Jackson,Misc,846
41031,Jefferson,Obama,3301
41031,Jefferson,Stein,54
41031,Jefferson,Anderson,13
41031,Jefferson,Johnson,77
41031,Jefferson,Romney,4642
41031,Jefferson,Christensen,21
41031,Jefferson,Misc,67
41033,Josephine,Obama,14953
41033,Josephine,Stein,340
41033,Josephine,Anderson,64
41033,Josephine,Johnson,532
41033,Josephine,Romney,23673
41033,Josephine,Christensen,179
41033,Josephine,Misc,497
41035,Klamath,Obama,8302
41035,Klamath,Stein,230
