fips,county,candidate,votes
42001,Adams,"ROMNEY, MITT",26767
42001,Adams,"OBAMA, BARACK",15091
42001,Adams,"JOHNSON, GARY",437
42001,Adams,"STEIN, JILL",162
42003,Allegheny,"OBAMA, BARACK",352687
42003,Allegheny,"ROMNEY, MITT",262039
42003,Allegheny,"JOHNSON, GARY",5196
42003,Allegheny,"STEIN, JILL",2159
42005,Armstrong,"ROMNEY, MITT",20142
42005,Armstrong,"OBAMA, BARACK",9045
42005,Armstrong,"JOHNSON, GARY",297
42005,Armstrong,"STEIN, JILL",118
42007,Beaver,"ROMNEY, MITT",42344
42007,Beaver,"OBAMA, BARACK",37055
42007,Beaver,"JOHNSON, GARY",794
42007,Beaver,"STEIN, JILL",281
42009,Bedford,"ROMNEY, MITT",16702
42009,Bedford,"OBAMA, BARACK",4788
42009,Bedford,"JOHNSON, GARY",143
42009,Bedford,"STEIN, JILL",64
42011,Berks,"ROMNEY, MITT",84702
42011,Berks,"OBAMA, BARACK",83011
42011,Berks,"JOHNSON, GARY",1832
42011,Berks,"STEIN, JILL",775
42013,Blair,"ROMNEY, MITT",33319
42013,Blair,"OBAMA, BARACK",16276
42013,Blair,"JOHNSON, GARY",464
42013,Blair,"STEIN, JILL",182
42015,Bradford,"ROMNEY, MITT",14410
42015,Bradford,"OBAMA, BARACK",8624
42015,Bradford,"JOHNSON, GARY",243
42015,Bradford,"STEIN, JILL",149
42017,Bucks,"OBAMA, BARACK",160521
42017,Bucks,"ROMNEY, MITT",156579
42017,Bucks,"JOHNSON, GARY",2863
42017,Bucks,"STEIN, JILL",1053
42019,Butler,"ROMNEY, MITT",59761
42019,Butler,"OBAMA, BARACK",28550
42019,Butler,"JOHNSON, GARY",819
42019,Butler,"STEIN, JILL",315
42021,Cambria,"ROMNEY, MITT",35163
42021,Cambria,"OBAMA, BARACK",24249
42021,Cambria,"JOHNSON, GARY",712
42021,Cambria,"STEIN, JILL",402
42023,Cameron,"ROMNEY, MITT",1359
42023,Cameron,"OBAMA, BARACK",724
42023,Cameron,"JOHNSON, GARY",19
42023,Cameron,"STEIN, JILL",9
42025,Carbon,"ROMNEY, MITT",13504
42025,Carbon,"OBAMA, BARACK",11580
42025,Carbon,"JOHNSON, GARY",356
42025,Carbon,"STEIN, JILL",141
42027,Centre,"OBAMA, BARACK",34176
42027,Centre,"ROMNEY, MITT",34001
42027,Centre,"JOHNSON, GARY",1049
42027,Centre,"STEIN, JILL",400
42029,Chester,"ROMNEY, MITT",124840
42029,Chester,"OBAMA, BARACK",124311
42029,Chester,"JOHNSON, GARY",2082
42029,Chester,"STEIN, JILL",740
42031,Clarion,"ROMNEY, MITT",10828
42031,Clarion,"OBAMA, BARACK",5056
42031,Clarion,"JOHNSON, GARY",208
42031,Clarion,"STEIN, JILL",94
42033,Clearfield,"ROMNEY, MITT",20347
42033,Clearfield,"OBAMA, BARACK",11121
42033,Clearfield,"JOHNSON, GARY",339
42033,Clearfield,"STEIN, JILL",160
42035,Clinton,"ROMNEY, MITT",7303
42035,Clinton,"OBAMA, BARACK",5734
42035,Clinton,"JOHNSON, GARY",171
42035,Clinton,"STEIN, JILL",57
42037,Columbia,"ROMNEY, MITT",14236
42037,Columbia,"OBAMA, BARACK",10937
42037,Columbia,"JOHNSON, GARY",324
