fips,county,candidate,votes
44001,Bristol,"Barack OBAMA",14974
44001,Bristol,"Mitt ROMNEY",9231
44001,Bristol,"Gary JOHNSON",228
44001,Bristol,"Jill STEIN",144
44001,Bristol,"WRITE-IN",65
44001,Bristol,"Virgil GOODE",12
44001,Bristol,"Ross C. &quot;Rocky&quot; ANDERSON",16
44001,Bristol,"Peta LINDSAY",6
44003,Kent,"Barack OBAMA",45564
44003,Kent,"Mitt ROMNEY",31567
44003,Kent,"Gary JOHNSON",908
44003,Kent,"Jill STEIN",416
44003,Kent,"WRITE-IN",272
44003,Kent,"Virgil GOODE",93
44003,Kent,"Ross C. &quot;Rocky&quot; ANDERSON",84
44003,Kent,"Peta LINDSAY",19
44005,Newport,"Barack OBAMA",23463
44005,Newport,"Mitt ROMNEY",15202
44005,Newport,"Gary JOHNSON",380
44005,Newport,"Jill STEIN",190
44005,Newport,"WRITE-IN",116
44005,Newport,"Ross C. &quot;Rocky&quot; ANDERSON",37
44005,Newport,"Virgil GOODE",51
44005,Newport,"Peta LINDSAY",13
44007,Providence,"Barack OBAMA",159520
44007,Providence,"Mitt ROMNEY",75785
44007,Providence,"Gary JOHNSON",2069
44007,Providence,"Jill STEIN",1241
44007,Providence,"WRITE-IN",690
44007,Providence,"Virgil GOODE",200
44007,Providence,"Ross C. &quot;Rocky&quot; ANDERSON",210
44007,Providence,"Peta LINDSAY",71
44009,Washington,"Barack OBAMA",35888
44009,Washington,"Mitt ROMNEY",25366
44009,Washington,"Gary JOHNSON",797
44009,Washington,"Jill STEIN",428
44009,Washington,"WRITE-IN",237
44009,Washington,"Ross C. &quot;Rocky&quot; ANDERSON",68
44009,Washington,"Virgil GOODE",73
44009,Washington,"Peta LINDSAY",22
