town,candidate,votes
BARRINGTON,Barack OBAMA,5557
BARRINGTON,Mitt ROMNEY,3836
BARRINGTON,Gary JOHNSON,76
BARRINGTON,Jill STEIN,56
BARRINGTON,WRITE-IN,16
BARRINGTON,Virgil GOODE,6
BARRINGTON,Ross C. &quot;Rocky&quot; ANDERSON,6
BARRINGTON,Peta LINDSAY,3
BRISTOL,Barack OBAMA,6359
BRISTOL,Mitt ROMNEY,3707
BRISTOL,Gary JOHNSON,105
BRISTOL,Jill STEIN,51
BRISTOL,WRITE-IN,36
BRISTOL,Ross C. &quot;Rocky&quot; ANDERSON,5
BRISTOL,Virgil GOODE,3
BRISTOL,Peta LINDSAY,1
BURRILLVILLE,Barack OBAMA,3666
BURRILLVILLE,Mitt ROMNEY,3044
BURRILLVILLE,Gary JOHNSON,81
BURRILLVILLE,Jill STEIN,43
BURRILLVILLE,WRITE-IN,35
BURRILLVILLE,Virgil GOODE,11
BURRILLVILLE,Ross C. &quot;Rocky&quot; ANDERSON,9
BURRILLVILLE,Peta LINDSAY,0
CENTRAL FALLS,Barack OBAMA,3410
CENTRAL FALLS,Mitt ROMNEY,512
CENTRAL FALLS,Gary JOHNSON,25
CENTRAL FALLS,Jill STEIN,11
CENTRAL FALLS,WRITE-IN,9
CENTRAL FALLS,Ross C. &quot;Rocky&quot; ANDERSON,3
CENTRAL FALLS,Virgil GOODE,1
CENTRAL FALLS,Peta LINDSAY,0
CHARLESTOWN,Barack OBAMA,2445
CHARLESTOWN,Mitt ROMNEY,1616
CHARLESTOWN,Gary JOHNSON,50
CHARLESTOWN,Jill STEIN,31
CHARLESTOWN,WRITE-IN,27
CHARLESTOWN,Ross C. &quot;Rocky&quot; ANDERSON,5
CHARLESTOWN,Virgil GOODE,2
CHARLESTOWN,Peta LINDSAY,1
COVENTRY,Barack OBAMA,9122
COVENTRY,Mitt ROMNEY,6969
COVENTRY,Gary JOHNSON,235
COVENTRY,Jill STEIN,80
COVENTRY,WRITE-IN,56
COVENTRY,Virgil GOODE,22
COVENTRY,Ross C. &quot;Rocky&quot; ANDERSON,19
COVENTRY,Peta LINDSAY,3
CRANSTON,Barack OBAMA,21388
CRANSTON,Mitt ROMNEY,13008
CRANSTON,Gary JOHNSON,264
CRANSTON,Jill STEIN,155
CRANSTON,WRITE-IN,92
CRANSTON,Ross C. &quot;Rocky&quot; ANDERSON,26
CRANSTON,Virgil GOODE,24
CRANSTON,Peta LINDSAY,13
CUMBERLAND,Barack OBAMA,9291
CUMBERLAND,Mitt ROMNEY,7106
CUMBERLAND,Gary JOHNSON,151
CUMBERLAND,Jill STEIN,59
CUMBERLAND,WRITE-IN,44
CUMBERLAND,Ross C. &quot;Rocky&quot; ANDERSON,14
CUMBERLAND,Virgil GOODE,9
CUMBERLAND,Peta LINDSAY,2
EAST GREENWICH,Mitt ROMNEY,3649
EAST GREENWICH,Barack OBAMA,3535
EAST GREENWICH,Gary JOHNSON,58
EAST GREENWICH,Jill STEIN,38
EAST GREENWICH,WRITE-IN,22
EAST GREENWICH,Ross C. &quot;Rocky&quot; ANDERSON,3
EAST GREENWICH,Virgil GOODE,2
EAST GREENWICH,Peta LINDSAY,1
EAST PROVIDENCE,Barack OBAMA,14095
EAST PROVIDENCE,Mitt ROMNEY,5752
EAST PROVIDENCE,Gary JOHNSON,196
EAST PROVIDENCE,Jill STEIN,99
EAST PROVIDENCE,WRITE-IN,66
EAST PROVIDENCE,Virgil GOODE,26
EAST PROVIDENCE,Ross C. &quot;Rocky&quot; ANDERSON,13
EAST PROVIDENCE,Peta LINDSAY,6
EXETER,Barack OBAMA,1743
EXETER,Mitt ROMNEY,1541
EXETER,Gary JOHNSON,54
