fips,county,candidate,votes
45001,Abbeville,Mitt Romney / Paul Ryan,5981
45003,Aiken,Mitt Romney / Paul Ryan,44042
45005,Allendale,Mitt Romney / Paul Ryan,838
45007,Anderson,Mitt Romney / Paul Ryan,48709
45009,Bamberg,Mitt Romney / Paul Ryan,2194
45011,Barnwell,Mitt Romney / Paul Ryan,4659
45013,Beaufort,Mitt Romney / Paul Ryan,42687
45015,Berkeley,Mitt Romney / Paul Ryan,38475
45017,Calhoun,Mitt Romney / Paul Ryan,3707
45019,Charleston,Mitt Romney / Paul Ryan,77629
45021,Cherokee,Mitt Romney / Paul Ryan,13314
45023,Chester,Mitt Romney / Paul Ryan,6367
45025,Chesterfield,Mitt Romney / Paul Ryan,8490
45027,Clarendon,Mitt Romney / Paul Ryan,7071
45029,Colleton,Mitt Romney / Paul Ryan,8443
45031,Darlington,Mitt Romney / Paul Ryan,14434
45033,Dillon,Mitt Romney / Paul Ryan,5427
45035,Dorchester,Mitt Romney / Paul Ryan,32531
45037,Edgefield,Mitt Romney / Paul Ryan,6512
45039,Fairfield,Mitt Romney / Paul Ryan,3999
45041,Florence,Mitt Romney / Paul Ryan,28961
45043,Georgetown,Mitt Romney / Paul Ryan,16526
45045,Greenville,Mitt Romney / Paul Ryan,121685
45047,Greenwood,Mitt Romney / Paul Ryan,16348
45049,Hampton,Mitt Romney / Paul Ryan,3312
45051,Horry,Mitt Romney / Paul Ryan,72127
45053,Jasper,Mitt Romney / Paul Ryan,4169
45055,Kershaw,Mitt Romney / Paul Ryan,16324
45057,Lancaster,Mitt Romney / Paul Ryan,19333
45059,Laurens,Mitt Romney / Paul Ryan,14746
45061,Lee,Mitt Romney / Paul Ryan,2832
45063,Lexington,Mitt Romney / Paul Ryan,76662
45067,Marion,Mitt Romney / Paul Ryan,5164
45069,Marlboro,Mitt Romney / Paul Ryan,3676
45065,McCormick,Mitt Romney / Paul Ryan,2467
45071,Newberry,Mitt Romney / Paul Ryan,9260
45073,Oconee,Mitt Romney / Paul Ryan,21611
45075,Orangeburg,Mitt Romney / Paul Ryan,12022
45077,Pickens,Mitt Romney / Paul Ryan,33474
45079,Richland,Mitt Romney / Paul Ryan,53105
45081,Saluda,Mitt Romney / Paul Ryan,5135
45083,Spartanburg,Mitt Romney / Paul Ryan,66969
45085,Sumter,Mitt Romney / Paul Ryan,19274
45087,Union,Mitt Romney / Paul Ryan,6584
45089,Williamsburg,Mitt Romney / Paul Ryan,4824
45091,York,Mitt Romney / Paul Ryan,59546
45001,Abbeville,Gary Johnson / James P Gray,71
45003,Aiken,Gary Johnson / James P Gray,624
45005,Allendale,Gary Johnson / James P Gray,9
45007,Anderson,Gary Johnson / James P Gray,717
45009,Bamberg,Gary Johnson / James P Gray,34
45011,Barnwell,Gary Johnson / James P Gray,43
45013,Beaufort,Gary Johnson / James P Gray,503
45015,Berkeley,Gary Johnson / James P Gray,757
45017,Calhoun,Gary Johnson / James P Gray,37
45019,Charleston,Gary Johnson / James P Gray,1854
45021,Cherokee,Gary Johnson / James P Gray,117
45023,Chester,Gary Johnson / James P Gray,81
45025,Chesterfield,Gary Johnson / James P Gray,59
45027,Clarendon,Gary Johnson / James P Gray,57
45029,Colleton,Gary Johnson / James P Gray,84
45031,Darlington,Gary Johnson / James P Gray,137
45033,Dillon,Gary Johnson / James P Gray,23
45035,Dorchester,Gary Johnson / James P Gray,546
45037,Edgefield,Gary Johnson / James P Gray,64
45039,Fairfield,Gary Johnson / James P Gray,67
45041,Florence,Gary Johnson / James P Gray,290
45043,Georgetown,Gary Johnson / James P Gray,187
45045,Greenville,Gary Johnson / James P Gray,2282
45047,Greenwood,Gary Johnson / James P Gray,207
45049,Hampton,Gary Johnson / James P Gray,35
45051,Horry,Gary Johnson / James P Gray,907
45053,Jasper,Gary Johnson / James P Gray,43
45055,Kershaw,Gary Johnson / James P Gray,214
45057,Lancaster,Gary Johnson / James P Gray,261
45059,Laurens,Gary Johnson / James P Gray,178
45061,Lee,Gary Johnson / James P Gray,42
45063,Lexington,Gary Johnson / James P Gray,1176
45067,Marion,Gary Johnson / James P Gray,35
45069,Marlboro,Gary Johnson / James P Gray,45
45065,McCormick,Gary Johnson / James P Gray,21
45071,Newberry,Gary Johnson / James P Gray,89
45073,Oconee,Gary Johnson / James P Gray,296
45075,Orangeburg,Gary Johnson / James P Gray,143
45077,Pickens,Gary Johnson / James P Gray,568
45079,Richland,Gary Johnson / James P Gray,1001
45081,Saluda,Gary Johnson / James P Gray,58
45083,Spartanburg,Gary Johnson / James P Gray,915
45085,Sumter,Gary Johnson / James P Gray,202
45087,Union,Gary Johnson / James P Gray,71
45089,Williamsburg,Gary Johnson / James P Gray,41
45091,York,Gary Johnson / James P Gray,1130
45001,Abbeville,Barack Obama / Joe Biden,4543
45003,Aiken,Barack Obama / Joe Biden,25322
45005,Allendale,Barack Obama / Joe Biden,3297
45007,Anderson,Barack Obama / Joe Biden,22405
45009,Bamberg,Barack Obama / Joe Biden,4624
45011,Barnwell,Barack Obama / Joe Biden,5188
45013,Beaufort,Barack Obama / Joe Biden,29848
45015,Berkeley,Barack Obama / Joe Biden,28542
45017,Calhoun,Barack Obama / Joe Biden,4045
45019,Charleston,Barack Obama / Joe Biden,81487
45021,Cherokee,Barack Obama / Joe Biden,7231
45023,Chester,Barack Obama / Joe Biden,7891
45025,Chesterfield,Barack Obama / Joe Biden,7958
45027,Clarendon,Barack Obama / Joe Biden,9091
45029,Colleton,Barack Obama / Joe Biden,8475
45031,Darlington,Barack Obama / Joe Biden,15457
45033,Dillon,Barack Obama / Joe Biden,7523
45035,Dorchester,Barack Obama / Joe Biden,23445
45037,Edgefield,Barack Obama / Joe Biden,4967
45039,Fairfield,Barack Obama / Joe Biden,7777
45041,Florence,Barack Obama / Joe Biden,28614
45043,Georgetown,Barack Obama / Joe Biden,14163
45045,Greenville,Barack Obama / Joe Biden,68070
45047,Greenwood,Barack Obama / Joe Biden,11972
45049,Hampton,Barack Obama / Joe Biden,5834
45051,Horry,Barack Obama / Joe Biden,38885
45053,Jasper,Barack Obama / Joe Biden,5757
45055,Kershaw,Barack Obama / Joe Biden,11259
45057,Lancaster,Barack Obama / Joe Biden,13419
45059,Laurens,Barack Obama / Joe Biden,10318
45061,Lee,Barack Obama / Joe Biden,5977
45063,Lexington,Barack Obama / Joe Biden,34148
45067,Marion,Barack Obama / Joe Biden,9688
45069,Marlboro,Barack Obama / Joe Biden,6100
45065,McCormick,Barack Obama / Joe Biden,2653
45071,Newberry,Barack Obama / Joe Biden,6913
45073,Oconee,Barack Obama / Joe Biden,8550
45075,Orangeburg,Barack Obama / Joe Biden,30720
45077,Pickens,Barack Obama / Joe Biden,11156
45079,Richland,Barack Obama / Joe Biden,103989
45081,Saluda,Barack Obama / Joe Biden,3328
45083,Spartanburg,Barack Obama / Joe Biden,41461
45085,Sumter,Barack Obama / Joe Biden,27589
45087,Union,Barack Obama / Joe Biden,5796
45089,Williamsburg,Barack Obama / Joe Biden,11335
45091,York,Barack Obama / Joe Biden,39131
45001,Abbeville,Virgil Goode / Jim Clymer,52
45003,Aiken,Virgil Goode / Jim Clymer,164
45005,Allendale,Virgil Goode / Jim Clymer,10
45007,Anderson,Virgil Goode / Jim Clymer,207
45009,Bamberg,Virgil Goode / Jim Clymer,17
45011,Barnwell,Virgil Goode / Jim Clymer,13
45013,Beaufort,Virgil Goode / Jim Clymer,90
45015,Berkeley,Virgil Goode / Jim Clymer,202
45017,Calhoun,Virgil Goode / Jim Clymer,25
45019,Charleston,Virgil Goode / Jim Clymer,227
45021,Cherokee,Virgil Goode / Jim Clymer,68
45023,Chester,Virgil Goode / Jim Clymer,34
45025,Chesterfield,Virgil Goode / Jim Clymer,40
45027,Clarendon,Virgil Goode / Jim Clymer,39
45029,Colleton,Virgil Goode / Jim Clymer,33
45031,Darlington,Virgil Goode / Jim Clymer,50
45033,Dillon,Virgil Goode / Jim Clymer,30
45035,Dorchester,Virgil Goode / Jim Clymer,138
45037,Edgefield,Virgil Goode / Jim Clymer,22
45039,Fairfield,Virgil Goode / Jim Clymer,25
45041,Florence,Virgil Goode / Jim Clymer,133
45043,Georgetown,Virgil Goode / Jim Clymer,40
45045,Greenville,Virgil Goode / Jim Clymer,641
45047,Greenwood,Virgil Goode / Jim Clymer,71
45049,Hampton,Virgil Goode / Jim Clymer,14
45051,Horry,Virgil Goode / Jim Clymer,178
45053,Jasper,Virgil Goode / Jim Clymer,27
45055,Kershaw,Virgil Goode / Jim Clymer,62
45057,Lancaster,Virgil Goode / Jim Clymer,53
45059,Laurens,Virgil Goode / Jim Clymer,99
45061,Lee,Virgil Goode / Jim Clymer,28
