fips,county,candidate,votes
46003,Aurora,Obama,556
46003,Aurora,Romney,804
46003,Aurora,Johnson,27
46003,Aurora,Goode,13
46005,Beadle,Obama,2881
46005,Beadle,Romney,4230
46005,Beadle,Johnson,107
46005,Beadle,Goode,45
46007,Bennett,Obama,548
46007,Bennett,Romney,626
46007,Bennett,Johnson,18
46007,Bennett,Goode,11
46009,Bon Homme,Obama,1167
46009,Bon Homme,Romney,1830
46009,Bon Homme,Johnson,55
46009,Bon Homme,Goode,22
46011,Brookings,Obama,5827
46011,Brookings,Romney,6220
46011,Brookings,Johnson,253
46011,Brookings,Goode,100
46013,Brown,Obama,7250
46013,Brown,Romney,8321
46013,Brown,Johnson,409
46013,Brown,Goode,88
46015,Brule,Obama,824
46015,Brule,Romney,1499
46015,Brule,Johnson,37
46015,Brule,Goode,19
46017,Buffalo,Obama,472
46017,Buffalo,Romney,166
46017,Buffalo,Johnson,3
46017,Buffalo,Goode,0
46019,Butte,Obama,1002
46019,Butte,Romney,3073
46019,Butte,Johnson,94
46019,Butte,Goode,39
46021,Campbell,Obama,153
46021,Campbell,Romney,616
46021,Campbell,Johnson,12
46021,Campbell,Goode,6
46023,Charles Mix,Obama,1483
46023,Charles Mix,Romney,2230
46023,Charles Mix,Johnson,30
46023,Charles Mix,Goode,21
46025,Clark,Obama,713
46025,Clark,Romney,1067
46025,Clark,Johnson,27
46025,Clark,Goode,14
46027,Clay,Obama,2955
46027,Clay,Romney,2147
46027,Clay,Johnson,107
46027,Clay,Goode,25
46029,Codington,Obama,4588
46029,Codington,Romney,6696
46029,Codington,Johnson,169
46029,Codington,Goode,71
46031,Corson,Obama,648
46031,Corson,Romney,515
46031,Corson,Johnson,30
46031,Corson,Goode,7
46033,Custer,Obama,1335
46033,Custer,Romney,3062
46033,Custer,Johnson,83
46033,Custer,Goode,40
46035,Davison,Obama,3042
46035,Davison,Romney,4757
46035,Davison,Johnson,125
46035,Davison,Goode,47
46037,Day,Obama,1497
46037,Day,Romney,1320
46037,Day,Johnson,33
46037,Day,Goode,23
46039,Deuel,Obama,941
46039,Deuel,Romney,1175
46039,Deuel,Johnson,32
46039,Deuel,Goode,23
46041,Dewey,Obama,1207
46041,Dewey,Romney,663
46041,Dewey,Johnson,15
46041,Dewey,Goode,10
46043,Douglas,Obama,332
46043,Douglas,Romney,1334
46043,Douglas,Johnson,16
46043,Douglas,Goode,8
46045,Edmunds,Obama,622
46045,Edmunds,Romney,1264
46045,Edmunds,Johnson,37
46045,Edmunds,Goode,13
46047,Fall River,Obama,1140
46047,Fall River,Romney,2258
46047,Fall River,Johnson,75
46047,Fall River,Goode,43
46049,Faulk,Obama,331
46049,Faulk,Romney,765
46049,Faulk,Johnson,22
46049,Faulk,Goode,9
46051,Grant,Obama,1493
46051,Grant,Romney,2034
46051,Grant,Johnson,48
46051,Grant,Goode,31
46053,Gregory,Obama,599
46053,Gregory,Romney,1507
46053,Gregory,Johnson,31
46053,Gregory,Goode,14
46055,Haakon,Obama,138
46055,Haakon,Romney,940
46055,Haakon,Johnson,8
46055,Haakon,Goode,6
46057,Hamlin,Obama,921
46057,Hamlin,Romney,1803
46057,Hamlin,Johnson,47
46057,Hamlin,Goode,22
46059,Hand,Obama,575
46059,Hand,Romney,1242
46059,Hand,Johnson,21
46059,Hand,Goode,10
46061,Hanson,Obama,760
46061,Hanson,Romney,1627
46061,Hanson,Johnson,16
46061,Hanson,Goode,13
46063,Harding,Obama,82
46063,Harding,Romney,638
46063,Harding,Johnson,16
46063,Harding,Goode,3
46065,Hughes,Obama,2786
46065,Hughes,Romney,5219
46065,Hughes,Johnson,107
46065,Hughes,Goode,43
46067,Hutchinson,Obama,923
46067,Hutchinson,Romney,2451
46067,Hutchinson,Johnson,25
46067,Hutchinson,Goode,26
46069,Hyde,Obama,189
46069,Hyde,Romney,531
46069,Hyde,Johnson,11
46069,Hyde,Goode,2
46071,Jackson,Obama,426
46071,Jackson,Romney,661
46071,Jackson,Johnson,9
46071,Jackson,Goode,10
46073,Jerauld,Obama,452
46073,Jerauld,Romney,538
46073,Jerauld,Johnson,11
46073,Jerauld,Goode,5
46075,Jones,Obama,108
46075,Jones,Romney,490
46075,Jones,Johnson,9
46075,Jones,Goode,2
46077,Kingsbury,Obama,1092
46077,Kingsbury,Romney,1451
46077,Kingsbury,Johnson,45
46077,Kingsbury,Goode,20
46079,Lake,Obama,2724
46079,Lake,Romney,3419
46079,Lake,Johnson,98
46079,Lake,Goode,44
46081,Lawrence,Obama,3973
46081,Lawrence,Romney,7025
46081,Lawrence,Johnson,262
46081,Lawrence,Goode,99
46083,Lincoln,Obama,7982
46083,Lincoln,Romney,13611
46083,Lincoln,Johnson,261
46083,Lincoln,Goode,98
46085,Lyman,Obama,605
46085,Lyman,Romney,933
46085,Lyman,Johnson,24
46085,Lyman,Goode,7
46091,Marshall,Obama,1061
46091,Marshall,Romney,889
46091,Marshall,Johnson,29
46091,Marshall,Goode,8
46087,McCook,Obama,905
46087,McCook,Romney,1655
46087,McCook,Johnson,33
46087,McCook,Goode,20
46089,McPherson,Obama,272
46089,McPherson,Romney,921
46089,McPherson,Johnson,12
46089,McPherson,Goode,10
46093,Meade,Obama,2928
46093,Meade,Romney,7566
46093,Meade,Johnson,214
46093,Meade,Goode,109
46095,Mellette,Obama,375
46095,Mellette,Romney,381
46095,Mellette,Johnson,5
46095,Mellette,Goode,8
46097,Miner,Obama,479
46097,Miner,Romney,636
46097,Miner,Johnson,18
46097,Miner,Goode,7
46099,Minnehaha,Obama,34674
46099,Minnehaha,Romney,40342
46099,Minnehaha,Johnson,1118
46099,Minnehaha,Goode,449
46101,Moody,Obama,1429
46101,Moody,Romney,1535
46101,Moody,Johnson,47
46101,Moody,Goode,22
46103,Pennington,Obama,15125
46103,Pennington,Romney,28232
46103,Pennington,Johnson,816
