fips,county,candidate,votes
47001,ANDERSON,Mitt Romney,18968
47001,ANDERSON,Barack Obama,10122
47001,ANDERSON,Virgil Goode,101
47001,ANDERSON,Jill Stein,88
47001,ANDERSON,"Ross C. ""Rocky"" Anderson",54
47001,ANDERSON,Gary Johnson,301
47001,ANDERSON,Merlin Miller,25
47003,BEDFORD,Mitt Romney,10034
47003,BEDFORD,Barack Obama,4211
47003,BEDFORD,Virgil Goode,49
47003,BEDFORD,Jill Stein,39
47003,BEDFORD,"Ross C. ""Rocky"" Anderson",17
47003,BEDFORD,Gary Johnson,90
47003,BEDFORD,Merlin Miller,5
47005,BENTON,Mitt Romney,3850
47005,BENTON,Barack Obama,2258
47005,BENTON,Virgil Goode,20
47005,BENTON,Jill Stein,20
47005,BENTON,"Ross C. ""Rocky"" Anderson",14
47005,BENTON,Gary Johnson,58
47005,BENTON,Merlin Miller,6
47007,BLEDSOE,Mitt Romney,3022
47007,BLEDSOE,Barack Obama,1267
47007,BLEDSOE,Virgil Goode,22
47007,BLEDSOE,Jill Stein,3
47007,BLEDSOE,"Ross C. ""Rocky"" Anderson",6
47007,BLEDSOE,Gary Johnson,32
47007,BLEDSOE,Merlin Miller,7
47009,BLOUNT,Mitt Romney,35441
47009,BLOUNT,Barack Obama,12934
47009,BLOUNT,Virgil Goode,119
47009,BLOUNT,Jill Stein,126
47009,BLOUNT,"Ross C. ""Rocky"" Anderson",56
47009,BLOUNT,Gary Johnson,536
47009,BLOUNT,Merlin Miller,22
47011,BRADLEY,Mitt Romney,27422
47011,BRADLEY,Barack Obama,8037
47011,BRADLEY,Virgil Goode,103
47011,BRADLEY,Jill Stein,69
47011,BRADLEY,"Ross C. ""Rocky"" Anderson",30
47011,BRADLEY,Gary Johnson,274
47011,BRADLEY,Merlin Miller,28
47013,CAMPBELL,Mitt Romney,8604
47013,CAMPBELL,Barack Obama,3328
47013,CAMPBELL,Virgil Goode,53
47013,CAMPBELL,Jill Stein,24
47013,CAMPBELL,"Ross C. ""Rocky"" Anderson",21
47013,CAMPBELL,Gary Johnson,58
47013,CAMPBELL,Merlin Miller,13
47015,CANNON,Mitt Romney,3309
47015,CANNON,Barack Obama,1564
47015,CANNON,Virgil Goode,19
47015,CANNON,Jill Stein,27
47015,CANNON,"Ross C. ""Rocky"" Anderson",11
47015,CANNON,Gary Johnson,41
47015,CANNON,Merlin Miller,2
47017,CARROLL,Mitt Romney,7225
47017,CARROLL,Barack Obama,3475
47017,CARROLL,Virgil Goode,33
47017,CARROLL,Jill Stein,28
47017,CARROLL,"Ross C. ""Rocky"" Anderson",12
47017,CARROLL,Gary Johnson,63
47017,CARROLL,Merlin Miller,15
47019,CARTER,Mitt Romney,15503
47019,CARTER,Barack Obama,4789
47019,CARTER,Virgil Goode,61
47019,CARTER,Jill Stein,62
47019,CARTER,"Ross C. ""Rocky"" Anderson",25
47019,CARTER,Gary Johnson,165
47019,CARTER,Merlin Miller,12
47021,CHEATHAM,Mitt Romney,10268
47021,CHEATHAM,Barack Obama,4659
47021,CHEATHAM,Virgil Goode,38
