fips,county,candidate,votes
48001,ANDERSON,Mitt Romney,12262
48001,ANDERSON,Barack Obama,3813
48001,ANDERSON,Gary Johnson,106
48001,ANDERSON,Jill Stein,30
48001,ANDERSON,Avery Ayers,0
48001,ANDERSON,Stewart Alexander,0
48001,ANDERSON,Thaddaus Hill,0
48001,ANDERSON,Virgil Goode,1
48001,ANDERSON,Tom Hoefling,0
48001,ANDERSON,Andre N. Barnett,0
48001,ANDERSON,Rocky Anderson,0
48003,ANDREWS,Mitt Romney,3639
48003,ANDREWS,Barack Obama,795
48003,ANDREWS,Gary Johnson,39
48003,ANDREWS,Jill Stein,7
48003,ANDREWS,Avery Ayers,0
48003,ANDREWS,Stewart Alexander,0
48003,ANDREWS,Thaddaus Hill,0
48003,ANDREWS,Virgil Goode,1
48003,ANDREWS,Tom Hoefling,0
48003,ANDREWS,Andre N. Barnett,0
48003,ANDREWS,Rocky Anderson,1
48005,ANGELINA,Mitt Romney,20303
48005,ANGELINA,Barack Obama,7834
48005,ANGELINA,Gary Johnson,211
48005,ANGELINA,Jill Stein,58
48005,ANGELINA,Avery Ayers,0
48005,ANGELINA,Stewart Alexander,0
48005,ANGELINA,Thaddaus Hill,0
48005,ANGELINA,Virgil Goode,0
48005,ANGELINA,Tom Hoefling,0
48005,ANGELINA,Andre N. Barnett,0
48005,ANGELINA,Rocky Anderson,0
48007,ARANSAS,Mitt Romney,6830
48007,ARANSAS,Barack Obama,2704
48007,ARANSAS,Gary Johnson,87
48007,ARANSAS,Jill Stein,27
48007,ARANSAS,Avery Ayers,0
48007,ARANSAS,Stewart Alexander,0
48007,ARANSAS,Thaddaus Hill,0
48007,ARANSAS,Virgil Goode,0
48007,ARANSAS,Tom Hoefling,0
48007,ARANSAS,Andre N. Barnett,0
48007,ARANSAS,Rocky Anderson,0
48009,ARCHER,Mitt Romney,3600
48009,ARCHER,Barack Obama,525
48009,ARCHER,Gary Johnson,33
48009,ARCHER,Jill Stein,6
48009,ARCHER,Avery Ayers,0
48009,ARCHER,Stewart Alexander,0
48009,ARCHER,Thaddaus Hill,0
48009,ARCHER,Virgil Goode,0
48009,ARCHER,Tom Hoefling,0
48009,ARCHER,Andre N. Barnett,0
48009,ARCHER,Rocky Anderson,0
48011,ARMSTRONG,Mitt Romney,828
48011,ARMSTRONG,Barack Obama,98
48011,ARMSTRONG,Gary Johnson,5
48011,ARMSTRONG,Jill Stein,4
48011,ARMSTRONG,Avery Ayers,0
48011,ARMSTRONG,Stewart Alexander,0
48011,ARMSTRONG,Thaddaus Hill,0
48011,ARMSTRONG,Virgil Goode,0
48011,ARMSTRONG,Tom Hoefling,0
48011,ARMSTRONG,Andre N. Barnett,0
48011,ARMSTRONG,Rocky Anderson,0
48013,ATASCOSA,Mitt Romney,7461
48013,ATASCOSA,Barack Obama,5133
48013,ATASCOSA,Gary Johnson,99
48013,ATASCOSA,Jill Stein,27
48013,ATASCOSA,Avery Ayers,0
48013,ATASCOSA,Stewart Alexander,0
48013,ATASCOSA,Thaddaus Hill,0
48013,ATASCOSA,Virgil Goode,1
48013,ATASCOSA,Tom Hoefling,0
48013,ATASCOSA,Andre N. Barnett,0
48013,ATASCOSA,Rocky Anderson,0
48015,AUSTIN,Mitt Romney,9265
48015,AUSTIN,Barack Obama,2252
48015,AUSTIN,Gary Johnson,96
48015,AUSTIN,Jill Stein,20
48015,AUSTIN,Avery Ayers,0
48015,AUSTIN,Stewart Alexander,1
48015,AUSTIN,Thaddaus Hill,11
