fips,county,candidate,votes
49001,Beaver,"Jill Stein, Cheri Honkala (G)",4
49001,Beaver,"Gloria La Riva, Filberto Ramirez, Jr. (U)",0
49001,Beaver,"Mitt Romney, Paul Ryan (R)",2174
49001,Beaver,"Barack Obama, Joseph R. Biden, Jr. (D)",346
49001,Beaver,"Gary Johnson, James P. Gray (L)",17
49001,Beaver,"Virgil Goode, Jim Clymer (C)",8
49001,Beaver,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",11
49003,Box Elder,"Jill Stein, Cheri Honkala (G)",36
49003,Box Elder,"Gloria La Riva, Filberto Ramirez, Jr. (U)",6
49003,Box Elder,"Mitt Romney, Paul Ryan (R)",17101
49003,Box Elder,"Barack Obama, Joseph R. Biden, Jr. (D)",1984
49003,Box Elder,"Gary Johnson, James P. Gray (L)",150
49003,Box Elder,"Virgil Goode, Jim Clymer (C)",72
49003,Box Elder,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",56
49003,Box Elder,"Roseanne Barr, Cindy Sheehan",1
49003,Box Elder,"Will Christensen, Kenn Gibbs",2
49005,Cache,"Jill Stein, Cheri Honkala (G)",138
49005,Cache,"Gloria La Riva, Filberto Ramirez, Jr. (U)",15
49005,Cache,"Mitt Romney, Paul Ryan (R)",35039
49005,Cache,"Barack Obama, Joseph R. Biden, Jr. (D)",6244
49005,Cache,"Gary Johnson, James P. Gray (L)",543
49005,Cache,"Virgil Goode, Jim Clymer (C)",142
49005,Cache,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",172
49007,Carbon,"Jill Stein, Cheri Honkala (G)",23
49007,Carbon,"Gloria La Riva, Filberto Ramirez, Jr. (U)",7
49007,Carbon,"Mitt Romney, Paul Ryan (R)",5090
49007,Carbon,"Barack Obama, Joseph R. Biden, Jr. (D)",2275
49007,Carbon,"Gary Johnson, James P. Gray (L)",88
49007,Carbon,"Virgil Goode, Jim Clymer (C)",35
49007,Carbon,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",49
49009,Daggett,"Jill Stein, Cheri Honkala (G)",1
49009,Daggett,"Gloria La Riva, Filberto Ramirez, Jr. (U)",1
49009,Daggett,"Mitt Romney, Paul Ryan (R)",406
49009,Daggett,"Barack Obama, Joseph R. Biden, Jr. (D)",94
49009,Daggett,"Gary Johnson, James P. Gray (L)",16
49009,Daggett,"Virgil Goode, Jim Clymer (C)",1
49009,Daggett,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",1
49011,Davis,"Jill Stein, Cheri Honkala (G)",330
49011,Davis,"Gloria La Riva, Filberto Ramirez, Jr. (U)",32
49011,Davis,"Mitt Romney, Paul Ryan (R)",96861
49011,Davis,"Barack Obama, Joseph R. Biden, Jr. (D)",21889
49011,Davis,"Gary Johnson, James P. Gray (L)",1217
49011,Davis,"Virgil Goode, Jim Clymer (C)",331
49011,Davis,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",408
49011,Davis,"Roseanne Barr, Cindy Sheehan",1
49013,Duchesne,"Jill Stein, Cheri Honkala (G)",9
49013,Duchesne,"Gloria La Riva, Filberto Ramirez, Jr. (U)",1
49013,Duchesne,"Mitt Romney, Paul Ryan (R)",5698
49013,Duchesne,"Barack Obama, Joseph R. Biden, Jr. (D)",581
49013,Duchesne,"Gary Johnson, James P. Gray (L)",41
49013,Duchesne,"Virgil Goode, Jim Clymer (C)",31
49013,Duchesne,"Ross C. ""Rocky"" Anderson, Luis J. Rodriguez (J)",18
49015,Emery,"Jill Stein, Cheri Honkala (G)",10
49015,Emery,"Gloria La Riva, Filberto Ramirez, Jr. (U)",4
49015,Emery,"Mitt Romney, Paul Ryan (R)",3777
