fips,county,candidate,votes
51001,ACCOMACK,Mitt Romney,8213
51001,ACCOMACK,Barack Obama,7655
51001,ACCOMACK,Virgil Goode,35
51001,ACCOMACK,Gary Johnson,83
51001,ACCOMACK,Jill Stein,41
51001,ACCOMACK,Write In,24
51003,ALBEMARLE,Mitt Romney,23297
51003,ALBEMARLE,Barack Obama,29757
51003,ALBEMARLE,Virgil Goode,141
51003,ALBEMARLE,Gary Johnson,483
51003,ALBEMARLE,Jill Stein,135
51003,ALBEMARLE,Write In,94
51005,ALLEGHANY,Mitt Romney,3595
51005,ALLEGHANY,Barack Obama,3403
51005,ALLEGHANY,Virgil Goode,78
51005,ALLEGHANY,Gary Johnson,62
51005,ALLEGHANY,Jill Stein,24
51005,ALLEGHANY,Write In,11
51007,AMELIA,Mitt Romney,4331
51007,AMELIA,Barack Obama,2490
51007,AMELIA,Virgil Goode,28
51007,AMELIA,Gary Johnson,43
51007,AMELIA,Jill Stein,12
51007,AMELIA,Write In,11
51009,AMHERST,Mitt Romney,8876
51009,AMHERST,Barack Obama,5900
51009,AMHERST,Virgil Goode,71
51009,AMHERST,Gary Johnson,85
51009,AMHERST,Jill Stein,18
51009,AMHERST,Write In,20
51011,APPOMATTOX,Mitt Romney,5340
51011,APPOMATTOX,Barack Obama,2453
51011,APPOMATTOX,Virgil Goode,58
51011,APPOMATTOX,Gary Johnson,46
51011,APPOMATTOX,Jill Stein,27
51011,APPOMATTOX,Write In,11
51013,ARLINGTON,Mitt Romney,34474
51013,ARLINGTON,Barack Obama,81269
51013,ARLINGTON,Virgil Goode,126
51013,ARLINGTON,Gary Johnson,1178
51013,ARLINGTON,Jill Stein,365
51013,ARLINGTON,Write In,196
51015,AUGUSTA,Mitt Romney,23624
51015,AUGUSTA,Barack Obama,9451
51015,AUGUSTA,Virgil Goode,163
51015,AUGUSTA,Gary Johnson,313
51015,AUGUSTA,Jill Stein,76
51015,AUGUSTA,Write In,45
51017,BATH,Mitt Romney,1274
51017,BATH,Barack Obama,894
51017,BATH,Virgil Goode,27
51017,BATH,Gary Johnson,14
51017,BATH,Jill Stein,9
51017,BATH,Write In,5
51019,BEDFORD COUNTY,Mitt Romney,26679
51019,BEDFORD COUNTY,Barack Obama,10209
51019,BEDFORD COUNTY,Virgil Goode,212
