fips,county,candidate,votes
50001,Addison,Anderson,78
50001,Addison,Johnson,222
50001,Addison,Lindsay,38
50001,Addison,Obama,12257
50001,Addison,Romney,5203
50001,Addison,write-in,112
50003,Bennington,Anderson,64
50003,Bennington,Johnson,203
50003,Bennington,Lindsay,41
50003,Bennington,Obama,11514
50003,Bennington,Romney,5687
50003,Bennington,write-in,84
50005,Caledonia,Anderson,61
50005,Caledonia,Johnson,168
50005,Caledonia,Lindsay,36
50005,Caledonia,Obama,8192
50005,Caledonia,Romney,5088
50005,Caledonia,write-in,116
50007,Chittenden,Anderson,263
50007,Chittenden,Johnson,926
50007,Chittenden,Lindsay,163
50007,Chittenden,Obama,53626
50007,Chittenden,Romney,21571
50007,Chittenden,write-in,531
50009,Essex,Anderson,15
50009,Essex,Johnson,38
50009,Essex,Lindsay,8
50009,Essex,Obama,1539
50009,Essex,Romney,1164
50009,Essex,write-in,34
50011,Franklin,Anderson,71
50011,Franklin,Johnson,196
50011,Franklin,Lindsay,26
50011,Franklin,Obama,12057
50011,Franklin,Romney,7405
50011,Franklin,write-in,133
50013,Grand Isle,Anderson,18
50013,Grand Isle,Johnson,37
50013,Grand Isle,Lindsay,7
50013,Grand Isle,Obama,2531
50013,Grand Isle,Romney,1471
50013,Grand Isle,write-in,11
50015,Lamoille,Anderson,35
50015,Lamoille,Johnson,140
50015,Lamoille,Lindsay,26
50015,Lamoille,Obama,8371
50015,Lamoille,Romney,3342
50015,Lamoille,write-in,74
50017,Orange,Anderson,67
50017,Orange,Johnson,194
50017,Orange,Lindsay,40
50017,Orange,Obama,9076
50017,Orange,Romney,4588
50017,Orange,write-in,88
50019,Orleans,Anderson,42
50019,Orleans,Johnson,130
50019,Orleans,Lindsay,37
50019,Orleans,Obama,7117
50019,Orleans,Romney,4306
50019,Orleans,write-in,60
50021,Rutland,Anderson,115
50021,Rutland,Johnson,308
50021,Rutland,Lindsay,60
50021,Rutland,Obama,17088
50021,Rutland,Romney,10835
50021,Rutland,write-in,203
50023,Washington,Anderson,141
50023,Washington,Johnson,387
50023,Washington,Lindsay,80
50023,Washington,Obama,20351
50023,Washington,Romney,8093
50023,Washington,write-in,255
50025,Windham,Anderson,78
50025,Windham,Johnson,221
50025,Windham,Lindsay,82
50025,Windham,Obama,16026
50025,Windham,Romney,5347
50025,Windham,write-in,183
50027,Windsor,Anderson,80
50027,Windsor,Johnson,317
50027,Windsor,Lindsay,51
50027,Windsor,Obama,19494
50027,Windsor,Romney,8598
50027,Windsor,write-in,159
