fips,county,candidate,votes
53001,Adams,Barack Obama / Joe Biden,1540
53001,Adams,Mitt Romney / Paul Ryan,3171
53001,Adams,Gary Johnson / James P. Gray,40
53001,Adams,Virgil Goode / James N. Clymer,15
53001,Adams,Jill Stein / Cheri Honkala,20
53001,Adams,Peta Lindsay / Yari Osorio,1
53001,Adams,James Harris / Alyson Kennedy,0
53001,Adams,Ross C. (Rocky) Anderson / Luis J. Rodriguez,6
53003,Asotin,Barack Obama / Joe Biden,4003
53003,Asotin,Mitt Romney / Paul Ryan,5654
53003,Asotin,Gary Johnson / James P. Gray,151
53003,Asotin,Virgil Goode / James N. Clymer,31
53003,Asotin,Jill Stein / Cheri Honkala,34
53003,Asotin,Peta Lindsay / Yari Osorio,3
53003,Asotin,James Harris / Alyson Kennedy,4
53003,Asotin,Ross C. (Rocky) Anderson / Luis J. Rodriguez,21
53005,Benton,Barack Obama / Joe Biden,28145
53005,Benton,Mitt Romney / Paul Ryan,49461
53005,Benton,Gary Johnson / James P. Gray,1148
53005,Benton,Virgil Goode / James N. Clymer,303
53005,Benton,Jill Stein / Cheri Honkala,360
53005,Benton,Peta Lindsay / Yari Osorio,19
53005,Benton,James Harris / Alyson Kennedy,18
53005,Benton,Ross C. (Rocky) Anderson / Luis J. Rodriguez,105
53007,Chelan,Barack Obama / Joe Biden,13112
53007,Chelan,Mitt Romney / Paul Ryan,18402
53007,Chelan,Gary Johnson / James P. Gray,426
53007,Chelan,Virgil Goode / James N. Clymer,91
53007,Chelan,Jill Stein / Cheri Honkala,154
53007,Chelan,Peta Lindsay / Yari Osorio,9
53007,Chelan,James Harris / Alyson Kennedy,20
53007,Chelan,Ross C. (Rocky) Anderson / Luis J. Rodriguez,36
53009,Clallam,Barack Obama / Joe Biden,18580
53009,Clallam,Mitt Romney / Paul Ryan,18437
53009,Clallam,Gary Johnson / James P. Gray,522
53009,Clallam,Virgil Goode / James N. Clymer,135
53009,Clallam,Jill Stein / Cheri Honkala,293
53009,Clallam,Peta Lindsay / Yari Osorio,26
53009,Clallam,James Harris / Alyson Kennedy,21
53009,Clallam,Ross C. (Rocky) Anderson / Luis J. Rodriguez,52
53011,Clark,Barack Obama / Joe Biden,93382
53011,Clark,Mitt Romney / Paul Ryan,92951
53011,Clark,Gary Johnson / James P. Gray,2523
53011,Clark,Virgil Goode / James N. Clymer,591
53011,Clark,Jill Stein / Cheri Honkala,984
53011,Clark,Peta Lindsay / Yari Osorio,58
53011,Clark,James Harris / Alyson Kennedy,61
53011,Clark,Ross C. (Rocky) Anderson / Luis J. Rodriguez,255
53013,Columbia,Barack Obama / Joe Biden,645
53013,Columbia,Mitt Romney / Paul Ryan,1568
53013,Columbia,Gary Johnson / James P. Gray,26
53013,Columbia,Virgil Goode / James N. Clymer,6
53013,Columbia,Jill Stein / Cheri Honkala,7
53013,Columbia,Peta Lindsay / Yari Osorio,0
53013,Columbia,James Harris / Alyson Kennedy,2
53013,Columbia,Ross C. (Rocky) Anderson / Luis J. Rodriguez,5
53015,Cowlitz,Barack Obama / Joe Biden,22726
53015,Cowlitz,Mitt Romney / Paul Ryan,20746
