fips,county,candidate,votes
55001,ADAMS,MITT ROMNEY/PAUL RYAN,4644
55001,ADAMS,BARACK OBAMA/JOE BIDEN,5542
55001,ADAMS,VIRGIL GOODE/JIM CLYMER,16
55001,ADAMS,GARY JOHNSON/JAMES P. GRAY,51
55001,ADAMS,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",3
55001,ADAMS,JERRY WHITE/PHYLLIS SCHERRER,5
55001,ADAMS,JILL STEIN/BEN MANSKI,10
55001,ADAMS,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
55001,ADAMS,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),2
55001,ADAMS,SCATTERING,14
55003,ASHLAND,MITT ROMNEY/PAUL RYAN,2820
55003,ASHLAND,BARACK OBAMA/JOE BIDEN,5399
55003,ASHLAND,VIRGIL GOODE/JIM CLYMER,18
55003,ASHLAND,GARY JOHNSON/JAMES P. GRAY,50
55003,ASHLAND,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",4
55003,ASHLAND,JERRY WHITE/PHYLLIS SCHERRER,3
55003,ASHLAND,JILL STEIN/BEN MANSKI,59
55003,ASHLAND,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),2
55003,ASHLAND,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),0
55003,ASHLAND,SCATTERING,17
55005,BARRON,MITT ROMNEY/PAUL RYAN,11443
55005,BARRON,BARACK OBAMA/JOE BIDEN,10890
55005,BARRON,VIRGIL GOODE/JIM CLYMER,47
55005,BARRON,GARY JOHNSON/JAMES P. GRAY,169
55005,BARRON,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",5
55005,BARRON,JERRY WHITE/PHYLLIS SCHERRER,6
55005,BARRON,JILL STEIN/BEN MANSKI,54
55005,BARRON,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),15
55005,BARRON,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),23
55005,BARRON,SCATTERING,40
55007,BAYFIELD,MITT ROMNEY/PAUL RYAN,3603
55007,BAYFIELD,BARACK OBAMA/JOE BIDEN,6033
55007,BAYFIELD,VIRGIL GOODE/JIM CLYMER,17
55007,BAYFIELD,GARY JOHNSON/JAMES P. GRAY,55
55007,BAYFIELD,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",0
55007,BAYFIELD,JERRY WHITE/PHYLLIS SCHERRER,1
55007,BAYFIELD,JILL STEIN/BEN MANSKI,67
55007,BAYFIELD,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
55007,BAYFIELD,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),0
55007,BAYFIELD,SCATTERING,12
55009,BROWN,MITT ROMNEY/PAUL RYAN,64836
55009,BROWN,BARACK OBAMA/JOE BIDEN,62526
55009,BROWN,VIRGIL GOODE/JIM CLYMER,204
55009,BROWN,GARY JOHNSON/JAMES P. GRAY,805
55009,BROWN,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",21
55009,BROWN,JERRY WHITE/PHYLLIS SCHERRER,16
55009,BROWN,JILL STEIN/BEN MANSKI,308
55009,BROWN,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
55009,BROWN,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),1
55009,BROWN,SCATTERING,211
55011,BUFFALO,MITT ROMNEY/PAUL RYAN,3364
55011,BUFFALO,BARACK OBAMA/JOE BIDEN,3570
55011,BUFFALO,VIRGIL GOODE/JIM CLYMER,29
55011,BUFFALO,GARY JOHNSON/JAMES P. GRAY,41
55011,BUFFALO,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",3
55011,BUFFALO,JERRY WHITE/PHYLLIS SCHERRER,4
55011,BUFFALO,JILL STEIN/BEN MANSKI,14
55011,BUFFALO,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),0
55011,BUFFALO,ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),2
55011,BUFFALO,SCATTERING,12
55013,BURNETT,MITT ROMNEY/PAUL RYAN,4550
55013,BURNETT,BARACK OBAMA/JOE BIDEN,3986
