fips,county,candidate,votes
54001,Barbour,BARACK OBAMA,1768
54001,Barbour,GARY JOHNSON,71
54001,Barbour,JILL STEIN,53
54001,Barbour,MITT ROMNEY,3824
54001,Barbour,RANDALL TERRY,45
54003,Berkeley,BARACK OBAMA,14275
54003,Berkeley,GARY JOHNSON,426
54003,Berkeley,JILL STEIN,207
54003,Berkeley,MITT ROMNEY,22156
54003,Berkeley,RANDALL TERRY,108
54005,Boone,BARACK OBAMA,2790
54005,Boone,GARY JOHNSON,77
54005,Boone,JILL STEIN,66
54005,Boone,MITT ROMNEY,5467
54005,Boone,RANDALL TERRY,100
54007,Braxton,BARACK OBAMA,1998
54007,Braxton,GARY JOHNSON,25
54007,Braxton,JILL STEIN,26
54007,Braxton,MITT ROMNEY,2725
54007,Braxton,RANDALL TERRY,30
54009,Brooke,BARACK OBAMA,4005
54009,Brooke,GARY JOHNSON,111
54009,Brooke,JILL STEIN,57
54009,Brooke,MITT ROMNEY,5060
54009,Brooke,RANDALL TERRY,61
54011,Cabell,BARACK OBAMA,13568
54011,Cabell,GARY JOHNSON,315
54011,Cabell,JILL STEIN,190
54011,Cabell,MITT ROMNEY,17985
54011,Cabell,RANDALL TERRY,86
54013,Calhoun,BARACK OBAMA,818
54013,Calhoun,GARY JOHNSON,30
54013,Calhoun,JILL STEIN,24
54013,Calhoun,MITT ROMNEY,1319
54013,Calhoun,RANDALL TERRY,16
54015,Clay,BARACK OBAMA,931
54015,Clay,GARY JOHNSON,24
54015,Clay,JILL STEIN,38
54015,Clay,MITT ROMNEY,1971
54015,Clay,RANDALL TERRY,48
54017,Doddridge,BARACK OBAMA,575
54017,Doddridge,GARY JOHNSON,22
54017,Doddridge,JILL STEIN,25
54017,Doddridge,MITT ROMNEY,2130
54017,Doddridge,RANDALL TERRY,17
54019,Fayette,BARACK OBAMA,5419
54019,Fayette,GARY JOHNSON,118
54019,Fayette,JILL STEIN,98
54019,Fayette,MITT ROMNEY,8350
54019,Fayette,RANDALL TERRY,85
54021,Gilmer,BARACK OBAMA,840
54021,Gilmer,GARY JOHNSON,27
54021,Gilmer,JILL STEIN,25
54021,Gilmer,MITT ROMNEY,1595
54021,Gilmer,RANDALL TERRY,22
54023,Grant,BARACK OBAMA,718
54023,Grant,GARY JOHNSON,24
54023,Grant,JILL STEIN,25
54023,Grant,MITT ROMNEY,3783
54023,Grant,RANDALL TERRY,36
54025,Greenbrier,BARACK OBAMA,4710
54025,Greenbrier,GARY JOHNSON,141
54025,Greenbrier,JILL STEIN,106
54025,Greenbrier,MITT ROMNEY,7930
54025,Greenbrier,RANDALL TERRY,76
54027,Hampshire,BARACK OBAMA,2299
54027,Hampshire,GARY JOHNSON,53
54027,Hampshire,JILL STEIN,46
54027,Hampshire,MITT ROMNEY,5523
54027,Hampshire,RANDALL TERRY,65
54029,Hancock,BARACK OBAMA,4627
54029,Hancock,GARY JOHNSON,111
54029,Hancock,JILL STEIN,65
54029,Hancock,MITT ROMNEY,7226
54029,Hancock,RANDALL TERRY,89
54031,Hardy,BARACK OBAMA,1482
54031,Hardy,GARY JOHNSON,47
54031,Hardy,JILL STEIN,43
54031,Hardy,MITT ROMNEY,3536
54031,Hardy,RANDALL TERRY,60
54033,Harrison,BARACK OBAMA,9732
54033,Harrison,GARY JOHNSON,209
54033,Harrison,JILL STEIN,153
54033,Harrison,MITT ROMNEY,15876
54033,Harrison,RANDALL TERRY,177
54035,Jackson,BARACK OBAMA,3854
54035,Jackson,GARY JOHNSON,101
54035,Jackson,JILL STEIN,100
54035,Jackson,MITT ROMNEY,7408
54035,Jackson,RANDALL TERRY,81
54037,Jefferson,BARACK OBAMA,10398
54037,Jefferson,GARY JOHNSON,271
54037,Jefferson,JILL STEIN,144
54037,Jefferson,MITT ROMNEY,11258
54037,Jefferson,RANDALL TERRY,67
54039,Kanawha,BARACK OBAMA,32480
54039,Kanawha,GARY JOHNSON,587
54039,Kanawha,JILL STEIN,400
54039,Kanawha,MITT ROMNEY,41364
54039,Kanawha,RANDALL TERRY,246
54041,Lewis,BARACK OBAMA,1736
54041,Lewis,GARY JOHNSON,68
54041,Lewis,JILL STEIN,52
54041,Lewis,MITT ROMNEY,4375
54041,Lewis,RANDALL TERRY,56
54043,Lincoln,BARACK OBAMA,2227
54043,Lincoln,GARY JOHNSON,71
54043,Lincoln,JILL STEIN,50
54043,Lincoln,MITT ROMNEY,4383
54043,Lincoln,RANDALL TERRY,87
54045,Logan,BARACK OBAMA,3469
54045,Logan,GARY JOHNSON,86
54045,Logan,JILL STEIN,77
54045,Logan,MITT ROMNEY,8222
54045,Logan,RANDALL TERRY,92
54049,Marion,BARACK OBAMA,8959
54049,Marion,GARY JOHNSON,241
54049,Marion,JILL STEIN,158
54049,Marion,MITT ROMNEY,12054
54049,Marion,RANDALL TERRY,130
54051,Marshall,BARACK OBAMA,4484
54051,Marshall,GARY JOHNSON,93
54051,Marshall,JILL STEIN,118
54051,Marshall,MITT ROMNEY,8135
54051,Marshall,RANDALL TERRY,86
54053,Mason,BARACK OBAMA,3778
54053,Mason,GARY JOHNSON,99
54053,Mason,JILL STEIN,77
54053,Mason,MITT ROMNEY,5741
54053,Mason,RANDALL TERRY,94
54047,McDowell,BARACK OBAMA,2109
54047,McDowell,GARY JOHNSON,32
54047,McDowell,JILL STEIN,37
54047,McDowell,MITT ROMNEY,3959
54047,McDowell,RANDALL TERRY,51
54055,Mercer,BARACK OBAMA,5432
54055,Mercer,GARY JOHNSON,174
54055,Mercer,JILL STEIN,109
54055,Mercer,MITT ROMNEY,15450
54055,Mercer,RANDALL TERRY,111
54057,Mineral,BARACK OBAMA,2885
54057,Mineral,GARY JOHNSON,110
54057,Mineral,JILL STEIN,64
54057,Mineral,MITT ROMNEY,7833
54057,Mineral,RANDALL TERRY,87
54059,Mingo,BARACK OBAMA,2428
54059,Mingo,GARY JOHNSON,80
54059,Mingo,JILL STEIN,66
