fips,county,candidate,votes
56001,Albany,Romney,7866
56001,Albany,Obama,7458
56001,Albany,Johnson,673
56001,Albany,Goode,85
56001,Albany,Write-Ins,218
56003,Big Horn,Romney,4285
56003,Big Horn,Obama,868
56003,Big Horn,Johnson,85
56003,Big Horn,Goode,40
56003,Big Horn,Write-Ins,46
56005,Campbell,Romney,14953
56005,Campbell,Obama,2163
56005,Campbell,Johnson,292
56005,Campbell,Goode,70
56005,Campbell,Write-Ins,93
56007,Carbon,Romney,4148
56007,Carbon,Obama,2110
56007,Carbon,Johnson,154
56007,Carbon,Goode,46
56007,Carbon,Write-Ins,51
56009,Converse,Romney,5043
56009,Converse,Obama,1089
56009,Converse,Johnson,111
56009,Converse,Goode,44
56009,Converse,Write-Ins,56
56011,Crook,Romney,3109
56011,Crook,Obama,426
56011,Crook,Johnson,102
56011,Crook,Goode,20
56011,Crook,Write-Ins,28
56013,Fremont,Romney,11075
56013,Fremont,Obama,5333
56013,Fremont,Johnson,319
56013,Fremont,Goode,93
56013,Fremont,Write-Ins,119
56015,Goshen,Romney,4178
56015,Goshen,Obama,1458
56015,Goshen,Johnson,80
56015,Goshen,Goode,42
56015,Goshen,Write-Ins,48
56017,Hot Springs,Romney,1895
56017,Hot Springs,Obama,523
56017,Hot Springs,Johnson,63
56017,Hot Springs,Goode,15
56017,Hot Springs,Write-Ins,19
56019,Johnson,Romney,3363
56019,Johnson,Obama,749
56019,Johnson,Johnson,84
56019,Johnson,Goode,22
56019,Johnson,Write-Ins,41
56021,Laramie,Romney,23904
56021,Laramie,Obama,14295
56021,Laramie,Johnson,786
56021,Laramie,Goode,251
56021,Laramie,Write-Ins,269
56023,Lincoln,Romney,7144
56023,Lincoln,Obama,1287
56023,Lincoln,Johnson,111
56023,Lincoln,Goode,31
56023,Lincoln,Write-Ins,45
56025,Natrona,Romney,22132
56025,Natrona,Obama,8961
56025,Natrona,Johnson,727
56025,Natrona,Goode,242
56025,Natrona,Write-Ins,311
56027,Niobrara,Romney,1022
56027,Niobrara,Obama,200
56027,Niobrara,Johnson,30
56027,Niobrara,Goode,16
56027,Niobrara,Write-Ins,8
56029,Park,Romney,11234
56029,Park,Obama,2927
56029,Park,Johnson,252
56029,Park,Goode,79
56029,Park,Write-Ins,116
56031,Platte,Romney,3136
56031,Platte,Obama,1223
56031,Platte,Johnson,95
56031,Platte,Goode,46
56031,Platte,Write-Ins,31
56033,Sheridan,Romney,10267
56033,Sheridan,Obama,3618
56033,Sheridan,Johnson,290
56033,Sheridan,Goode,50
56033,Sheridan,Write-Ins,97
56035,Sublette,Romney,3472
56035,Sublette,Obama,767
56035,Sublette,Johnson,76
56035,Sublette,Goode,22
56035,Sublette,Write-Ins,39
56037,Sweetwater,Romney,11428
56037,Sweetwater,Obama,4774
56037,Sweetwater,Johnson,431
56037,Sweetwater,Goode,119
56037,Sweetwater,Write-Ins,143
56039,Teton,Romney,4858
56039,Teton,Obama,6213
56039,Teton,Johnson,273
56039,Teton,Goode,15
56039,Teton,Write-Ins,105
56041,Uinta,Romney,6615
56041,Uinta,Obama,1628
56041,Uinta,Johnson,166
56041,Uinta,Goode,46
56041,Uinta,Write-Ins,84
56043,Washakie,Romney,3014
56043,Washakie,Obama,794
56043,Washakie,Johnson,74
56043,Washakie,Goode,30
56043,Washakie,Write-Ins,32
56045,Weston,Romney,2821
56045,Weston,Obama,422
56045,Weston,Johnson,52
56045,Weston,Goode,28
56045,Weston,Write-Ins,36
