"","fips","cand","st","votes","total_votes","pct","lead"
"160","6037","Hillary Clinton","CA",1654626,2314275,0.714965161875749,"Hillary Clinton"
"180","17031","Hillary Clinton","IL",1528582,2055215,0.743757709047472,"Hillary Clinton"
"224","48201","Hillary Clinton","TX",706471,1302887,0.542235051850237,"Hillary Clinton"
"229","4013","Hillary Clinton","AZ",549040,1201934,0.456797128627695,"Donald Trump"
"257","12086","Hillary Clinton","FL",623006,978670,0.636584344058774,"Hillary Clinton"
"263","53033","Hillary Clinton","WA",638033,883231,0.722385197077548,"Hillary Clinton"
"280","6059","Hillary Clinton","CA",413982,830206,0.49864973271694,"Hillary Clinton"
"285","12011","Hillary Clinton","FL",546956,822837,0.664719744007622,"Hillary Clinton"
"303","26163","Hillary Clinton","MI",517022,773983,0.668001751976465,"Hillary Clinton"
"309","6073","Hillary Clinton","CA",429338,768383,0.55875520411045,"Hillary Clinton"
"314","25017","Hillary Clinton","MA",508919,767337,0.663227499781713,"Hillary Clinton"
"318","32003","Hillary Clinton","NV",401068,765421,0.523983533245103,"Hillary Clinton"
"324","48113","Hillary Clinton","TX",458845,750649,0.611264385884748,"Hillary Clinton"
"328","36047","Hillary Clinton","NY",595086,746295,0.797387092235644,"Hillary Clinton"
"354","42101","Hillary Clinton","PA",560542,680227,0.824051382847197,"Hillary Clinton"
"359","27053","Hillary Clinton","MN",429283,672644,0.638202377483483,"Hillary Clinton"
"368","26125","Hillary Clinton","MI",342976,663255,0.517110312021771,"Hillary Clinton"
"375","48439","Hillary Clinton","TX",288001,662832,0.434500748304246,"Donald Trump"
"378","12099","Hillary Clinton","FL",371411,657235,0.565111413725684,"Hillary Clinton"
"384","42003","Hillary Clinton","PA",363017,643173,0.564415794817258,"Hillary Clinton"
"389","36081","Hillary Clinton","NY",473389,627021,0.754981093137231,"Hillary Clinton"
"394","36103","Hillary Clinton","NY",276953,625720,0.442614907626414,"Donald Trump"
"397","36059","Hillary Clinton","NY",307326,599649,0.512509818243673,"Hillary Clinton"
"401","12057","Hillary Clinton","FL",306422,595072,0.514932646805765,"Hillary Clinton"
"407","36061","Hillary Clinton","NY",515481,591368,0.87167550493094,"Hillary Clinton"
"411","48029","Hillary Clinton","TX",319191,586038,0.544659220050577,"Hillary Clinton"
"415","39035","Hillary Clinton","OH",383974,583230,0.658357766232876,"Hillary Clinton"
"420","39049","Hillary Clinton","OH",335961,554711,0.605650509905158,"Hillary Clinton"
"425","6085","Hillary Clinton","CA",406049,553336,0.733819957494181,"Hillary Clinton"
"430","12095","Hillary Clinton","FL",329579,545800,0.60384573103701,"Hillary Clinton"
"436","51059","Hillary Clinton","VA",354485,542858,0.6529976531616,"Hillary Clinton"
"441","6065","Hillary Clinton","CA",253215,517200,0.489588167053364,"Hillary Clinton"
"446","37183","Hillary Clinton","NC",298353,510940,0.583929619916233,"Hillary Clinton"
"449","29189","Hillary Clinton","MO",280866,503493,0.557834964934964,"Hillary Clinton"
"454","6071","Hillary Clinton","CA",258409,498697,0.51816834671153,"Hillary Clinton"
"460","12103","Hillary Clinton","FL",233327,491520,0.474704996744792,"Donald Trump"
"470","48453","Hillary Clinton","TX",306475,462511,0.662632888731295,"Hillary Clinton"
"474","37119","Hillary Clinton","NC",292258,461834,0.632820450638108,"Hillary Clinton"
"486","55079","Hillary Clinton","WI",288986,434970,0.664381451594363,"Hillary Clinton"
"499","12031","Hillary Clinton","FL",203627,428734,0.474949502488723,"Donald Trump"
"504","42091","Hillary Clinton","PA",251063,427489,0.587296983080266,"Hillary Clinton"
"509","6001","Hillary Clinton","CA",337524,424517,0.795077700068548,"Hillary Clinton"
"515","26099","Hillary Clinton","MI",176238,418773,0.420843750671605,"Donald Trump"
"520","17043","Hillary Clinton","IL",222499,412929,0.538831130775509,"Hillary Clinton"
"524","9001","Hillary Clinton","CT",238723,410279,0.58185527409397,"Hillary Clinton"
"528","24031","Hillary Clinton","MD",309761,408300,0.758660298799902,"Hillary Clinton"
"532","13121","Hillary Clinton","GA",281875,407173,0.692273308888359,"Hillary Clinton"
"535","9003","Hillary Clinton","CT",233789,399219,0.585615915074182,"Hillary Clinton"
"539","39061","Hillary Clinton","OH",207587,395000,0.52553670886076,"Hillary Clinton"
"544","34003","Hillary Clinton","NJ",209251,383965,0.544974151289831,"Hillary Clinton"
"553","36029","Hillary Clinton","NY",192065,383248,0.501150690936417,"Hillary Clinton"
"557","25027","Hillary Clinton","MA",197126,380972,0.517429102401226,"Hillary Clinton"
"561","36119","Hillary Clinton","NY",245670,378506,0.649051798386287,"Hillary Clinton"
"565","25009","Hillary Clinton","MA",220027,376140,0.584960387089913,"Hillary Clinton"
"569","9009","Hillary Clinton","CT",203601,375909,0.541623105592045,"Hillary Clinton"
"573","6067","Hillary Clinton","CA",217211,373433,0.581659896152724,"Hillary Clinton"
"582","18097","Hillary Clinton","IN",212676,361070,0.589015980280832,"Hillary Clinton"
"585","4019","Hillary Clinton","AZ",195649,360762,0.542321530538139,"Hillary Clinton"
"589","36005","Hillary Clinton","NY",318403,358857,0.88726985958195,"Hillary Clinton"
"593","25021","Hillary Clinton","MA",219129,357781,0.612466844242707,"Hillary Clinton"
"597","41051","Hillary Clinton","OR",271754,357762,0.759594367205013,"Hillary Clinton"
"602","48085","Hillary Clinton","TX",139837,356545,0.392200143039448,"Donald Trump"
"605","21111","Hillary Clinton","KY",190824,352934,0.540678993806207,"Hillary Clinton"
"611","24033","Hillary Clinton","MD",313627,351091,0.893292622140699,"Hillary Clinton"
"615","42017","Hillary Clinton","PA",165861,342572,0.484163912987635,"Hillary Clinton"
"620","6013","Hillary Clinton","CA",231968,337297,0.687726247194609,"Hillary Clinton"
"631","24005","Hillary Clinton","MD",189437,335017,0.565454887363925,"Hillary Clinton"
"635","47157","Hillary Clinton","TN",206640,331861,0.622670334869117,"Hillary Clinton"
"642","13067","Hillary Clinton","GA",159416,326424,0.488370953116192,"Hillary Clinton"
"646","12071","Hillary Clinton","FL",124725,325797,0.382830412803065,"Donald Trump"
"651","13135","Hillary Clinton","GA",165063,323931,0.509562221584226,"Hillary Clinton"
"654","36055","Hillary Clinton","NY",174063,320164,0.543668245024425,"Hillary Clinton"
"659","12009","Hillary Clinton","FL",119525,314337,0.380244769149034,"Donald Trump"
"665","8041","Hillary Clinton","CO",105807,313273,0.337746949146591,"Donald Trump"
"687","34025","Hillary Clinton","NJ",135825,311474,0.436071710640374,"Donald Trump"
"695","8059","Hillary Clinton","CO",151885,309529,0.490697156001538,"Hillary Clinton"
"718","26081","Hillary Clinton","MI",138567,306270,0.452434126750906,"Donald Trump"
"723","53061","Hillary Clinton","WA",165740,305281,0.542909647177518,"Hillary Clinton"
"730","55025","Hillary Clinton","WI",217506,304729,0.713768627206469,"Hillary Clinton"
