"","fips","cand","st","votes","total_votes","pct","lead"
"161","6037","Donald Trump","CA",542591,2314275,0.234453986669691,"Hillary Clinton"
"181","17031","Donald Trump","IL",440213,2055215,0.21419316227256,"Hillary Clinton"
"225","48201","Donald Trump","TX",544960,1302887,0.418271116374636,"Hillary Clinton"
"228","4013","Donald Trump","AZ",590465,1201934,0.491262415407169,"Donald Trump"
"258","12086","Donald Trump","FL",333666,978670,0.34093821206331,"Hillary Clinton"
"264","53033","Donald Trump","WA",191806,883231,0.217164026172089,"Hillary Clinton"
"281","6059","Donald Trump","CA",371268,830206,0.447199851603096,"Hillary Clinton"
"286","12011","Donald Trump","FL",258521,822837,0.314182517315094,"Hillary Clinton"
"304","26163","Donald Trump","MI",228313,773983,0.29498451516377,"Hillary Clinton"
"310","6073","Donald Trump","CA",298521,768383,0.38850547188056,"Hillary Clinton"
"315","25017","Donald Trump","MA",216163,767337,0.281705430599593,"Hillary Clinton"
"319","32003","Donald Trump","NV",319571,765421,0.41751010228358,"Hillary Clinton"
"325","48113","Donald Trump","TX",261865,750649,0.348851460536149,"Hillary Clinton"
"329","36047","Donald Trump","NY",133653,746295,0.179088698168955,"Hillary Clinton"
"355","42101","Donald Trump","PA",105418,680227,0.154974736374769,"Hillary Clinton"
"360","27053","Donald Trump","MN",191768,672644,0.285095830781216,"Hillary Clinton"
"369","26125","Donald Trump","MI",289127,663255,0.435921327392933,"Hillary Clinton"
"374","48439","Donald Trump","TX",345683,662832,0.521524307818572,"Donald Trump"
"379","12099","Donald Trump","FL",270762,657235,0.411971364884706,"Hillary Clinton"
"385","42003","Donald Trump","PA",257488,643173,0.40034018840965,"Hillary Clinton"
"390","36081","Donald Trump","NY",138550,627021,0.220965486004456,"Hillary Clinton"
"393","36103","Donald Trump","NY",328403,625720,0.524840184107908,"Donald Trump"
"398","36059","Donald Trump","NY",275479,599649,0.459400415909974,"Hillary Clinton"
"402","12057","Donald Trump","FL",265928,595072,0.446883738438374,"Hillary Clinton"
"408","36061","Donald Trump","NY",58935,591368,0.0996587573220059,"Hillary Clinton"
"412","48029","Donald Trump","TX",240161,586038,0.409804483668295,"Hillary Clinton"
"416","39035","Donald Trump","OH",179894,583230,0.308444352999674,"Hillary Clinton"
"421","39049","Donald Trump","OH",192328,554711,0.346717479912964,"Hillary Clinton"
"426","6085","Donald Trump","CA",116196,553336,0.20999175907586,"Hillary Clinton"
"431","12095","Donald Trump","FL",195091,545800,0.357440454378893,"Hillary Clinton"
"437","51059","Donald Trump","VA",157837,542858,0.290751909339091,"Hillary Clinton"
"442","6065","Donald Trump","CA",240013,517200,0.464062258313998,"Hillary Clinton"
"447","37183","Donald Trump","NC",193607,510940,0.378923161232239,"Hillary Clinton"
"450","29189","Donald Trump","MO",199081,503493,0.395399737434284,"Hillary Clinton"
"455","6071","Donald Trump","CA",214698,498697,0.430517929724863,"Hillary Clinton"
"459","12103","Donald Trump","FL",238746,491520,0.48572998046875,"Donald Trump"
"471","48453","Donald Trump","TX",126750,462511,0.274047536166707,"Hillary Clinton"
"475","37119","Donald Trump","NC",154303,461834,0.334109225392674,"Hillary Clinton"
"487","55079","Donald Trump","WI",126091,434970,0.289884359840909,"Hillary Clinton"
"498","12031","Donald Trump","FL",210061,428734,0.489956476509911,"Donald Trump"
"505","42091","Donald Trump","PA",160803,427489,0.376157047315837,"Hillary Clinton"
"510","6001","Donald Trump","CA",64010,424517,0.15078312529298,"Hillary Clinton"
"514","26099","Donald Trump","MI",224589,418773,0.536302483684478,"Donald Trump"
"521","17043","Donald Trump","IL",164355,412929,0.398022420319232,"Hillary Clinton"
"525","9001","Donald Trump","CT",155457,410279,0.378905574011831,"Hillary Clinton"
"529","24031","Donald Trump","MD",82985,408300,0.203245162870438,"Hillary Clinton"
"533","13121","Donald Trump","GA",110372,407173,0.271069054185813,"Hillary Clinton"
"536","9003","Donald Trump","CT",147912,399219,0.370503407903932,"Hillary Clinton"
"540","39061","Donald Trump","OH",169972,395000,0.430308860759494,"Hillary Clinton"
"545","34003","Donald Trump","NJ",163220,383965,0.425090828591148,"Hillary Clinton"
"554","36029","Donald Trump","NY",173817,383248,0.453536613367845,"Hillary Clinton"
"558","25027","Donald Trump","MA",157138,380972,0.412466008000588,"Hillary Clinton"
"562","36119","Donald Trump","NY",121643,378506,0.321376675666964,"Hillary Clinton"
"566","25009","Donald Trump","MA",135405,376140,0.359985643643324,"Hillary Clinton"
"570","9009","Donald Trump","CT",158373,375909,0.421306752432105,"Hillary Clinton"
"574","6067","Donald Trump","CA",133829,373433,0.35837486242512,"Hillary Clinton"
"583","18097","Donald Trump","IN",130228,361070,0.360672445786136,"Hillary Clinton"
"586","4019","Donald Trump","AZ",147019,360762,0.407523519661162,"Hillary Clinton"
"590","36005","Donald Trump","NY",34424,358857,0.095926789779773,"Hillary Clinton"
"594","25021","Donald Trump","MA",119171,357781,0.333083646141075,"Hillary Clinton"
"598","41051","Donald Trump","OR",63055,357762,0.176248455677238,"Hillary Clinton"
"601","48085","Donald Trump","TX",200395,356545,0.562046866454445,"Donald Trump"
"606","21111","Donald Trump","KY",143758,352934,0.40732261555985,"Hillary Clinton"
"612","24033","Donald Trump","MD",29290,351091,0.0834256645712935,"Hillary Clinton"
"616","42017","Donald Trump","PA",163873,342572,0.478360753359878,"Hillary Clinton"
"621","6013","Donald Trump","CA",87211,337297,0.258558481101225,"Hillary Clinton"
"632","24005","Donald Trump","MD",131009,335017,0.391051797371477,"Hillary Clinton"
"636","47157","Donald Trump","TN",114948,331861,0.346373933664998,"Hillary Clinton"
"643","13067","Donald Trump","GA",152602,326424,0.467496262529716,"Hillary Clinton"
"645","12071","Donald Trump","FL",191141,325797,0.586687415783448,"Donald Trump"
"652","13135","Donald Trump","GA",146463,323931,0.452142585921076,"Hillary Clinton"
"655","36055","Donald Trump","NY",128871,320164,0.402515585762297,"Hillary Clinton"
"658","12009","Donald Trump","FL",181620,314337,0.577787533761536,"Donald Trump"
"664","8041","Donald Trump","CO",176506,313273,0.563425510656839,"Donald Trump"
"686","34025","Donald Trump","NJ",165305,311474,0.530718454830901,"Donald Trump"
"696","8059","Donald Trump","CO",130233,309529,0.420745713648802,"Hillary Clinton"
"717","26081","Donald Trump","MI",147959,306270,0.483099879191563,"Donald Trump"
"724","53061","Donald Trump","WA",114775,305281,0.375965094453962,"Hillary Clinton"
"731","55025","Donald Trump","WI",71270,304729,0.233879939224688,"Hillary Clinton"
"738","25025","Donald Trump","MA",50042,303517,0.16487379619593,"Hillary Clinton"
"742","34013","Donald Trump","NJ",62059,299808,0.206995810652151,"Hillary Clinton"
"751","53053","Donald Trump","WA",125964,298470,0.422032365061815,"Hillary Clinton"
"758","13089","Donald Trump","GA",47531,295871,0.160647714713507,"Hillary Clinton"
"761","29095","Donald Trump","MO",114777,294063,0.39031432040073,"Hillary Clinton"
"766","17097","Donald Trump","IL",108608,293574,0.369951017460674,"Hillary Clinton"
"769","48121","Donald Trump","TX",169175,293287,0.57682406652869,"Donald Trump"
"780","17197","Donald Trump","IL",129726,291010,0.445778495584344,"Hillary Clinton"
"784","1073","Donald Trump","AL",130614,290111,0.450220777564449,"Hillary Clinton"
"788","15003","Donald Trump","HI",90296,285683,0.316070609731766,"Hillary Clinton"
"793","42045","Donald Trump","PA",106559,284832,0.374111757105943,"Hillary Clinton"
"797","12105","Donald Trump","FL",157216,283828,0.553912933184887,"Donald Trump"
"804","34023","Donald Trump","NJ",108981,282668,0.385544171961453,"Hillary Clinton"
"813","49035","Donald Trump","UT",91375,282435,0.323525766990635,"Hillary Clinton"
"823","8005","Donald Trump","CO",109638,281658,0.389259314487783,"Hillary Clinton"
"845","11001","Donald Trump","DC",11553,280272,0.0412206713478335,"Hillary Clinton"
"853","6075","Donald Trump","CA",27633,279917,0.0987185487126541,"Hillary Clinton"
"857","20091","Donald Trump","KS",133907,279753,0.478661533567111,"Donald Trump"
"861","40109","Donald Trump","OK",141429,273609,0.516901856298587,"Donald Trump"
"865","35001","Donald Trump","NM",93874,272004,0.34511992470699,"Hillary Clinton"
"873","27123","Donald Trump","MN",70778,269161,0.262957857936328,"Hillary Clinton"
"882","42029","Donald Trump","PA",115582,266637,0.433480724730626,"Hillary Clinton"
"887","25023","Donald Trump","MA",114722,264168,0.434276672420581,"Hillary Clinton"
"891","10003","Donald Trump","DE",85507,261468,0.3270266342344,"Hillary Clinton"
"895","48157","Donald Trump","TX",117212,260367,0.450179938317836,"Hillary Clinton"
"898","12127","Donald Trump","FL",142763,260304,0.548447200196693,"Donald Trump"
"904","34029","Donald Trump","NJ",170103,259592,0.655270578446177,"Donald Trump"
"914","6111","Donald Trump","CA",101351,259438,0.390655956336389,"Hillary Clinton"
"919","37081","Donald Trump","NC",97461,252087,0.386616525247236,"Hillary Clinton"
"922","39153","Donald Trump","OH",109531,249937,0.43823443507764,"Hillary Clinton"
"926","39113","Donald Trump","OH",120766,249560,0.483915691617246,"Donald Trump"
"931","34027","Donald Trump","NJ",125376,248848,0.50382562849611,"Donald Trump"
"952","2000","Donald Trump","AK",130415,246588,0.528878128700504,"Donald Trump"
"958","40143","Donald Trump","OK",143985,246557,0.583982608484042,"Donald Trump"
"962","47037","Donald Trump","TN",84365,246199,0.342669953980317,"Hillary Clinton"
"969","25005","Donald Trump","MA",104775,246068,0.425796934180796,"Hillary Clinton"
