"","fips","cand","st","votes","total_votes","pct","lead"
"160","6037","Hillary Clinton","CA",1654626,2314275,0.714965161875749,"Hillary Clinton"
"161","6037","Donald Trump","CA",542591,2314275,0.234453986669691,"Hillary Clinton"
"180","17031","Hillary Clinton","IL",1528582,2055215,0.743757709047472,"Hillary Clinton"
"181","17031","Donald Trump","IL",440213,2055215,0.21419316227256,"Hillary Clinton"
"224","48201","Hillary Clinton","TX",706471,1302887,0.542235051850237,"Hillary Clinton"
"225","48201","Donald Trump","TX",544960,1302887,0.418271116374636,"Hillary Clinton"
"228","4013","Donald Trump","AZ",590465,1201934,0.491262415407169,"Donald Trump"
"229","4013","Hillary Clinton","AZ",549040,1201934,0.456797128627695,"Donald Trump"
"257","12086","Hillary Clinton","FL",623006,978670,0.636584344058774,"Hillary Clinton"
"258","12086","Donald Trump","FL",333666,978670,0.34093821206331,"Hillary Clinton"
"263","53033","Hillary Clinton","WA",638033,883231,0.722385197077548,"Hillary Clinton"
"264","53033","Donald Trump","WA",191806,883231,0.217164026172089,"Hillary Clinton"
"280","6059","Hillary Clinton","CA",413982,830206,0.49864973271694,"Hillary Clinton"
"281","6059","Donald Trump","CA",371268,830206,0.447199851603096,"Hillary Clinton"
"285","12011","Hillary Clinton","FL",546956,822837,0.664719744007622,"Hillary Clinton"
"286","12011","Donald Trump","FL",258521,822837,0.314182517315094,"Hillary Clinton"
"303","26163","Hillary Clinton","MI",517022,773983,0.668001751976465,"Hillary Clinton"
"304","26163","Donald Trump","MI",228313,773983,0.29498451516377,"Hillary Clinton"
"309","6073","Hillary Clinton","CA",429338,768383,0.55875520411045,"Hillary Clinton"
"310","6073","Donald Trump","CA",298521,768383,0.38850547188056,"Hillary Clinton"
"314","25017","Hillary Clinton","MA",508919,767337,0.663227499781713,"Hillary Clinton"
"315","25017","Donald Trump","MA",216163,767337,0.281705430599593,"Hillary Clinton"
"318","32003","Hillary Clinton","NV",401068,765421,0.523983533245103,"Hillary Clinton"
"319","32003","Donald Trump","NV",319571,765421,0.41751010228358,"Hillary Clinton"
"324","48113","Hillary Clinton","TX",458845,750649,0.611264385884748,"Hillary Clinton"
"325","48113","Donald Trump","TX",261865,750649,0.348851460536149,"Hillary Clinton"
"328","36047","Hillary Clinton","NY",595086,746295,0.797387092235644,"Hillary Clinton"
"329","36047","Donald Trump","NY",133653,746295,0.179088698168955,"Hillary Clinton"
"354","42101","Hillary Clinton","PA",560542,680227,0.824051382847197,"Hillary Clinton"
"355","42101","Donald Trump","PA",105418,680227,0.154974736374769,"Hillary Clinton"
"359","27053","Hillary Clinton","MN",429283,672644,0.638202377483483,"Hillary Clinton"
"360","27053","Donald Trump","MN",191768,672644,0.285095830781216,"Hillary Clinton"
"368","26125","Hillary Clinton","MI",342976,663255,0.517110312021771,"Hillary Clinton"
"369","26125","Donald Trump","MI",289127,663255,0.435921327392933,"Hillary Clinton"
"374","48439","Donald Trump","TX",345683,662832,0.521524307818572,"Donald Trump"
"375","48439","Hillary Clinton","TX",288001,662832,0.434500748304246,"Donald Trump"
"378","12099","Hillary Clinton","FL",371411,657235,0.565111413725684,"Hillary Clinton"
"379","12099","Donald Trump","FL",270762,657235,0.411971364884706,"Hillary Clinton"
"384","42003","Hillary Clinton","PA",363017,643173,0.564415794817258,"Hillary Clinton"
"385","42003","Donald Trump","PA",257488,643173,0.40034018840965,"Hillary Clinton"
"389","36081","Hillary Clinton","NY",473389,627021,0.754981093137231,"Hillary Clinton"
"390","36081","Donald Trump","NY",138550,627021,0.220965486004456,"Hillary Clinton"
"393","36103","Donald Trump","NY",328403,625720,0.524840184107908,"Donald Trump"
"394","36103","Hillary Clinton","NY",276953,625720,0.442614907626414,"Donald Trump"
"397","36059","Hillary Clinton","NY",307326,599649,0.512509818243673,"Hillary Clinton"
"398","36059","Donald Trump","NY",275479,599649,0.459400415909974,"Hillary Clinton"
"401","12057","Hillary Clinton","FL",306422,595072,0.514932646805765,"Hillary Clinton"
"402","12057","Donald Trump","FL",265928,595072,0.446883738438374,"Hillary Clinton"
"407","36061","Hillary Clinton","NY",515481,591368,0.87167550493094,"Hillary Clinton"
"408","36061","Donald Trump","NY",58935,591368,0.0996587573220059,"Hillary Clinton"
"411","48029","Hillary Clinton","TX",319191,586038,0.544659220050577,"Hillary Clinton"
"412","48029","Donald Trump","TX",240161,586038,0.409804483668295,"Hillary Clinton"
"415","39035","Hillary Clinton","OH",383974,583230,0.658357766232876,"Hillary Clinton"
"416","39035","Donald Trump","OH",179894,583230,0.308444352999674,"Hillary Clinton"
"420","39049","Hillary Clinton","OH",335961,554711,0.605650509905158,"Hillary Clinton"
"421","39049","Donald Trump","OH",192328,554711,0.346717479912964,"Hillary Clinton"
"425","6085","Hillary Clinton","CA",406049,553336,0.733819957494181,"Hillary Clinton"
"426","6085","Donald Trump","CA",116196,553336,0.20999175907586,"Hillary Clinton"
"430","12095","Hillary Clinton","FL",329579,545800,0.60384573103701,"Hillary Clinton"
"431","12095","Donald Trump","FL",195091,545800,0.357440454378893,"Hillary Clinton"
"436","51059","Hillary Clinton","VA",354485,542858,0.6529976531616,"Hillary Clinton"
"437","51059","Donald Trump","VA",157837,542858,0.290751909339091,"Hillary Clinton"
"441","6065","Hillary Clinton","CA",253215,517200,0.489588167053364,"Hillary Clinton"
"442","6065","Donald Trump","CA",240013,517200,0.464062258313998,"Hillary Clinton"
"446","37183","Hillary Clinton","NC",298353,510940,0.583929619916233,"Hillary Clinton"
"447","37183","Donald Trump","NC",193607,510940,0.378923161232239,"Hillary Clinton"
"449","29189","Hillary Clinton","MO",280866,503493,0.557834964934964,"Hillary Clinton"
"450","29189","Donald Trump","MO",199081,503493,0.395399737434284,"Hillary Clinton"
"454","6071","Hillary Clinton","CA",258409,498697,0.51816834671153,"Hillary Clinton"
"455","6071","Donald Trump","CA",214698,498697,0.430517929724863,"Hillary Clinton"
"459","12103","Donald Trump","FL",238746,491520,0.48572998046875,"Donald Trump"
"460","12103","Hillary Clinton","FL",233327,491520,0.474704996744792,"Donald Trump"
"470","48453","Hillary Clinton","TX",306475,462511,0.662632888731295,"Hillary Clinton"
"471","48453","Donald Trump","TX",126750,462511,0.274047536166707,"Hillary Clinton"
"474","37119","Hillary Clinton","NC",292258,461834,0.632820450638108,"Hillary Clinton"
"475","37119","Donald Trump","NC",154303,461834,0.334109225392674,"Hillary Clinton"
"486","55079","Hillary Clinton","WI",288986,434970,0.664381451594363,"Hillary Clinton"
"487","55079","Donald Trump","WI",126091,434970,0.289884359840909,"Hillary Clinton"
"498","12031","Donald Trump","FL",210061,428734,0.489956476509911,"Donald Trump"
"499","12031","Hillary Clinton","FL",203627,428734,0.474949502488723,"Donald Trump"
"504","42091","Hillary Clinton","PA",251063,427489,0.587296983080266,"Hillary Clinton"
"505","42091","Donald Trump","PA",160803,427489,0.376157047315837,"Hillary Clinton"
"509","6001","Hillary Clinton","CA",337524,424517,0.795077700068548,"Hillary Clinton"
"510","6001","Donald Trump","CA",64010,424517,0.15078312529298,"Hillary Clinton"
"514","26099","Donald Trump","MI",224589,418773,0.536302483684478,"Donald Trump"
"515","26099","Hillary Clinton","MI",176238,418773,0.420843750671605,"Donald Trump"
"520","17043","Hillary Clinton","IL",222499,412929,0.538831130775509,"Hillary Clinton"
"521","17043","Donald Trump","IL",164355,412929,0.398022420319232,"Hillary Clinton"
"524","9001","Hillary Clinton","CT",238723,410279,0.58185527409397,"Hillary Clinton"
"525","9001","Donald Trump","CT",155457,410279,0.378905574011831,"Hillary Clinton"
"528","24031","Hillary Clinton","MD",309761,408300,0.758660298799902,"Hillary Clinton"
"529","24031","Donald Trump","MD",82985,408300,0.203245162870438,"Hillary Clinton"
"532","13121","Hillary Clinton","GA",281875,407173,0.692273308888359,"Hillary Clinton"
"533","13121","Donald Trump","GA",110372,407173,0.271069054185813,"Hillary Clinton"
"535","9003","Hillary Clinton","CT",233789,399219,0.585615915074182,"Hillary Clinton"
"536","9003","Donald Trump","CT",147912,399219,0.370503407903932,"Hillary Clinton"
"539","39061","Hillary Clinton","OH",207587,395000,0.52553670886076,"Hillary Clinton"
"540","39061","Donald Trump","OH",169972,395000,0.430308860759494,"Hillary Clinton"
"544","34003","Hillary Clinton","NJ",209251,383965,0.544974151289831,"Hillary Clinton"
"545","34003","Donald Trump","NJ",163220,383965,0.425090828591148,"Hillary Clinton"
"553","36029","Hillary Clinton","NY",192065,383248,0.501150690936417,"Hillary Clinton"
"554","36029","Donald Trump","NY",173817,383248,0.453536613367845,"Hillary Clinton"
"557","25027","Hillary Clinton","MA",197126,380972,0.517429102401226,"Hillary Clinton"
"558","25027","Donald Trump","MA",157138,380972,0.412466008000588,"Hillary Clinton"
"561","36119","Hillary Clinton","NY",245670,378506,0.649051798386287,"Hillary Clinton"
"562","36119","Donald Trump","NY",121643,378506,0.321376675666964,"Hillary Clinton"
"565","25009","Hillary Clinton","MA",220027,376140,0.584960387089913,"Hillary Clinton"
"566","25009","Donald Trump","MA",135405,376140,0.359985643643324,"Hillary Clinton"
"569","9009","Hillary Clinton","CT",203601,375909,0.541623105592045,"Hillary Clinton"
"570","9009","Donald Trump","CT",158373,375909,0.421306752432105,"Hillary Clinton"
"573","6067","Hillary Clinton","CA",217211,373433,0.581659896152724,"Hillary Clinton"
"574","6067","Donald Trump","CA",133829,373433,0.35837486242512,"Hillary Clinton"
"582","18097","Hillary Clinton","IN",212676,361070,0.589015980280832,"Hillary Clinton"
"583","18097","Donald Trump","IN",130228,361070,0.360672445786136,"Hillary Clinton"
"585","4019","Hillary Clinton","AZ",195649,360762,0.542321530538139,"Hillary Clinton"
"586","4019","Donald Trump","AZ",147019,360762,0.407523519661162,"Hillary Clinton"
"589","36005","Hillary Clinton","NY",318403,358857,0.88726985958195,"Hillary Clinton"
"590","36005","Donald Trump","NY",34424,358857,0.095926789779773,"Hillary Clinton"
"593","25021","Hillary Clinton","MA",219129,357781,0.612466844242707,"Hillary Clinton"
"594","25021","Donald Trump","MA",119171,357781,0.333083646141075,"Hillary Clinton"
"597","41051","Hillary Clinton","OR",271754,357762,0.759594367205013,"Hillary Clinton"
"598","41051","Donald Trump","OR",63055,357762,0.176248455677238,"Hillary Clinton"
"601","48085","Donald Trump","TX",200395,356545,0.562046866454445,"Donald Trump"
"602","48085","Hillary Clinton","TX",139837,356545,0.392200143039448,"Donald Trump"
